Category: All categories

Week,Hippie: (Worldwide)
2012-01-01,46
2012-01-08,49
2012-01-15,51
2012-01-22,55
2012-01-29,54
2012-02-05,60
2012-02-12,74
2012-02-19,60
2012-02-26,52
2012-03-04,54
2012-03-11,53
2012-03-18,54
2012-03-25,53
2012-04-01,51
2012-04-08,55
2012-04-15,62
2012-04-22,59
2012-04-29,59
2012-05-06,58
2012-05-13,60
2012-05-20,57
2012-05-27,59
2012-06-03,58
2012-06-10,57
2012-06-17,57
2012-06-24,55
2012-07-01,54
2012-07-08,55
2012-07-15,55
2012-07-22,54
2012-07-29,55
2012-08-05,56
2012-08-12,56
2012-08-19,60
2012-08-26,59
2012-09-02,57
2012-09-09,55
2012-09-16,62
2012-09-23,62
2012-09-30,59
2012-10-07,57
2012-10-14,61
2012-10-21,77
2012-10-28,69
2012-11-04,51
2012-11-11,51
2012-11-18,48
2012-11-25,48
2012-12-02,49
2012-12-09,46
2012-12-16,44
2012-12-23,43
2012-12-30,48
2013-01-06,50
2013-01-13,52
2013-01-20,56
2013-01-27,60
2013-02-03,72
2013-02-10,56
2013-02-17,53
2013-02-24,53
2013-03-03,52
2013-03-10,52
2013-03-17,53
2013-03-24,51
2013-03-31,52
2013-04-07,55
2013-04-14,61
2013-04-21,63
2013-04-28,59
2013-05-05,59
2013-05-12,57
2013-05-19,59
2013-05-26,58
2013-06-02,58
2013-06-09,58
2013-06-16,56
2013-06-23,60
2013-06-30,55
2013-07-07,57
2013-07-14,57
2013-07-21,56
2013-07-28,56
2013-08-04,58
2013-08-11,57
2013-08-18,57
2013-08-25,57
2013-09-01,57
2013-09-08,57
2013-09-15,56
2013-09-22,57
2013-09-29,58
2013-10-06,60
2013-10-13,61
2013-10-20,71
2013-10-27,83
2013-11-03,53
2013-11-10,54
2013-11-17,56
2013-11-24,53
2013-12-01,55
2013-12-08,52
2013-12-15,50
2013-12-22,47
2013-12-29,53
2014-01-05,56
2014-01-12,55
2014-01-19,59
2014-01-26,60
2014-02-02,62
2014-02-09,61
2014-02-16,70
2014-02-23,84
2014-03-02,72
2014-03-09,63
2014-03-16,65
2014-03-23,66
2014-03-30,68
2014-04-06,73
2014-04-13,73
2014-04-20,79
2014-04-27,70
2014-05-04,74
2014-05-11,69
2014-05-18,73
2014-05-25,69
2014-06-01,70
2014-06-08,66
2014-06-15,66
2014-06-22,67
2014-06-29,66
2014-07-06,66
2014-07-13,68
2014-07-20,69
2014-07-27,71
2014-08-03,71
2014-08-10,67
2014-08-17,67
2014-08-24,66
2014-08-31,64
2014-09-07,65
2014-09-14,67
2014-09-21,67
2014-09-28,67
2014-10-05,70
2014-10-12,71
2014-10-19,74
2014-10-26,99
2014-11-02,62
2014-11-09,60
2014-11-16,61
2014-11-23,57
2014-11-30,58
2014-12-07,58
2014-12-14,55
2014-12-21,55
2014-12-28,61
2015-01-04,60
2015-01-11,66
2015-01-18,67
2015-01-25,71
2015-02-01,73
2015-02-08,84
2015-02-15,72
2015-02-22,65
2015-03-01,65
2015-03-08,67
2015-03-15,68
2015-03-22,66
2015-03-29,66
2015-04-05,68
2015-04-12,71
2015-04-19,79
2015-04-26,73
2015-05-03,76
2015-05-10,80
2015-05-17,80
2015-05-24,76
2015-05-31,75
2015-06-07,76
2015-06-14,75
2015-06-21,74
2015-06-28,75
2015-07-05,73
2015-07-12,72
2015-07-19,71
2015-07-26,69
2015-08-02,70
2015-08-09,71
2015-08-16,72
2015-08-23,70
2015-08-30,68
2015-09-06,67
2015-09-13,65
2015-09-20,70
2015-09-27,66
2015-10-04,68
2015-10-11,70
2015-10-18,72
2015-10-25,100
2015-11-01,60
2015-11-08,58
2015-11-15,58
2015-11-22,56
2015-11-29,56
2015-12-06,57
2015-12-13,56
2015-12-20,54
2015-12-27,60
