Category: All categories

Week,Hoodie: (Worldwide)
2012-01-01,38
2012-01-08,34
2012-01-15,35
2012-01-22,36
2012-01-29,36
2012-02-05,38
2012-02-12,34
2012-02-19,35
2012-02-26,33
2012-03-04,31
2012-03-11,29
2012-03-18,46
2012-03-25,57
2012-04-01,38
2012-04-08,44
2012-04-15,35
2012-04-22,37
2012-04-29,35
2012-05-06,34
2012-05-13,32
2012-05-20,28
2012-05-27,26
2012-06-03,27
2012-06-10,31
2012-06-17,27
2012-06-24,26
2012-07-01,27
2012-07-08,28
2012-07-15,31
2012-07-22,30
2012-07-29,35
2012-08-05,34
2012-08-12,34
2012-08-19,33
2012-08-26,37
2012-09-02,35
2012-09-09,39
2012-09-16,44
2012-09-23,46
2012-09-30,45
2012-10-07,52
2012-10-14,49
2012-10-21,48
2012-10-28,47
2012-11-04,48
2012-11-11,51
2012-11-18,59
2012-11-25,67
2012-12-02,67
2012-12-09,76
2012-12-16,62
2012-12-23,56
2012-12-30,46
2013-01-06,43
2013-01-13,44
2013-01-20,45
2013-01-27,40
2013-02-03,44
2013-02-10,45
2013-02-17,48
2013-02-24,43
2013-03-03,41
2013-03-10,42
2013-03-17,39
2013-03-24,40
2013-03-31,37
2013-04-07,36
2013-04-14,35
2013-04-21,33
2013-04-28,32
2013-05-05,31
2013-05-12,31
2013-05-19,29
2013-05-26,29
2013-06-02,28
2013-06-09,29
2013-06-16,28
2013-06-23,29
2013-06-30,28
2013-07-07,28
2013-07-14,36
2013-07-21,30
2013-07-28,36
2013-08-04,38
2013-08-11,40
2013-08-18,38
2013-08-25,38
2013-09-01,40
2013-09-08,43
2013-09-15,49
2013-09-22,51
2013-09-29,49
2013-10-06,53
2013-10-13,56
2013-10-20,58
2013-10-27,55
2013-11-03,56
2013-11-10,62
2013-11-17,64
2013-11-24,77
2013-12-01,82
2013-12-08,88
2013-12-15,76
2013-12-22,63
2013-12-29,54
2014-01-05,50
2014-01-12,46
2014-01-19,49
2014-01-26,48
2014-02-02,49
2014-02-09,47
2014-02-16,44
2014-02-23,44
2014-03-02,44
2014-03-09,40
2014-03-16,39
2014-03-23,43
2014-03-30,45
2014-04-06,39
2014-04-13,38
2014-04-20,36
2014-04-27,37
2014-05-04,39
2014-05-11,35
2014-05-18,34
2014-05-25,33
2014-06-01,30
2014-06-08,31
2014-06-15,30
2014-06-22,30
2014-06-29,30
2014-07-06,31
2014-07-13,32
2014-07-20,32
2014-07-27,34
2014-08-03,35
2014-08-10,38
2014-08-17,42
2014-08-24,44
2014-08-31,46
2014-09-07,47
2014-09-14,52
2014-09-21,53
2014-09-28,56
2014-10-05,60
2014-10-12,63
2014-10-19,65
2014-10-26,60
2014-11-02,69
2014-11-09,71
2014-11-16,77
2014-11-23,83
2014-11-30,93
2014-12-07,93
2014-12-14,87
2014-12-21,73
2014-12-28,62
2015-01-04,57
2015-01-11,56
2015-01-18,56
2015-01-25,54
2015-02-01,54
2015-02-08,51
2015-02-15,50
2015-02-22,50
2015-03-01,50
2015-03-08,47
2015-03-15,42
2015-03-22,43
2015-03-29,42
2015-04-05,40
2015-04-12,38
2015-04-19,38
2015-04-26,40
2015-05-03,36
2015-05-10,36
2015-05-17,38
2015-05-24,37
2015-05-31,36
2015-06-07,32
2015-06-14,33
2015-06-21,33
2015-06-28,31
2015-07-05,34
2015-07-12,36
2015-07-19,34
2015-07-26,37
2015-08-02,39
2015-08-09,39
2015-08-16,41
2015-08-23,43
2015-08-30,45
2015-09-06,48
2015-09-13,54
2015-09-20,58
2015-09-27,60
2015-10-04,64
2015-10-11,64
2015-10-18,68
2015-10-25,68
2015-11-01,67
2015-11-08,73
2015-11-15,81
2015-11-22,93
2015-11-29,99
2015-12-06,99
2015-12-13,100
2015-12-20,83
2015-12-27,74
