Category: All categories

Week,leggings: (Worldwide)
2012-01-01,43
2012-01-08,40
2012-01-15,40
2012-01-22,40
2012-01-29,40
2012-02-05,40
2012-02-12,39
2012-02-19,39
2012-02-26,38
2012-03-04,39
2012-03-11,37
2012-03-18,36
2012-03-25,35
2012-04-01,36
2012-04-08,37
2012-04-15,35
2012-04-22,38
2012-04-29,39
2012-05-06,39
2012-05-13,38
2012-05-20,35
2012-05-27,34
2012-06-03,36
2012-06-10,33
2012-06-17,33
2012-06-24,35
2012-07-01,33
2012-07-08,34
2012-07-15,37
2012-07-22,35
2012-07-29,37
2012-08-05,37
2012-08-12,40
2012-08-19,40
2012-08-26,41
2012-09-02,44
2012-09-09,46
2012-09-16,50
2012-09-23,55
2012-09-30,59
2012-10-07,64
2012-10-14,62
2012-10-21,67
2012-10-28,61
2012-11-04,63
2012-11-11,68
2012-11-18,70
2012-11-25,75
2012-12-02,74
2012-12-09,78
2012-12-16,68
2012-12-23,73
2012-12-30,68
2013-01-06,62
2013-01-13,63
2013-01-20,63
2013-01-27,62
2013-02-03,60
2013-02-10,58
2013-02-17,60
2013-02-24,62
2013-03-03,61
2013-03-10,59
2013-03-17,61
2013-03-24,60
2013-03-31,58
2013-04-07,60
2013-04-14,57
2013-04-21,59
2013-04-28,56
2013-05-05,55
2013-05-12,51
2013-05-19,53
2013-05-26,52
2013-06-02,49
2013-06-09,49
2013-06-16,48
2013-06-23,48
2013-06-30,47
2013-07-07,44
2013-07-14,44
2013-07-21,46
2013-07-28,48
2013-08-04,51
2013-08-11,51
2013-08-18,52
2013-08-25,52
2013-09-01,54
2013-09-08,57
2013-09-15,63
2013-09-22,67
2013-09-29,69
2013-10-06,70
2013-10-13,79
2013-10-20,83
2013-10-27,79
2013-11-03,79
2013-11-10,84
2013-11-17,85
2013-11-24,91
2013-12-01,98
2013-12-08,98
2013-12-15,87
2013-12-22,83
2013-12-29,84
2014-01-05,77
2014-01-12,71
2014-01-19,74
2014-01-26,73
2014-02-02,72
2014-02-09,68
2014-02-16,68
2014-02-23,68
2014-03-02,69
2014-03-09,65
2014-03-16,66
2014-03-23,67
2014-03-30,64
2014-04-06,63
2014-04-13,62
2014-04-20,61
2014-04-27,61
2014-05-04,60
2014-05-11,56
2014-05-18,56
2014-05-25,54
2014-06-01,53
2014-06-08,52
2014-06-15,50
2014-06-22,51
2014-06-29,50
2014-07-06,50
2014-07-13,52
2014-07-20,51
2014-07-27,53
2014-08-03,53
2014-08-10,54
2014-08-17,57
2014-08-24,57
2014-08-31,58
2014-09-07,62
2014-09-14,70
2014-09-21,70
2014-09-28,75
2014-10-05,81
2014-10-12,84
2014-10-19,84
2014-10-26,85
2014-11-02,83
2014-11-09,90
2014-11-16,94
2014-11-23,94
2014-11-30,97
2014-12-07,96
2014-12-14,100
2014-12-21,88
2014-12-28,90
2015-01-04,83
2015-01-11,80
2015-01-18,76
2015-01-25,76
2015-02-01,73
2015-02-08,70
2015-02-15,69
2015-02-22,70
2015-03-01,69
2015-03-08,68
2015-03-15,66
2015-03-22,67
2015-03-29,64
2015-04-05,67
2015-04-12,64
2015-04-19,64
2015-04-26,64
2015-05-03,61
2015-05-10,62
2015-05-17,60
2015-05-24,59
2015-05-31,58
2015-06-07,56
2015-06-14,54
2015-06-21,55
2015-06-28,54
2015-07-05,53
2015-07-12,54
2015-07-19,54
2015-07-26,55
2015-08-02,56
2015-08-09,57
2015-08-16,59
2015-08-23,60
2015-08-30,60
2015-09-06,63
2015-09-13,69
2015-09-20,76
2015-09-27,81
2015-10-04,85
2015-10-11,87
2015-10-18,89
2015-10-25,100
2015-11-01,85
2015-11-08,88
2015-11-15,89
2015-11-22,95
2015-11-29,100
2015-12-06,95
2015-12-13,95
2015-12-20,85
2015-12-27,92
