Category: All categories

Week,zoris: (Worldwide)
2012-01-01,90
2012-01-08,91
2012-01-15,64
2012-01-22,42
2012-01-29,100
2012-02-05,54
2012-02-12,71
2012-02-19,36
2012-02-26,77
2012-03-04,95
2012-03-11,58
2012-03-18,41
2012-03-25,30
2012-04-01,56
2012-04-08,74
2012-04-15,58
2012-04-22,41
2012-04-29,66
2012-05-06,53
2012-05-13,53
2012-05-20,35
2012-05-27,53
2012-06-03,35
2012-06-10,41
2012-06-17,52
2012-06-24,47
2012-07-01,47
2012-07-08,53
2012-07-15,36
2012-07-22,60
2012-07-29,36
2012-08-05,53
2012-08-12,36
2012-08-19,71
2012-08-26,23
2012-09-02,52
2012-09-09,39
2012-09-16,39
2012-09-23,28
2012-09-30,77
2012-10-07,43
2012-10-14,26
2012-10-21,32
2012-10-28,43
2012-11-04,26
2012-11-11,42
2012-11-18,42
2012-11-25,41
2012-12-02,41
2012-12-09,39
2012-12-16,26
2012-12-23,52
2012-12-30,44
2013-01-06,44
2013-01-13,39
2013-01-20,49
2013-01-27,53
2013-02-03,44
2013-02-10,59
2013-02-17,24
2013-02-24,43
2013-03-03,33
2013-03-10,37
2013-03-17,33
2013-03-24,63
2013-03-31,29
2013-04-07,42
2013-04-14,14
2013-04-21,38
2013-04-28,29
2013-05-05,22
2013-05-12,42
2013-05-19,23
2013-05-26,49
2013-06-02,47
2013-06-09,51
2013-06-16,14
2013-06-23,28
2013-06-30,39
2013-07-07,29
2013-07-14,29
2013-07-21,58
2013-07-28,29
2013-08-04,15
2013-08-11,33
2013-08-18,43
2013-08-25,23
2013-09-01,32
2013-09-08,47
2013-09-15,34
2013-09-22,31
2013-09-29,34
2013-10-06,13
2013-10-13,20
2013-10-20,26
2013-10-27,22
2013-11-03,22
2013-11-10,22
2013-11-17,64
2013-11-24,26
2013-12-01,19
2013-12-08,20
2013-12-15,22
2013-12-22,44
2013-12-29,35
2014-01-05,21
2014-01-12,43
2014-01-19,37
2014-01-26,25
2014-02-02,33
2014-02-09,37
2014-02-16,31
2014-02-23,49
2014-03-02,25
2014-03-09,21
2014-03-16,16
2014-03-23,45
2014-03-30,29
2014-04-06,33
2014-04-13,45
2014-04-20,25
2014-04-27,58
2014-05-04,25
2014-05-11,45
2014-05-18,35
2014-05-25,32
2014-06-01,55
2014-06-08,60
2014-06-15,49
2014-06-22,19
2014-06-29,23
2014-07-06,14
2014-07-13,35
2014-07-20,42
2014-07-27,14
2014-08-03,29
2014-08-10,32
2014-08-17,34
2014-08-24,40
2014-08-31,20
2014-09-07,26
2014-09-14,20
2014-09-21,26
2014-09-28,39
2014-10-05,35
2014-10-12,19
2014-10-19,25
2014-10-26,17
2014-11-02,25
2014-11-09,37
2014-11-16,71
2014-11-23,12
2014-11-30,19
2014-12-07,56
2014-12-14,38
2014-12-21,28
2014-12-28,23
2015-01-04,24
2015-01-11,32
2015-01-18,23
2015-01-25,27
2015-02-01,35
2015-02-08,43
2015-02-15,36
2015-02-22,43
2015-03-01,35
2015-03-08,41
2015-03-15,19
2015-03-22,25
2015-03-29,32
2015-04-05,24
2015-04-12,39
2015-04-19,23
2015-04-26,32
2015-05-03,23
2015-05-10,20
2015-05-17,31
2015-05-24,39
2015-05-31,23
2015-06-07,23
2015-06-14,47
2015-06-21,39
2015-06-28,24
2015-07-05,30
2015-07-12,40
2015-07-19,36
2015-07-26,43
2015-08-02,20
2015-08-09,18
2015-08-16,35
2015-08-23,38
2015-08-30,15
2015-09-06,34
2015-09-13,22
2015-09-20,56
2015-09-27,22
2015-10-04,51
2015-10-11,11
2015-10-18,27
2015-10-25,36
2015-11-01,25
2015-11-08,32
2015-11-15,22
2015-11-22,33
2015-11-29,32
2015-12-06,32
2015-12-13,26
2015-12-20,43
2015-12-27,36
