Category: All categories

Week,anorak: (Worldwide)
2012-01-01,61
2012-01-08,55
2012-01-15,57
2012-01-22,52
2012-01-29,59
2012-02-05,53
2012-02-12,48
2012-02-19,41
2012-02-26,45
2012-03-04,46
2012-03-11,43
2012-03-18,42
2012-03-25,36
2012-04-01,37
2012-04-08,39
2012-04-15,41
2012-04-22,41
2012-04-29,39
2012-05-06,36
2012-05-13,33
2012-05-20,30
2012-05-27,31
2012-06-03,32
2012-06-10,32
2012-06-17,32
2012-06-24,28
2012-07-01,33
2012-07-08,35
2012-07-15,30
2012-07-22,32
2012-07-29,39
2012-08-05,39
2012-08-12,35
2012-08-19,37
2012-08-26,38
2012-09-02,43
2012-09-09,48
2012-09-16,52
2012-09-23,57
2012-09-30,53
2012-10-07,53
2012-10-14,62
2012-10-21,57
2012-10-28,58
2012-11-04,58
2012-11-11,62
2012-11-18,66
2012-11-25,66
2012-12-02,67
2012-12-09,66
2012-12-16,54
2012-12-23,54
2012-12-30,59
2013-01-06,62
2013-01-13,56
2013-01-20,57
2013-01-27,51
2013-02-03,51
2013-02-10,50
2013-02-17,61
2013-02-24,51
2013-03-03,52
2013-03-10,50
2013-03-17,49
2013-03-24,51
2013-03-31,52
2013-04-07,43
2013-04-14,47
2013-04-21,47
2013-04-28,37
2013-05-05,39
2013-05-12,41
2013-05-19,39
2013-05-26,37
2013-06-02,36
2013-06-09,35
2013-06-16,30
2013-06-23,33
2013-06-30,34
2013-07-07,27
2013-07-14,31
2013-07-21,34
2013-07-28,35
2013-08-04,36
2013-08-11,38
2013-08-18,43
2013-08-25,41
2013-09-01,41
2013-09-08,52
2013-09-15,57
2013-09-22,55
2013-09-29,55
2013-10-06,61
2013-10-13,59
2013-10-20,57
2013-10-27,60
2013-11-03,62
2013-11-10,69
2013-11-17,71
2013-11-24,79
2013-12-01,72
2013-12-08,69
2013-12-15,66
2013-12-22,64
2013-12-29,64
2014-01-05,70
2014-01-12,65
2014-01-19,60
2014-01-26,59
2014-02-02,52
2014-02-09,53
2014-02-16,52
2014-02-23,52
2014-03-02,46
2014-03-09,49
2014-03-16,45
2014-03-23,49
2014-03-30,51
2014-04-06,48
2014-04-13,41
2014-04-20,42
2014-04-27,42
2014-05-04,43
2014-05-11,40
2014-05-18,36
2014-05-25,32
2014-06-01,35
2014-06-08,32
2014-06-15,33
2014-06-22,32
2014-06-29,34
2014-07-06,34
2014-07-13,34
2014-07-20,34
2014-07-27,39
2014-08-03,45
2014-08-10,42
2014-08-17,47
2014-08-24,43
2014-08-31,41
2014-09-07,47
2014-09-14,72
2014-09-21,55
2014-09-28,56
2014-10-05,58
2014-10-12,57
2014-10-19,61
2014-10-26,59
2014-11-02,73
2014-11-09,77
2014-11-16,72
2014-11-23,75
2014-11-30,79
2014-12-07,73
2014-12-14,60
2014-12-21,62
2014-12-28,75
2015-01-04,76
2015-01-11,66
2015-01-18,62
2015-01-25,60
2015-02-01,67
2015-02-08,69
2015-02-15,65
2015-02-22,60
2015-03-01,57
2015-03-08,56
2015-03-15,54
2015-03-22,52
2015-03-29,50
2015-04-05,47
2015-04-12,46
2015-04-19,41
2015-04-26,44
2015-05-03,39
2015-05-10,38
2015-05-17,38
2015-05-24,37
2015-05-31,38
2015-06-07,32
2015-06-14,30
2015-06-21,34
2015-06-28,31
2015-07-05,32
2015-07-12,35
2015-07-19,38
2015-07-26,38
2015-08-02,41
2015-08-09,42
2015-08-16,49
2015-08-23,52
2015-08-30,55
2015-09-06,61
2015-09-13,61
2015-09-20,64
2015-09-27,68
2015-10-04,72
2015-10-11,78
2015-10-18,79
2015-10-25,70
2015-11-01,78
2015-11-08,75
2015-11-15,79
2015-11-22,100
2015-11-29,90
2015-12-06,81
2015-12-13,78
2015-12-20,72
2015-12-27,83
