Category: All categories

Week,apron: (Worldwide)
2012-01-01,34
2012-01-08,36
2012-01-15,33
2012-01-22,33
2012-01-29,36
2012-02-05,33
2012-02-12,34
2012-02-19,35
2012-02-26,37
2012-03-04,37
2012-03-11,37
2012-03-18,38
2012-03-25,41
2012-04-01,38
2012-04-08,38
2012-04-15,36
2012-04-22,37
2012-04-29,38
2012-05-06,37
2012-05-13,35
2012-05-20,36
2012-05-27,36
2012-06-03,35
2012-06-10,35
2012-06-17,33
2012-06-24,35
2012-07-01,32
2012-07-08,36
2012-07-15,35
2012-07-22,36
2012-07-29,36
2012-08-05,37
2012-08-12,34
2012-08-19,36
2012-08-26,37
2012-09-02,37
2012-09-09,37
2012-09-16,37
2012-09-23,39
2012-09-30,37
2012-10-07,39
2012-10-14,40
2012-10-21,43
2012-10-28,40
2012-11-04,40
2012-11-11,44
2012-11-18,53
2012-11-25,56
2012-12-02,54
2012-12-09,56
2012-12-16,50
2012-12-23,36
2012-12-30,36
2013-01-06,38
2013-01-13,39
2013-01-20,41
2013-01-27,39
2013-02-03,39
2013-02-10,39
2013-02-17,38
2013-02-24,45
2013-03-03,41
2013-03-10,41
2013-03-17,42
2013-03-24,41
2013-03-31,42
2013-04-07,42
2013-04-14,44
2013-04-21,44
2013-04-28,43
2013-05-05,43
2013-05-12,44
2013-05-19,44
2013-05-26,43
2013-06-02,45
2013-06-09,46
2013-06-16,50
2013-06-23,44
2013-06-30,44
2013-07-07,44
2013-07-14,43
2013-07-21,46
2013-07-28,45
2013-08-04,45
2013-08-11,47
2013-08-18,50
2013-08-25,46
2013-09-01,48
2013-09-08,47
2013-09-15,45
2013-09-22,46
2013-09-29,47
2013-10-06,47
2013-10-13,50
2013-10-20,55
2013-10-27,53
2013-11-03,50
2013-11-10,52
2013-11-17,56
2013-11-24,56
2013-12-01,63
2013-12-08,67
2013-12-15,60
2013-12-22,49
2013-12-29,45
2014-01-05,46
2014-01-12,52
2014-01-19,49
2014-01-26,48
2014-02-02,46
2014-02-09,50
2014-02-16,53
2014-02-23,51
2014-03-02,52
2014-03-09,51
2014-03-16,50
2014-03-23,54
2014-03-30,55
2014-04-06,54
2014-04-13,55
2014-04-20,57
2014-04-27,58
2014-05-04,63
2014-05-11,63
2014-05-18,61
2014-05-25,55
2014-06-01,56
2014-06-08,56
2014-06-15,53
2014-06-22,53
2014-06-29,51
2014-07-06,55
2014-07-13,57
2014-07-20,57
2014-07-27,60
2014-08-03,57
2014-08-10,58
2014-08-17,58
2014-08-24,57
2014-08-31,57
2014-09-07,57
2014-09-14,53
2014-09-21,56
2014-09-28,57
2014-10-05,57
2014-10-12,55
2014-10-19,61
2014-10-26,62
2014-11-02,59
2014-11-09,62
2014-11-16,73
2014-11-23,66
2014-11-30,74
2014-12-07,76
2014-12-14,70
2014-12-21,58
2014-12-28,59
2015-01-04,68
2015-01-11,70
2015-01-18,73
2015-01-25,72
2015-02-01,70
2015-02-08,69
2015-02-15,67
2015-02-22,69
2015-03-01,68
2015-03-08,72
2015-03-15,73
2015-03-22,70
2015-03-29,74
2015-04-05,73
2015-04-12,72
2015-04-19,77
2015-04-26,82
2015-05-03,76
2015-05-10,79
2015-05-17,72
2015-05-24,74
2015-05-31,80
2015-06-07,81
2015-06-14,83
2015-06-21,78
2015-06-28,78
2015-07-05,83
2015-07-12,86
2015-07-19,90
2015-07-26,89
2015-08-02,92
2015-08-09,92
2015-08-16,93
2015-08-23,96
2015-08-30,91
2015-09-06,85
2015-09-13,88
2015-09-20,86
2015-09-27,86
2015-10-04,85
2015-10-11,85
2015-10-18,86
2015-10-25,95
2015-11-01,88
2015-11-08,91
2015-11-15,87
2015-11-22,82
2015-11-29,99
2015-12-06,100
2015-12-13,97
2015-12-20,88
2015-12-27,92
