Category: All categories

Week,beanie: (Worldwide)
2012-01-01,30
2012-01-08,29
2012-01-15,30
2012-01-22,27
2012-01-29,32
2012-02-05,28
2012-02-12,26
2012-02-19,24
2012-02-26,21
2012-03-04,21
2012-03-11,19
2012-03-18,18
2012-03-25,19
2012-04-01,21
2012-04-08,20
2012-04-15,19
2012-04-22,20
2012-04-29,20
2012-05-06,19
2012-05-13,18
2012-05-20,19
2012-05-27,19
2012-06-03,19
2012-06-10,20
2012-06-17,19
2012-06-24,20
2012-07-01,19
2012-07-08,23
2012-07-15,23
2012-07-22,22
2012-07-29,23
2012-08-05,23
2012-08-12,25
2012-08-19,28
2012-08-26,34
2012-09-02,31
2012-09-09,32
2012-09-16,31
2012-09-23,36
2012-09-30,34
2012-10-07,38
2012-10-14,36
2012-10-21,42
2012-10-28,45
2012-11-04,46
2012-11-11,51
2012-11-18,54
2012-11-25,57
2012-12-02,60
2012-12-09,63
2012-12-16,61
2012-12-23,58
2012-12-30,49
2013-01-06,44
2013-01-13,48
2013-01-20,46
2013-01-27,41
2013-02-03,36
2013-02-10,36
2013-02-17,34
2013-02-24,33
2013-03-03,33
2013-03-10,35
2013-03-17,33
2013-03-24,34
2013-03-31,32
2013-04-07,28
2013-04-14,26
2013-04-21,27
2013-04-28,27
2013-05-05,25
2013-05-12,24
2013-05-19,25
2013-05-26,24
2013-06-02,24
2013-06-09,23
2013-06-16,25
2013-06-23,26
2013-06-30,25
2013-07-07,24
2013-07-14,24
2013-07-21,29
2013-07-28,30
2013-08-04,30
2013-08-11,30
2013-08-18,30
2013-08-25,33
2013-09-01,32
2013-09-08,33
2013-09-15,39
2013-09-22,37
2013-09-29,41
2013-10-06,44
2013-10-13,47
2013-10-20,49
2013-10-27,52
2013-11-03,52
2013-11-10,57
2013-11-17,60
2013-11-24,72
2013-12-01,73
2013-12-08,84
2013-12-15,74
2013-12-22,64
2013-12-29,56
2014-01-05,70
2014-01-12,62
2014-01-19,51
2014-01-26,48
2014-02-02,47
2014-02-09,43
2014-02-16,37
2014-02-23,34
2014-03-02,33
2014-03-09,29
2014-03-16,29
2014-03-23,30
2014-03-30,27
2014-04-06,26
2014-04-13,27
2014-04-20,26
2014-04-27,25
2014-05-04,25
2014-05-11,24
2014-05-18,22
2014-05-25,22
2014-06-01,22
2014-06-08,23
2014-06-15,25
2014-06-22,25
2014-06-29,25
2014-07-06,27
2014-07-13,27
2014-07-20,27
2014-07-27,28
2014-08-03,27
2014-08-10,29
2014-08-17,28
2014-08-24,28
2014-08-31,28
2014-09-07,30
2014-09-14,31
2014-09-21,33
2014-09-28,34
2014-10-05,38
2014-10-12,40
2014-10-19,43
2014-10-26,48
2014-11-02,88
2014-11-09,63
2014-11-16,65
2014-11-23,66
2014-11-30,94
2014-12-07,82
2014-12-14,74
2014-12-21,100
2014-12-28,63
2015-01-04,56
2015-01-11,50
2015-01-18,44
2015-01-25,40
2015-02-01,43
2015-02-08,37
2015-02-15,37
2015-02-22,36
2015-03-01,34
2015-03-08,29
2015-03-15,28
2015-03-22,30
2015-03-29,31
2015-04-05,28
2015-04-12,29
2015-04-19,57
2015-04-26,29
2015-05-03,27
2015-05-10,27
2015-05-17,26
2015-05-24,26
2015-05-31,28
2015-06-07,26
2015-06-14,26
2015-06-21,25
2015-06-28,24
2015-07-05,25
2015-07-12,27
2015-07-19,26
2015-07-26,27
2015-08-02,30
2015-08-09,27
2015-08-16,28
2015-08-23,27
2015-08-30,28
2015-09-06,29
2015-09-13,31
2015-09-20,32
2015-09-27,35
2015-10-04,38
2015-10-11,41
2015-10-18,45
2015-10-25,49
2015-11-01,43
2015-11-08,49
2015-11-15,53
2015-11-22,66
2015-11-29,69
2015-12-06,67
2015-12-13,71
2015-12-20,68
2015-12-27,54
