Category: All categories

Week,boot: (Worldwide)
2012-01-01,95
2012-01-08,93
2012-01-15,94
2012-01-22,92
2012-01-29,85
2012-02-05,85
2012-02-12,83
2012-02-19,85
2012-02-26,86
2012-03-04,84
2012-03-11,80
2012-03-18,79
2012-03-25,79
2012-04-01,82
2012-04-08,82
2012-04-15,80
2012-04-22,80
2012-04-29,81
2012-05-06,81
2012-05-13,81
2012-05-20,79
2012-05-27,79
2012-06-03,82
2012-06-10,79
2012-06-17,80
2012-06-24,81
2012-07-01,87
2012-07-08,84
2012-07-15,87
2012-07-22,87
2012-07-29,87
2012-08-05,88
2012-08-12,93
2012-08-19,92
2012-08-26,91
2012-09-02,88
2012-09-09,89
2012-09-16,91
2012-09-23,93
2012-09-30,92
2012-10-07,91
2012-10-14,91
2012-10-21,93
2012-10-28,94
2012-11-04,90
2012-11-11,92
2012-11-18,95
2012-11-25,98
2012-12-02,94
2012-12-09,94
2012-12-16,92
2012-12-23,99
2012-12-30,98
2013-01-06,93
2013-01-13,92
2013-01-20,92
2013-01-27,87
2013-02-03,85
2013-02-10,84
2013-02-17,84
2013-02-24,83
2013-03-03,81
2013-03-10,79
2013-03-17,79
2013-03-24,81
2013-03-31,80
2013-04-07,80
2013-04-14,80
2013-04-21,79
2013-04-28,80
2013-05-05,81
2013-05-12,77
2013-05-19,79
2013-05-26,79
2013-06-02,77
2013-06-09,76
2013-06-16,77
2013-06-23,77
2013-06-30,77
2013-07-07,80
2013-07-14,80
2013-07-21,84
2013-07-28,87
2013-08-04,86
2013-08-11,85
2013-08-18,87
2013-08-25,86
2013-09-01,85
2013-09-08,85
2013-09-15,86
2013-09-22,87
2013-09-29,88
2013-10-06,88
2013-10-13,93
2013-10-20,96
2013-10-27,94
2013-11-03,93
2013-11-10,95
2013-11-17,94
2013-11-24,99
2013-12-01,99
2013-12-08,100
2013-12-15,96
2013-12-22,98
2013-12-29,99
2014-01-05,96
2014-01-12,93
2014-01-19,91
2014-01-26,87
2014-02-02,85
2014-02-09,85
2014-02-16,83
2014-02-23,82
2014-03-02,84
2014-03-09,81
2014-03-16,80
2014-03-23,80
2014-03-30,79
2014-04-06,80
2014-04-13,85
2014-04-20,83
2014-04-27,81
2014-05-04,80
2014-05-11,78
2014-05-18,78
2014-05-25,81
2014-06-01,80
2014-06-08,80
2014-06-15,77
2014-06-22,79
2014-06-29,78
2014-07-06,82
2014-07-13,93
2014-07-20,84
2014-07-27,85
2014-08-03,86
2014-08-10,84
2014-08-17,86
2014-08-24,85
2014-08-31,83
2014-09-07,83
2014-09-14,86
2014-09-21,85
2014-09-28,88
2014-10-05,86
2014-10-12,95
2014-10-19,98
2014-10-26,93
2014-11-02,93
2014-11-09,95
2014-11-16,97
2014-11-23,98
2014-11-30,100
2014-12-07,98
2014-12-14,94
2014-12-21,96
2014-12-28,96
2015-01-04,93
2015-01-11,91
2015-01-18,86
2015-01-25,88
2015-02-01,85
2015-02-08,82
2015-02-15,83
2015-02-22,81
2015-03-01,80
2015-03-08,80
2015-03-15,78
2015-03-22,77
2015-03-29,77
2015-04-05,78
2015-04-12,75
2015-04-19,76
2015-04-26,76
2015-05-03,76
2015-05-10,76
2015-05-17,76
2015-05-24,81
2015-05-31,78
2015-06-07,77
2015-06-14,76
2015-06-21,77
2015-06-28,76
2015-07-05,79
2015-07-12,80
2015-07-19,81
2015-07-26,90
2015-08-02,94
2015-08-09,91
2015-08-16,90
2015-08-23,87
2015-08-30,86
2015-09-06,83
2015-09-13,84
2015-09-20,86
2015-09-27,87
2015-10-04,89
2015-10-11,89
2015-10-18,89
2015-10-25,88
2015-11-01,87
2015-11-08,89
2015-11-15,89
2015-11-22,97
2015-11-29,98
2015-12-06,92
2015-12-13,93
2015-12-20,94
2015-12-27,96
