Category: All categories

Week,Little black dress: (Worldwide)
2012-01-01,25
2012-01-08,29
2012-01-15,29
2012-01-22,30
2012-01-29,31
2012-02-05,31
2012-02-12,31
2012-02-19,33
2012-02-26,29
2012-03-04,30
2012-03-11,26
2012-03-18,26
2012-03-25,26
2012-04-01,25
2012-04-08,23
2012-04-15,26
2012-04-22,31
2012-04-29,31
2012-05-06,29
2012-05-13,28
2012-05-20,25
2012-05-27,27
2012-06-03,25
2012-06-10,25
2012-06-17,26
2012-06-24,25
2012-07-01,22
2012-07-08,25
2012-07-15,26
2012-07-22,25
2012-07-29,26
2012-08-05,26
2012-08-12,26
2012-08-19,30
2012-08-26,32
2012-09-02,32
2012-09-09,35
2012-09-16,34
2012-09-23,33
2012-09-30,42
2012-10-07,36
2012-10-14,34
2012-10-21,36
2012-10-28,32
2012-11-04,32
2012-11-11,49
2012-11-18,46
2012-11-25,45
2012-12-02,46
2012-12-09,35
2012-12-16,29
2012-12-23,28
2012-12-30,28
2013-01-06,28
2013-01-13,28
2013-01-20,29
2013-01-27,30
2013-02-03,29
2013-02-10,28
2013-02-17,28
2013-02-24,28
2013-03-03,27
2013-03-10,26
2013-03-17,24
2013-03-24,27
2013-03-31,24
2013-04-07,27
2013-04-14,26
2013-04-21,28
2013-04-28,27
2013-05-05,25
2013-05-12,25
2013-05-19,25
2013-05-26,24
2013-06-02,24
2013-06-09,23
2013-06-16,21
2013-06-23,23
2013-06-30,23
2013-07-07,24
2013-07-14,29
2013-07-21,33
2013-07-28,27
2013-08-04,26
2013-08-11,26
2013-08-18,27
2013-08-25,26
2013-09-01,27
2013-09-08,31
2013-09-15,32
2013-09-22,33
2013-09-29,31
2013-10-06,31
2013-10-13,34
2013-10-20,32
2013-10-27,34
2013-11-03,37
2013-11-10,44
2013-11-17,85
2013-11-24,100
2013-12-01,68
2013-12-08,56
2013-12-15,45
2013-12-22,47
2013-12-29,47
2014-01-05,43
2014-01-12,40
2014-01-19,37
2014-01-26,36
2014-02-02,37
2014-02-09,34
2014-02-16,34
2014-02-23,33
2014-03-02,33
2014-03-09,32
2014-03-16,30
2014-03-23,31
2014-03-30,34
2014-04-06,35
2014-04-13,33
2014-04-20,34
2014-04-27,40
2014-05-04,42
2014-05-11,35
2014-05-18,32
2014-05-25,31
2014-06-01,33
2014-06-08,30
2014-06-15,29
2014-06-22,32
2014-06-29,30
2014-07-06,32
2014-07-13,32
2014-07-20,33
2014-07-27,36
2014-08-03,35
2014-08-10,31
2014-08-17,30
2014-08-24,30
2014-08-31,33
2014-09-07,35
2014-09-14,35
2014-09-21,34
2014-09-28,35
2014-10-05,38
2014-10-12,36
2014-10-19,37
2014-10-26,36
2014-11-02,33
2014-11-09,36
2014-11-16,37
2014-11-23,37
2014-11-30,41
2014-12-07,40
2014-12-14,33
2014-12-21,30
2014-12-28,33
2015-01-04,28
2015-01-11,29
2015-01-18,30
2015-01-25,29
2015-02-01,30
2015-02-08,30
2015-02-15,27
2015-02-22,37
2015-03-01,32
2015-03-08,30
2015-03-15,29
2015-03-22,28
2015-03-29,27
2015-04-05,28
2015-04-12,28
2015-04-19,27
2015-04-26,28
2015-05-03,28
2015-05-10,29
2015-05-17,29
2015-05-24,28
2015-05-31,27
2015-06-07,24
2015-06-14,25
2015-06-21,26
2015-06-28,24
2015-07-05,25
2015-07-12,26
2015-07-19,28
2015-07-26,26
2015-08-02,26
2015-08-09,25
2015-08-16,27
2015-08-23,27
2015-08-30,30
2015-09-06,28
2015-09-13,34
2015-09-20,30
2015-09-27,32
2015-10-04,32
2015-10-11,35
2015-10-18,33
2015-10-25,36
2015-11-01,35
2015-11-08,38
2015-11-15,36
2015-11-22,36
2015-11-29,34
2015-12-06,36
2015-12-13,32
2015-12-20,27
2015-12-27,32
