Category: All categories

Week,bow tie: (Worldwide)
2012-01-01,39
2012-01-08,34
2012-01-15,40
2012-01-22,41
2012-01-29,42
2012-02-05,48
2012-02-12,47
2012-02-19,48
2012-02-26,47
2012-03-04,49
2012-03-11,42
2012-03-18,45
2012-03-25,44
2012-04-01,44
2012-04-08,50
2012-04-15,50
2012-04-22,52
2012-04-29,56
2012-05-06,54
2012-05-13,53
2012-05-20,49
2012-05-27,49
2012-06-03,49
2012-06-10,49
2012-06-17,47
2012-06-24,49
2012-07-01,48
2012-07-08,45
2012-07-15,50
2012-07-22,46
2012-07-29,44
2012-08-05,40
2012-08-12,43
2012-08-19,47
2012-08-26,45
2012-09-02,46
2012-09-09,46
2012-09-16,52
2012-09-23,53
2012-09-30,54
2012-10-07,52
2012-10-14,52
2012-10-21,62
2012-10-28,59
2012-11-04,48
2012-11-11,59
2012-11-18,64
2012-11-25,70
2012-12-02,80
2012-12-09,83
2012-12-16,79
2012-12-23,81
2012-12-30,74
2013-01-06,53
2013-01-13,55
2013-01-20,55
2013-01-27,52
2013-02-03,51
2013-02-10,61
2013-02-17,56
2013-02-24,58
2013-03-03,53
2013-03-10,56
2013-03-17,57
2013-03-24,61
2013-03-31,63
2013-04-07,58
2013-04-14,63
2013-04-21,62
2013-04-28,68
2013-05-05,67
2013-05-12,64
2013-05-19,67
2013-05-26,63
2013-06-02,61
2013-06-09,59
2013-06-16,57
2013-06-23,57
2013-06-30,55
2013-07-07,55
2013-07-14,54
2013-07-21,54
2013-07-28,55
2013-08-04,57
2013-08-11,52
2013-08-18,53
2013-08-25,55
2013-09-01,55
2013-09-08,53
2013-09-15,54
2013-09-22,56
2013-09-29,60
2013-10-06,59
2013-10-13,64
2013-10-20,65
2013-10-27,70
2013-11-03,58
2013-11-10,62
2013-11-17,72
2013-11-24,75
2013-12-01,82
2013-12-08,90
2013-12-15,87
2013-12-22,96
2013-12-29,84
2014-01-05,61
2014-01-12,60
2014-01-19,66
2014-01-26,60
2014-02-02,64
2014-02-09,67
2014-02-16,63
2014-02-23,60
2014-03-02,65
2014-03-09,61
2014-03-16,63
2014-03-23,67
2014-03-30,64
2014-04-06,67
2014-04-13,74
2014-04-20,79
2014-04-27,73
2014-05-04,69
2014-05-11,72
2014-05-18,68
2014-05-25,63
2014-06-01,65
2014-06-08,64
2014-06-15,59
2014-06-22,61
2014-06-29,58
2014-07-06,53
2014-07-13,58
2014-07-20,56
2014-07-27,58
2014-08-03,63
2014-08-10,58
2014-08-17,56
2014-08-24,61
2014-08-31,53
2014-09-07,54
2014-09-14,59
2014-09-21,57
2014-09-28,66
2014-10-05,64
2014-10-12,66
2014-10-19,64
2014-10-26,76
2014-11-02,59
2014-11-09,65
2014-11-16,66
2014-11-23,70
2014-11-30,80
2014-12-07,85
2014-12-14,86
2014-12-21,94
2014-12-28,92
2015-01-04,56
2015-01-11,63
2015-01-18,66
2015-01-25,59
2015-02-01,58
2015-02-08,66
2015-02-15,63
2015-02-22,58
2015-03-01,59
2015-03-08,61
2015-03-15,61
2015-03-22,60
2015-03-29,65
2015-04-05,70
2015-04-12,63
2015-04-19,67
2015-04-26,72
2015-05-03,67
2015-05-10,69
2015-05-17,68
2015-05-24,65
2015-05-31,63
2015-06-07,64
2015-06-14,64
2015-06-21,68
2015-06-28,56
2015-07-05,57
2015-07-12,58
2015-07-19,56
2015-07-26,57
2015-08-02,54
2015-08-09,53
2015-08-16,58
2015-08-23,56
2015-08-30,53
2015-09-06,57
2015-09-13,60
2015-09-20,63
2015-09-27,66
2015-10-04,64
2015-10-11,68
2015-10-18,64
2015-10-25,72
2015-11-01,65
2015-11-08,66
2015-11-15,65
2015-11-22,71
2015-11-29,78
2015-12-06,87
2015-12-13,95
2015-12-20,100
2015-12-27,93
