Category: All categories

Week,bracelet: (Worldwide)
2012-01-01,42
2012-01-08,41
2012-01-15,41
2012-01-22,41
2012-01-29,42
2012-02-05,48
2012-02-12,46
2012-02-19,40
2012-02-26,40
2012-03-04,48
2012-03-11,41
2012-03-18,39
2012-03-25,39
2012-04-01,41
2012-04-08,42
2012-04-15,43
2012-04-22,44
2012-04-29,47
2012-05-06,50
2012-05-13,48
2012-05-20,44
2012-05-27,47
2012-06-03,48
2012-06-10,48
2012-06-17,48
2012-06-24,50
2012-07-01,49
2012-07-08,52
2012-07-15,53
2012-07-22,53
2012-07-29,55
2012-08-05,53
2012-08-12,54
2012-08-19,53
2012-08-26,51
2012-09-02,49
2012-09-09,50
2012-09-16,49
2012-09-23,46
2012-09-30,45
2012-10-07,44
2012-10-14,43
2012-10-21,44
2012-10-28,40
2012-11-04,44
2012-11-11,47
2012-11-18,53
2012-11-25,60
2012-12-02,63
2012-12-09,67
2012-12-16,66
2012-12-23,67
2012-12-30,48
2013-01-06,42
2013-01-13,40
2013-01-20,41
2013-01-27,43
2013-02-03,44
2013-02-10,49
2013-02-17,40
2013-02-24,42
2013-03-03,41
2013-03-10,40
2013-03-17,41
2013-03-24,41
2013-03-31,41
2013-04-07,41
2013-04-14,41
2013-04-21,43
2013-04-28,46
2013-05-05,49
2013-05-12,46
2013-05-19,43
2013-05-26,43
2013-06-02,44
2013-06-09,44
2013-06-16,44
2013-06-23,45
2013-06-30,45
2013-07-07,47
2013-07-14,48
2013-07-21,49
2013-07-28,50
2013-08-04,51
2013-08-11,48
2013-08-18,49
2013-08-25,46
2013-09-01,46
2013-09-08,45
2013-09-15,46
2013-09-22,45
2013-09-29,47
2013-10-06,48
2013-10-13,50
2013-10-20,49
2013-10-27,48
2013-11-03,52
2013-11-10,55
2013-11-17,58
2013-11-24,64
2013-12-01,71
2013-12-08,74
2013-12-15,77
2013-12-22,89
2013-12-29,64
2014-01-05,56
2014-01-12,53
2014-01-19,53
2014-01-26,54
2014-02-02,56
2014-02-09,61
2014-02-16,51
2014-02-23,49
2014-03-02,49
2014-03-09,47
2014-03-16,49
2014-03-23,50
2014-03-30,49
2014-04-06,49
2014-04-13,51
2014-04-20,51
2014-04-27,54
2014-05-04,58
2014-05-11,59
2014-05-18,60
2014-05-25,62
2014-06-01,64
2014-06-08,72
2014-06-15,78
2014-06-22,88
2014-06-29,92
2014-07-06,93
2014-07-13,88
2014-07-20,91
2014-07-27,89
2014-08-03,80
2014-08-10,75
2014-08-17,67
2014-08-24,63
2014-08-31,58
2014-09-07,57
2014-09-14,56
2014-09-21,53
2014-09-28,52
2014-10-05,50
2014-10-12,49
2014-10-19,48
2014-10-26,48
2014-11-02,48
2014-11-09,56
2014-11-16,58
2014-11-23,91
2014-11-30,100
2014-12-07,89
2014-12-14,87
2014-12-21,92
2014-12-28,66
2015-01-04,53
2015-01-11,50
2015-01-18,49
2015-01-25,50
2015-02-01,51
2015-02-08,56
2015-02-15,50
2015-02-22,50
2015-03-01,51
2015-03-08,49
2015-03-15,47
2015-03-22,48
2015-03-29,52
2015-04-05,47
2015-04-12,48
2015-04-19,49
2015-04-26,52
2015-05-03,52
2015-05-10,51
2015-05-17,49
2015-05-24,50
2015-05-31,51
2015-06-07,51
2015-06-14,50
2015-06-21,50
2015-06-28,51
2015-07-05,53
2015-07-12,54
2015-07-19,56
2015-07-26,55
2015-08-02,54
2015-08-09,56
2015-08-16,52
2015-08-23,52
2015-08-30,50
2015-09-06,51
2015-09-13,50
2015-09-20,48
2015-09-27,50
2015-10-04,47
2015-10-11,46
2015-10-18,47
2015-10-25,50
2015-11-01,50
2015-11-08,53
2015-11-15,57
2015-11-22,68
2015-11-29,77
2015-12-06,80
2015-12-13,85
2015-12-20,92
2015-12-27,67
