Category: All categories

Week,brassiere: (Worldwide)
2012-01-01,57
2012-01-08,52
2012-01-15,65
2012-01-22,64
2012-01-29,58
2012-02-05,61
2012-02-12,57
2012-02-19,63
2012-02-26,59
2012-03-04,58
2012-03-11,59
2012-03-18,51
2012-03-25,100
2012-04-01,54
2012-04-08,55
2012-04-15,60
2012-04-22,54
2012-04-29,61
2012-05-06,58
2012-05-13,56
2012-05-20,57
2012-05-27,59
2012-06-03,60
2012-06-10,76
2012-06-17,63
2012-06-24,57
2012-07-01,55
2012-07-08,71
2012-07-15,78
2012-07-22,82
2012-07-29,54
2012-08-05,57
2012-08-12,57
2012-08-19,56
2012-08-26,64
2012-09-02,57
2012-09-09,61
2012-09-16,69
2012-09-23,59
2012-09-30,58
2012-10-07,48
2012-10-14,62
2012-10-21,52
2012-10-28,56
2012-11-04,54
2012-11-11,62
2012-11-18,58
2012-11-25,57
2012-12-02,62
2012-12-09,56
2012-12-16,46
2012-12-23,45
2012-12-30,60
2013-01-06,56
2013-01-13,60
2013-01-20,56
2013-01-27,55
2013-02-03,60
2013-02-10,51
2013-02-17,60
2013-02-24,57
2013-03-03,61
2013-03-10,59
2013-03-17,54
2013-03-24,54
2013-03-31,47
2013-04-07,60
2013-04-14,55
2013-04-21,60
2013-04-28,57
2013-05-05,64
2013-05-12,60
2013-05-19,51
2013-05-26,59
2013-06-02,58
2013-06-09,59
2013-06-16,59
2013-06-23,60
2013-06-30,61
2013-07-07,68
2013-07-14,65
2013-07-21,59
2013-07-28,68
2013-08-04,56
2013-08-11,53
2013-08-18,59
2013-08-25,56
2013-09-01,58
2013-09-08,62
2013-09-15,56
2013-09-22,56
2013-09-29,62
2013-10-06,50
2013-10-13,56
2013-10-20,59
2013-10-27,65
2013-11-03,59
2013-11-10,64
2013-11-17,54
2013-11-24,50
2013-12-01,53
2013-12-08,52
2013-12-15,50
2013-12-22,50
2013-12-29,55
2014-01-05,67
2014-01-12,65
2014-01-19,61
2014-01-26,64
2014-02-02,60
2014-02-09,64
2014-02-16,62
2014-02-23,62
2014-03-02,66
2014-03-09,59
2014-03-16,64
2014-03-23,59
2014-03-30,60
2014-04-06,62
2014-04-13,64
2014-04-20,75
2014-04-27,64
2014-05-04,67
2014-05-11,61
2014-05-18,57
2014-05-25,66
2014-06-01,61
2014-06-08,65
2014-06-15,68
2014-06-22,69
2014-06-29,76
2014-07-06,68
2014-07-13,71
2014-07-20,68
2014-07-27,70
2014-08-03,76
2014-08-10,66
2014-08-17,67
2014-08-24,68
2014-08-31,65
2014-09-07,70
2014-09-14,65
2014-09-21,67
2014-09-28,68
2014-10-05,69
2014-10-12,59
2014-10-19,64
2014-10-26,60
2014-11-02,71
2014-11-09,63
2014-11-16,65
2014-11-23,63
2014-11-30,69
2014-12-07,64
2014-12-14,73
2014-12-21,61
2014-12-28,64
2015-01-04,70
2015-01-11,74
2015-01-18,70
2015-01-25,72
2015-02-01,68
2015-02-08,73
2015-02-15,69
2015-02-22,79
2015-03-01,75
2015-03-08,78
2015-03-15,73
2015-03-22,79
2015-03-29,76
2015-04-05,73
2015-04-12,77
2015-04-19,75
2015-04-26,84
2015-05-03,72
2015-05-10,83
2015-05-17,83
2015-05-24,80
2015-05-31,87
2015-06-07,87
2015-06-14,78
2015-06-21,87
2015-06-28,84
2015-07-05,80
2015-07-12,82
2015-07-19,89
2015-07-26,84
2015-08-02,83
2015-08-09,73
2015-08-16,75
2015-08-23,80
2015-08-30,72
2015-09-06,74
2015-09-13,77
2015-09-20,77
2015-09-27,76
2015-10-04,78
2015-10-11,65
2015-10-18,76
2015-10-25,66
2015-11-01,74
2015-11-08,75
2015-11-15,71
2015-11-22,75
2015-11-29,72
2015-12-06,78
2015-12-13,76
2015-12-20,77
2015-12-27,85
