Category: All categories

Week,briefs: (Worldwide)
2012-01-01,83
2012-01-08,76
2012-01-15,85
2012-01-22,80
2012-01-29,82
2012-02-05,82
2012-02-12,77
2012-02-19,80
2012-02-26,80
2012-03-04,77
2012-03-11,75
2012-03-18,79
2012-03-25,84
2012-04-01,83
2012-04-08,86
2012-04-15,78
2012-04-22,79
2012-04-29,81
2012-05-06,78
2012-05-13,77
2012-05-20,78
2012-05-27,79
2012-06-03,83
2012-06-10,79
2012-06-17,82
2012-06-24,89
2012-07-01,88
2012-07-08,92
2012-07-15,90
2012-07-22,88
2012-07-29,100
2012-08-05,99
2012-08-12,97
2012-08-19,93
2012-08-26,88
2012-09-02,88
2012-09-09,90
2012-09-16,88
2012-09-23,85
2012-09-30,81
2012-10-07,81
2012-10-14,80
2012-10-21,81
2012-10-28,80
2012-11-04,76
2012-11-11,85
2012-11-18,83
2012-11-25,86
2012-12-02,89
2012-12-09,91
2012-12-16,83
2012-12-23,86
2012-12-30,93
2013-01-06,85
2013-01-13,79
2013-01-20,83
2013-01-27,79
2013-02-03,88
2013-02-10,85
2013-02-17,84
2013-02-24,78
2013-03-03,81
2013-03-10,82
2013-03-17,80
2013-03-24,80
2013-03-31,81
2013-04-07,87
2013-04-14,81
2013-04-21,81
2013-04-28,90
2013-05-05,81
2013-05-12,78
2013-05-19,81
2013-05-26,81
2013-06-02,83
2013-06-09,81
2013-06-16,84
2013-06-23,82
2013-06-30,83
2013-07-07,84
2013-07-14,89
2013-07-21,94
2013-07-28,93
2013-08-04,91
2013-08-11,86
2013-08-18,91
2013-08-25,87
2013-09-01,84
2013-09-08,81
2013-09-15,80
2013-09-22,79
2013-09-29,81
2013-10-06,81
2013-10-13,79
2013-10-20,81
2013-10-27,81
2013-11-03,85
2013-11-10,80
2013-11-17,85
2013-11-24,87
2013-12-01,88
2013-12-08,89
2013-12-15,86
2013-12-22,81
2013-12-29,86
2014-01-05,78
2014-01-12,79
2014-01-19,77
2014-01-26,77
2014-02-02,83
2014-02-09,81
2014-02-16,77
2014-02-23,78
2014-03-02,76
2014-03-09,75
2014-03-16,77
2014-03-23,78
2014-03-30,79
2014-04-06,76
2014-04-13,79
2014-04-20,80
2014-04-27,83
2014-05-04,79
2014-05-11,80
2014-05-18,78
2014-05-25,77
2014-06-01,79
2014-06-08,85
2014-06-15,83
2014-06-22,84
2014-06-29,78
2014-07-06,84
2014-07-13,81
2014-07-20,88
2014-07-27,86
2014-08-03,90
2014-08-10,82
2014-08-17,86
2014-08-24,83
2014-08-31,82
2014-09-07,78
2014-09-14,78
2014-09-21,74
2014-09-28,76
2014-10-05,78
2014-10-12,74
2014-10-19,77
2014-10-26,75
2014-11-02,77
2014-11-09,76
2014-11-16,76
2014-11-23,80
2014-11-30,86
2014-12-07,88
2014-12-14,85
2014-12-21,79
2014-12-28,84
2015-01-04,81
2015-01-11,80
2015-01-18,77
2015-01-25,84
2015-02-01,79
2015-02-08,77
2015-02-15,76
2015-02-22,79
2015-03-01,78
2015-03-08,80
2015-03-15,78
2015-03-22,72
2015-03-29,81
2015-04-05,82
2015-04-12,76
2015-04-19,83
2015-04-26,76
2015-05-03,75
2015-05-10,92
2015-05-17,91
2015-05-24,76
2015-05-31,81
2015-06-07,80
2015-06-14,83
2015-06-21,81
2015-06-28,82
2015-07-05,82
2015-07-12,85
2015-07-19,92
2015-07-26,82
2015-08-02,84
2015-08-09,88
2015-08-16,85
2015-08-23,80
2015-08-30,81
2015-09-06,83
2015-09-13,81
2015-09-20,79
2015-09-27,78
2015-10-04,77
2015-10-11,77
2015-10-18,77
2015-10-25,77
2015-11-01,81
2015-11-08,80
2015-11-15,80
2015-11-22,88
2015-11-29,91
2015-12-06,92
2015-12-13,94
2015-12-20,87
2015-12-27,96
