Category: All categories

Week,caftan: (Worldwide)
2012-01-01,35
2012-01-08,38
2012-01-15,39
2012-01-22,39
2012-01-29,41
2012-02-05,39
2012-02-12,39
2012-02-19,43
2012-02-26,50
2012-03-04,49
2012-03-11,49
2012-03-18,51
2012-03-25,50
2012-04-01,53
2012-04-08,57
2012-04-15,56
2012-04-22,63
2012-04-29,58
2012-05-06,54
2012-05-13,53
2012-05-20,51
2012-05-27,57
2012-06-03,64
2012-06-10,51
2012-06-17,53
2012-06-24,44
2012-07-01,42
2012-07-08,42
2012-07-15,41
2012-07-22,38
2012-07-29,42
2012-08-05,41
2012-08-12,33
2012-08-19,38
2012-08-26,42
2012-09-02,41
2012-09-09,43
2012-09-16,41
2012-09-23,44
2012-09-30,42
2012-10-07,41
2012-10-14,36
2012-10-21,33
2012-10-28,37
2012-11-04,38
2012-11-11,40
2012-11-18,40
2012-11-25,38
2012-12-02,38
2012-12-09,37
2012-12-16,43
2012-12-23,48
2012-12-30,43
2013-01-06,38
2013-01-13,41
2013-01-20,47
2013-01-27,45
2013-02-03,46
2013-02-10,49
2013-02-17,54
2013-02-24,50
2013-03-03,54
2013-03-10,53
2013-03-17,55
2013-03-24,58
2013-03-31,55
2013-04-07,59
2013-04-14,57
2013-04-21,56
2013-04-28,73
2013-05-05,87
2013-05-12,83
2013-05-19,67
2013-05-26,59
2013-06-02,55
2013-06-09,59
2013-06-16,57
2013-06-23,51
2013-06-30,47
2013-07-07,41
2013-07-14,47
2013-07-21,48
2013-07-28,43
2013-08-04,38
2013-08-11,47
2013-08-18,47
2013-08-25,51
2013-09-01,52
2013-09-08,53
2013-09-15,51
2013-09-22,48
2013-09-29,49
2013-10-06,46
2013-10-13,38
2013-10-20,47
2013-10-27,45
2013-11-03,45
2013-11-10,42
2013-11-17,45
2013-11-24,41
2013-12-01,44
2013-12-08,45
2013-12-15,44
2013-12-22,59
2013-12-29,63
2014-01-05,50
2014-01-12,55
2014-01-19,56
2014-01-26,61
2014-02-02,61
2014-02-09,61
2014-02-16,65
2014-02-23,68
2014-03-02,65
2014-03-09,67
2014-03-16,63
2014-03-23,68
2014-03-30,71
2014-04-06,69
2014-04-13,73
2014-04-20,76
2014-04-27,70
2014-05-04,85
2014-05-11,100
2014-05-18,83
2014-05-25,75
2014-06-01,70
2014-06-08,73
2014-06-15,72
2014-06-22,60
2014-06-29,53
2014-07-06,59
2014-07-13,56
2014-07-20,51
2014-07-27,56
2014-08-03,63
2014-08-10,64
2014-08-17,61
2014-08-24,61
2014-08-31,66
2014-09-07,58
2014-09-14,57
2014-09-21,56
2014-09-28,43
2014-10-05,47
2014-10-12,58
2014-10-19,59
2014-10-26,58
2014-11-02,55
2014-11-09,57
2014-11-16,56
2014-11-23,56
2014-11-30,55
2014-12-07,54
2014-12-14,52
2014-12-21,68
2014-12-28,60
2015-01-04,58
2015-01-11,56
2015-01-18,55
2015-01-25,64
2015-02-01,58
2015-02-08,64
2015-02-15,64
2015-02-22,69
2015-03-01,71
2015-03-08,68
2015-03-15,69
2015-03-22,77
2015-03-29,81
2015-04-05,83
2015-04-12,83
2015-04-19,94
2015-04-26,78
2015-05-03,72
2015-05-10,72
2015-05-17,67
2015-05-24,74
2015-05-31,67
2015-06-07,63
2015-06-14,54
2015-06-21,55
2015-06-28,57
2015-07-05,53
2015-07-12,45
2015-07-19,67
2015-07-26,65
2015-08-02,67
2015-08-09,66
2015-08-16,65
2015-08-23,69
2015-08-30,61
2015-09-06,55
2015-09-13,52
2015-09-20,43
2015-09-27,46
2015-10-04,53
2015-10-11,54
2015-10-18,48
2015-10-25,49
2015-11-01,50
2015-11-08,48
2015-11-15,44
2015-11-22,45
2015-11-29,49
2015-12-06,49
2015-12-13,47
2015-12-20,54
2015-12-27,66
