Category: All categories

Week,camisole: (Worldwide)
2012-01-01,59
2012-01-08,54
2012-01-15,62
2012-01-22,60
2012-01-29,61
2012-02-05,55
2012-02-12,51
2012-02-19,55
2012-02-26,58
2012-03-04,51
2012-03-11,64
2012-03-18,63
2012-03-25,60
2012-04-01,64
2012-04-08,63
2012-04-15,69
2012-04-22,65
2012-04-29,64
2012-05-06,70
2012-05-13,69
2012-05-20,67
2012-05-27,70
2012-06-03,70
2012-06-10,65
2012-06-17,76
2012-06-24,68
2012-07-01,68
2012-07-08,74
2012-07-15,72
2012-07-22,72
2012-07-29,72
2012-08-05,71
2012-08-12,63
2012-08-19,68
2012-08-26,70
2012-09-02,64
2012-09-09,62
2012-09-16,66
2012-09-23,67
2012-09-30,63
2012-10-07,60
2012-10-14,52
2012-10-21,62
2012-10-28,55
2012-11-04,55
2012-11-11,66
2012-11-18,59
2012-11-25,64
2012-12-02,76
2012-12-09,70
2012-12-16,61
2012-12-23,60
2012-12-30,76
2013-01-06,67
2013-01-13,66
2013-01-20,64
2013-01-27,59
2013-02-03,54
2013-02-10,62
2013-02-17,54
2013-02-24,68
2013-03-03,63
2013-03-10,69
2013-03-17,63
2013-03-24,75
2013-03-31,75
2013-04-07,69
2013-04-14,74
2013-04-21,70
2013-04-28,77
2013-05-05,73
2013-05-12,60
2013-05-19,72
2013-05-26,73
2013-06-02,79
2013-06-09,69
2013-06-16,83
2013-06-23,73
2013-06-30,74
2013-07-07,78
2013-07-14,74
2013-07-21,74
2013-07-28,73
2013-08-04,69
2013-08-11,76
2013-08-18,77
2013-08-25,76
2013-09-01,72
2013-09-08,65
2013-09-15,73
2013-09-22,74
2013-09-29,67
2013-10-06,71
2013-10-13,64
2013-10-20,66
2013-10-27,65
2013-11-03,59
2013-11-10,66
2013-11-17,66
2013-11-24,71
2013-12-01,73
2013-12-08,72
2013-12-15,67
2013-12-22,60
2013-12-29,85
2014-01-05,69
2014-01-12,63
2014-01-19,63
2014-01-26,67
2014-02-02,69
2014-02-09,59
2014-02-16,65
2014-02-23,66
2014-03-02,70
2014-03-09,72
2014-03-16,65
2014-03-23,71
2014-03-30,78
2014-04-06,81
2014-04-13,78
2014-04-20,76
2014-04-27,78
2014-05-04,79
2014-05-11,87
2014-05-18,100
2014-05-25,85
2014-06-01,93
2014-06-08,86
2014-06-15,84
2014-06-22,80
2014-06-29,81
2014-07-06,72
2014-07-13,85
2014-07-20,96
2014-07-27,77
2014-08-03,88
2014-08-10,84
2014-08-17,83
2014-08-24,83
2014-08-31,73
2014-09-07,66
2014-09-14,77
2014-09-21,60
2014-09-28,72
2014-10-05,76
2014-10-12,72
2014-10-19,63
2014-10-26,71
2014-11-02,68
2014-11-09,70
2014-11-16,77
2014-11-23,74
2014-11-30,74
2014-12-07,77
2014-12-14,66
2014-12-21,63
2014-12-28,97
2015-01-04,70
2015-01-11,68
2015-01-18,75
2015-01-25,76
2015-02-01,72
2015-02-08,72
2015-02-15,74
2015-02-22,67
2015-03-01,65
2015-03-08,77
2015-03-15,77
2015-03-22,70
2015-03-29,72
2015-04-05,83
2015-04-12,73
2015-04-19,74
2015-04-26,76
2015-05-03,77
2015-05-10,82
2015-05-17,72
2015-05-24,84
2015-05-31,75
2015-06-07,80
2015-06-14,79
2015-06-21,77
2015-06-28,81
2015-07-05,78
2015-07-12,79
2015-07-19,79
2015-07-26,74
2015-08-02,82
2015-08-09,75
2015-08-16,70
2015-08-23,67
2015-08-30,68
2015-09-06,61
2015-09-13,65
2015-09-20,65
2015-09-27,68
2015-10-04,67
2015-10-11,71
2015-10-18,70
2015-10-25,69
2015-11-01,65
2015-11-08,68
2015-11-15,69
2015-11-22,79
2015-11-29,80
2015-12-06,76
2015-12-13,67
2015-12-20,69
2015-12-27,76
