Category: All categories

Week,cape: (Worldwide)
2012-01-01,79
2012-01-08,79
2012-01-15,80
2012-01-22,78
2012-01-29,76
2012-02-05,79
2012-02-12,77
2012-02-19,78
2012-02-26,76
2012-03-04,76
2012-03-11,76
2012-03-18,73
2012-03-25,79
2012-04-01,75
2012-04-08,75
2012-04-15,75
2012-04-22,74
2012-04-29,75
2012-05-06,76
2012-05-13,79
2012-05-20,81
2012-05-27,82
2012-06-03,82
2012-06-10,82
2012-06-17,84
2012-06-24,87
2012-07-01,91
2012-07-08,99
2012-07-15,100
2012-07-22,98
2012-07-29,96
2012-08-05,94
2012-08-12,94
2012-08-19,91
2012-08-26,88
2012-09-02,82
2012-09-09,80
2012-09-16,80
2012-09-23,76
2012-09-30,77
2012-10-07,77
2012-10-14,76
2012-10-21,77
2012-10-28,88
2012-11-04,72
2012-11-11,72
2012-11-18,70
2012-11-25,71
2012-12-02,71
2012-12-09,70
2012-12-16,64
2012-12-23,66
2012-12-30,78
2013-01-06,82
2013-01-13,82
2013-01-20,80
2013-01-27,83
2013-02-03,81
2013-02-10,79
2013-02-17,78
2013-02-24,78
2013-03-03,79
2013-03-10,80
2013-03-17,78
2013-03-24,76
2013-03-31,76
2013-04-07,78
2013-04-14,77
2013-04-21,77
2013-04-28,78
2013-05-05,84
2013-05-12,78
2013-05-19,81
2013-05-26,81
2013-06-02,84
2013-06-09,82
2013-06-16,81
2013-06-23,88
2013-06-30,93
2013-07-07,91
2013-07-14,90
2013-07-21,90
2013-07-28,90
2013-08-04,96
2013-08-11,94
2013-08-18,87
2013-08-25,86
2013-09-01,80
2013-09-08,78
2013-09-15,79
2013-09-22,73
2013-09-29,73
2013-10-06,76
2013-10-13,76
2013-10-20,75
2013-10-27,77
2013-11-03,73
2013-11-10,74
2013-11-17,76
2013-11-24,73
2013-12-01,74
2013-12-08,73
2013-12-15,69
2013-12-22,67
2013-12-29,79
2014-01-05,86
2014-01-12,91
2014-01-19,86
2014-01-26,84
2014-02-02,85
2014-02-09,81
2014-02-16,81
2014-02-23,83
2014-03-02,84
2014-03-09,81
2014-03-16,76
2014-03-23,84
2014-03-30,78
2014-04-06,80
2014-04-13,81
2014-04-20,82
2014-04-27,75
2014-05-04,81
2014-05-11,82
2014-05-18,86
2014-05-25,85
2014-06-01,84
2014-06-08,84
2014-06-15,82
2014-06-22,89
2014-06-29,94
2014-07-06,90
2014-07-13,95
2014-07-20,98
2014-07-27,98
2014-08-03,97
2014-08-10,97
2014-08-17,94
2014-08-24,90
2014-08-31,85
2014-09-07,80
2014-09-14,83
2014-09-21,80
2014-09-28,83
2014-10-05,82
2014-10-12,83
2014-10-19,79
2014-10-26,81
2014-11-02,79
2014-11-09,79
2014-11-16,77
2014-11-23,75
2014-11-30,78
2014-12-07,79
2014-12-14,71
2014-12-21,70
2014-12-28,79
2015-01-04,85
2015-01-11,85
2015-01-18,85
2015-01-25,85
2015-02-01,83
2015-02-08,85
2015-02-15,83
2015-02-22,82
2015-03-01,92
2015-03-08,85
2015-03-15,84
2015-03-22,83
2015-03-29,83
2015-04-05,81
2015-04-12,81
2015-04-19,80
2015-04-26,76
2015-05-03,80
2015-05-10,85
2015-05-17,87
2015-05-24,87
2015-05-31,84
2015-06-07,85
2015-06-14,82
2015-06-21,88
2015-06-28,92
2015-07-05,95
2015-07-12,96
2015-07-19,99
2015-07-26,96
2015-08-02,98
2015-08-09,95
2015-08-16,93
2015-08-23,88
2015-08-30,90
2015-09-06,87
2015-09-13,84
2015-09-20,80
2015-09-27,82
2015-10-04,81
2015-10-11,82
2015-10-18,80
2015-10-25,82
2015-11-01,79
2015-11-08,78
2015-11-15,76
2015-11-22,73
2015-11-29,75
2015-12-06,75
2015-12-13,76
2015-12-20,73
2015-12-27,86
