Category: All categories

Week,cardigan: (Worldwide)
2012-01-01,61
2012-01-08,57
2012-01-15,58
2012-01-22,59
2012-01-29,57
2012-02-05,58
2012-02-12,56
2012-02-19,53
2012-02-26,54
2012-03-04,54
2012-03-11,50
2012-03-18,52
2012-03-25,51
2012-04-01,55
2012-04-08,55
2012-04-15,52
2012-04-22,56
2012-04-29,57
2012-05-06,55
2012-05-13,52
2012-05-20,50
2012-05-27,49
2012-06-03,54
2012-06-10,49
2012-06-17,49
2012-06-24,51
2012-07-01,49
2012-07-08,48
2012-07-15,53
2012-07-22,50
2012-07-29,52
2012-08-05,55
2012-08-12,57
2012-08-19,58
2012-08-26,59
2012-09-02,60
2012-09-09,66
2012-09-16,74
2012-09-23,73
2012-09-30,70
2012-10-07,74
2012-10-14,73
2012-10-21,72
2012-10-28,67
2012-11-04,73
2012-11-11,75
2012-11-18,76
2012-11-25,79
2012-12-02,79
2012-12-09,82
2012-12-16,71
2012-12-23,73
2012-12-30,69
2013-01-06,63
2013-01-13,64
2013-01-20,65
2013-01-27,60
2013-02-03,58
2013-02-10,57
2013-02-17,57
2013-02-24,55
2013-03-03,57
2013-03-10,55
2013-03-17,61
2013-03-24,58
2013-03-31,58
2013-04-07,55
2013-04-14,55
2013-04-21,56
2013-04-28,58
2013-05-05,57
2013-05-12,54
2013-05-19,56
2013-05-26,54
2013-06-02,52
2013-06-09,52
2013-06-16,50
2013-06-23,51
2013-06-30,52
2013-07-07,49
2013-07-14,49
2013-07-21,52
2013-07-28,57
2013-08-04,57
2013-08-11,62
2013-08-18,62
2013-08-25,62
2013-09-01,65
2013-09-08,72
2013-09-15,74
2013-09-22,75
2013-09-29,76
2013-10-06,78
2013-10-13,81
2013-10-20,80
2013-10-27,77
2013-11-03,78
2013-11-10,81
2013-11-17,82
2013-11-24,90
2013-12-01,95
2013-12-08,91
2013-12-15,81
2013-12-22,78
2013-12-29,77
2014-01-05,73
2014-01-12,69
2014-01-19,73
2014-01-26,67
2014-02-02,65
2014-02-09,67
2014-02-16,64
2014-02-23,61
2014-03-02,62
2014-03-09,60
2014-03-16,61
2014-03-23,63
2014-03-30,61
2014-04-06,62
2014-04-13,67
2014-04-20,65
2014-04-27,66
2014-05-04,65
2014-05-11,63
2014-05-18,60
2014-05-25,58
2014-06-01,59
2014-06-08,54
2014-06-15,55
2014-06-22,56
2014-06-29,57
2014-07-06,59
2014-07-13,61
2014-07-20,59
2014-07-27,61
2014-08-03,61
2014-08-10,68
2014-08-17,75
2014-08-24,75
2014-08-31,70
2014-09-07,72
2014-09-14,78
2014-09-21,80
2014-09-28,83
2014-10-05,85
2014-10-12,84
2014-10-19,81
2014-10-26,78
2014-11-02,83
2014-11-09,86
2014-11-16,89
2014-11-23,93
2014-11-30,96
2014-12-07,96
2014-12-14,90
2014-12-21,80
2014-12-28,84
2015-01-04,77
2015-01-11,71
2015-01-18,69
2015-01-25,67
2015-02-01,64
2015-02-08,66
2015-02-15,66
2015-02-22,63
2015-03-01,62
2015-03-08,63
2015-03-15,63
2015-03-22,65
2015-03-29,65
2015-04-05,64
2015-04-12,64
2015-04-19,63
2015-04-26,67
2015-05-03,65
2015-05-10,66
2015-05-17,65
2015-05-24,65
2015-05-31,64
2015-06-07,61
2015-06-14,59
2015-06-21,62
2015-06-28,60
2015-07-05,61
2015-07-12,60
2015-07-19,60
2015-07-26,64
2015-08-02,64
2015-08-09,66
2015-08-16,69
2015-08-23,72
2015-08-30,71
2015-09-06,79
2015-09-13,85
2015-09-20,84
2015-09-27,85
2015-10-04,94
2015-10-11,93
2015-10-18,90
2015-10-25,90
2015-11-01,84
2015-11-08,88
2015-11-15,88
2015-11-22,99
2015-11-29,100
2015-12-06,98
2015-12-13,96
2015-12-20,85
2015-12-27,87
