Category: All categories

Week,capris: (Worldwide)
2012-01-01,44
2012-01-08,47
2012-01-15,45
2012-01-22,47
2012-01-29,43
2012-02-05,43
2012-02-12,41
2012-02-19,44
2012-02-26,45
2012-03-04,50
2012-03-11,66
2012-03-18,72
2012-03-25,61
2012-04-01,58
2012-04-08,56
2012-04-15,61
2012-04-22,55
2012-04-29,61
2012-05-06,65
2012-05-13,70
2012-05-20,70
2012-05-27,70
2012-06-03,68
2012-06-10,67
2012-06-17,69
2012-06-24,69
2012-07-01,66
2012-07-08,67
2012-07-15,65
2012-07-22,62
2012-07-29,64
2012-08-05,60
2012-08-12,58
2012-08-19,54
2012-08-26,52
2012-09-02,50
2012-09-09,44
2012-09-16,40
2012-09-23,40
2012-09-30,35
2012-10-07,33
2012-10-14,33
2012-10-21,34
2012-10-28,33
2012-11-04,29
2012-11-11,29
2012-11-18,30
2012-11-25,29
2012-12-02,31
2012-12-09,30
2012-12-16,28
2012-12-23,29
2012-12-30,34
2013-01-06,35
2013-01-13,36
2013-01-20,37
2013-01-27,40
2013-02-03,41
2013-02-10,42
2013-02-17,43
2013-02-24,42
2013-03-03,47
2013-03-10,57
2013-03-17,55
2013-03-24,56
2013-03-31,60
2013-04-07,68
2013-04-14,67
2013-04-21,65
2013-04-28,77
2013-05-05,75
2013-05-12,100
2013-05-19,82
2013-05-26,80
2013-06-02,73
2013-06-09,72
2013-06-16,76
2013-06-23,69
2013-06-30,65
2013-07-07,65
2013-07-14,64
2013-07-21,62
2013-07-28,58
2013-08-04,55
2013-08-11,53
2013-08-18,55
2013-08-25,50
2013-09-01,49
2013-09-08,45
2013-09-15,41
2013-09-22,37
2013-09-29,33
2013-10-06,34
2013-10-13,35
2013-10-20,31
2013-10-27,31
2013-11-03,29
2013-11-10,30
2013-11-17,28
2013-11-24,29
2013-12-01,28
2013-12-08,30
2013-12-15,28
2013-12-22,26
2013-12-29,33
2014-01-05,31
2014-01-12,32
2014-01-19,34
2014-01-26,34
2014-02-02,37
2014-02-09,38
2014-02-16,45
2014-02-23,44
2014-03-02,46
2014-03-09,53
2014-03-16,53
2014-03-23,53
2014-03-30,61
2014-04-06,67
2014-04-13,61
2014-04-20,67
2014-04-27,66
2014-05-04,74
2014-05-11,70
2014-05-18,68
2014-05-25,71
2014-06-01,74
2014-06-08,74
2014-06-15,68
2014-06-22,63
2014-06-29,60
2014-07-06,63
2014-07-13,63
2014-07-20,64
2014-07-27,58
2014-08-03,59
2014-08-10,51
2014-08-17,50
2014-08-24,48
2014-08-31,45
2014-09-07,44
2014-09-14,41
2014-09-21,41
2014-09-28,40
2014-10-05,36
2014-10-12,33
2014-10-19,30
2014-10-26,31
2014-11-02,30
2014-11-09,30
2014-11-16,29
2014-11-23,28
2014-11-30,29
2014-12-07,26
2014-12-14,26
2014-12-21,26
2014-12-28,30
2015-01-04,31
2015-01-11,30
2015-01-18,33
2015-01-25,37
2015-02-01,34
2015-02-08,38
2015-02-15,43
2015-02-22,41
2015-03-01,42
2015-03-08,57
2015-03-15,58
2015-03-22,59
2015-03-29,61
2015-04-05,66
2015-04-12,72
2015-04-19,67
2015-04-26,71
2015-05-03,83
2015-05-10,76
2015-05-17,70
2015-05-24,78
2015-05-31,71
2015-06-07,74
2015-06-14,71
2015-06-21,69
2015-06-28,70
2015-07-05,62
2015-07-12,65
2015-07-19,63
2015-07-26,62
2015-08-02,62
2015-08-09,54
2015-08-16,54
2015-08-23,48
2015-08-30,49
2015-09-06,46
2015-09-13,41
2015-09-20,38
2015-09-27,35
2015-10-04,33
2015-10-11,31
2015-10-18,31
2015-10-25,27
2015-11-01,29
2015-11-08,27
2015-11-15,28
2015-11-22,26
2015-11-29,31
2015-12-06,28
2015-12-13,30
2015-12-20,30
2015-12-27,31
