Category: All categories

Week,cloak: (Worldwide)
2012-01-01,73
2012-01-08,55
2012-01-15,56
2012-01-22,60
2012-01-29,55
2012-02-05,57
2012-02-12,54
2012-02-19,57
2012-02-26,58
2012-03-04,56
2012-03-11,55
2012-03-18,59
2012-03-25,55
2012-04-01,54
2012-04-08,53
2012-04-15,54
2012-04-22,52
2012-04-29,52
2012-05-06,52
2012-05-13,51
2012-05-20,49
2012-05-27,49
2012-06-03,50
2012-06-10,48
2012-06-17,47
2012-06-24,53
2012-07-01,51
2012-07-08,52
2012-07-15,50
2012-07-22,50
2012-07-29,53
2012-08-05,55
2012-08-12,56
2012-08-19,56
2012-08-26,54
2012-09-02,52
2012-09-09,50
2012-09-16,52
2012-09-23,54
2012-09-30,55
2012-10-07,59
2012-10-14,62
2012-10-21,67
2012-10-28,61
2012-11-04,50
2012-11-11,70
2012-11-18,62
2012-11-25,56
2012-12-02,62
2012-12-09,72
2012-12-16,68
2012-12-23,64
2012-12-30,65
2013-01-06,64
2013-01-13,60
2013-01-20,59
2013-01-27,59
2013-02-03,60
2013-02-10,56
2013-02-17,60
2013-02-24,75
2013-03-03,67
2013-03-10,62
2013-03-17,74
2013-03-24,72
2013-03-31,62
2013-04-07,58
2013-04-14,66
2013-04-21,61
2013-04-28,62
2013-05-05,65
2013-05-12,64
2013-05-19,61
2013-05-26,61
2013-06-02,63
2013-06-09,63
2013-06-16,59
2013-06-23,60
2013-06-30,63
2013-07-07,61
2013-07-14,58
2013-07-21,62
2013-07-28,63
2013-08-04,62
2013-08-11,67
2013-08-18,60
2013-08-25,60
2013-09-01,63
2013-09-08,83
2013-09-15,72
2013-09-22,68
2013-09-29,71
2013-10-06,70
2013-10-13,76
2013-10-20,77
2013-10-27,74
2013-11-03,68
2013-11-10,70
2013-11-17,69
2013-11-24,66
2013-12-01,66
2013-12-08,71
2013-12-15,69
2013-12-22,71
2013-12-29,77
2014-01-05,68
2014-01-12,69
2014-01-19,66
2014-01-26,66
2014-02-02,67
2014-02-09,68
2014-02-16,65
2014-02-23,65
2014-03-02,69
2014-03-09,66
2014-03-16,86
2014-03-23,83
2014-03-30,73
2014-04-06,70
2014-04-13,73
2014-04-20,66
2014-04-27,67
2014-05-04,63
2014-05-11,65
2014-05-18,72
2014-05-25,69
2014-06-01,67
2014-06-08,63
2014-06-15,75
2014-06-22,76
2014-06-29,62
2014-07-06,67
2014-07-13,78
2014-07-20,76
2014-07-27,77
2014-08-03,70
2014-08-10,72
2014-08-17,66
2014-08-24,66
2014-08-31,68
2014-09-07,79
2014-09-14,88
2014-09-21,91
2014-09-28,100
2014-10-05,83
2014-10-12,89
2014-10-19,86
2014-10-26,87
2014-11-02,68
2014-11-09,63
2014-11-16,61
2014-11-23,57
2014-11-30,58
2014-12-07,62
2014-12-14,57
2014-12-21,58
2014-12-28,68
2015-01-04,62
2015-01-11,58
2015-01-18,60
2015-01-25,55
2015-02-01,55
2015-02-08,52
2015-02-15,53
2015-02-22,54
2015-03-01,54
2015-03-08,51
2015-03-15,50
2015-03-22,47
2015-03-29,56
2015-04-05,54
2015-04-12,49
2015-04-19,48
2015-04-26,49
2015-05-03,47
2015-05-10,52
2015-05-17,51
2015-05-24,51
2015-05-31,52
2015-06-07,49
2015-06-14,47
2015-06-21,50
2015-06-28,48
2015-07-05,52
2015-07-12,54
2015-07-19,54
2015-07-26,56
2015-08-02,55
2015-08-09,54
2015-08-16,55
2015-08-23,57
2015-08-30,51
2015-09-06,61
2015-09-13,71
2015-09-20,84
2015-09-27,74
2015-10-04,75
2015-10-11,75
2015-10-18,76
2015-10-25,75
2015-11-01,56
2015-11-08,49
2015-11-15,53
2015-11-22,50
2015-11-29,52
2015-12-06,57
2015-12-13,57
2015-12-20,56
2015-12-27,57
