Category: All categories

Week,Mackintosh: (Worldwide)
2012-01-01,25
2012-01-08,29
2012-01-15,27
2012-01-22,23
2012-01-29,28
2012-02-05,25
2012-02-12,25
2012-02-19,32
2012-02-26,26
2012-03-04,26
2012-03-11,24
2012-03-18,24
2012-03-25,28
2012-04-01,31
2012-04-08,29
2012-04-15,42
2012-04-22,37
2012-04-29,49
2012-05-06,40
2012-05-13,56
2012-05-20,43
2012-05-27,40
2012-06-03,35
2012-06-10,37
2012-06-17,30
2012-06-24,32
2012-07-01,32
2012-07-08,32
2012-07-15,27
2012-07-22,25
2012-07-29,23
2012-08-05,25
2012-08-12,25
2012-08-19,25
2012-08-26,24
2012-09-02,26
2012-09-09,27
2012-09-16,30
2012-09-23,30
2012-09-30,33
2012-10-07,38
2012-10-14,34
2012-10-21,35
2012-10-28,33
2012-11-04,31
2012-11-11,29
2012-11-18,34
2012-11-25,38
2012-12-02,34
2012-12-09,30
2012-12-16,31
2012-12-23,32
2012-12-30,31
2013-01-06,33
2013-01-13,32
2013-01-20,31
2013-01-27,30
2013-02-03,27
2013-02-10,29
2013-02-17,28
2013-02-24,28
2013-03-03,31
2013-03-10,25
2013-03-17,28
2013-03-24,65
2013-03-31,51
2013-04-07,47
2013-04-14,38
2013-04-21,34
2013-04-28,34
2013-05-05,32
2013-05-12,45
2013-05-19,33
2013-05-26,31
2013-06-02,27
2013-06-09,27
2013-06-16,31
2013-06-23,31
2013-06-30,27
2013-07-07,22
2013-07-14,22
2013-07-21,24
2013-07-28,25
2013-08-04,23
2013-08-11,24
2013-08-18,26
2013-08-25,28
2013-09-01,27
2013-09-08,100
2013-09-15,42
2013-09-22,35
2013-09-29,28
2013-10-06,29
2013-10-13,31
2013-10-20,27
2013-10-27,27
2013-11-03,29
2013-11-10,29
2013-11-17,31
2013-11-24,35
2013-12-01,29
2013-12-08,28
2013-12-15,26
2013-12-22,23
2013-12-29,28
2014-01-05,25
2014-01-12,25
2014-01-19,29
2014-01-26,28
2014-02-02,29
2014-02-09,25
2014-02-16,23
2014-02-23,24
2014-03-02,25
2014-03-09,22
2014-03-16,27
2014-03-23,26
2014-03-30,26
2014-04-06,28
2014-04-13,27
2014-04-20,25
2014-04-27,27
2014-05-04,28
2014-05-11,23
2014-05-18,43
2014-05-25,30
2014-06-01,25
2014-06-08,23
2014-06-15,25
2014-06-22,58
2014-06-29,36
2014-07-06,34
2014-07-13,25
2014-07-20,26
2014-07-27,25
2014-08-03,86
2014-08-10,29
2014-08-17,34
2014-08-24,28
2014-08-31,24
2014-09-07,46
2014-09-14,40
2014-09-21,30
2014-09-28,30
2014-10-05,29
2014-10-12,26
2014-10-19,26
2014-10-26,25
2014-11-02,24
2014-11-09,24
2014-11-16,29
2014-11-23,26
2014-11-30,27
2014-12-07,27
2014-12-14,24
2014-12-21,21
2014-12-28,26
2015-01-04,23
2015-01-11,23
2015-01-18,22
2015-01-25,21
2015-02-01,21
2015-02-08,23
2015-02-15,21
2015-02-22,22
2015-03-01,22
2015-03-08,27
2015-03-15,23
2015-03-22,25
2015-03-29,26
2015-04-05,19
2015-04-12,20
2015-04-19,21
2015-04-26,22
2015-05-03,19
2015-05-10,20
2015-05-17,21
2015-05-24,19
2015-05-31,19
2015-06-07,19
2015-06-14,19
2015-06-21,18
2015-06-28,17
2015-07-05,19
2015-07-12,19
2015-07-19,23
2015-07-26,19
2015-08-02,20
2015-08-09,18
2015-08-16,18
2015-08-23,18
2015-08-30,18
2015-09-06,52
2015-09-13,25
2015-09-20,23
2015-09-27,22
2015-10-04,22
2015-10-11,19
2015-10-18,21
2015-10-25,24
2015-11-01,23
2015-11-08,26
2015-11-15,22
2015-11-22,20
2015-11-29,19
2015-12-06,19
2015-12-13,21
2015-12-20,19
2015-12-27,23
