Category: All categories

Week,culottes: (Worldwide)
2012-01-01,42
2012-01-08,44
2012-01-15,46
2012-01-22,41
2012-01-29,43
2012-02-05,46
2012-02-12,49
2012-02-19,43
2012-02-26,44
2012-03-04,44
2012-03-11,40
2012-03-18,43
2012-03-25,36
2012-04-01,40
2012-04-08,40
2012-04-15,41
2012-04-22,46
2012-04-29,40
2012-05-06,40
2012-05-13,39
2012-05-20,43
2012-05-27,41
2012-06-03,41
2012-06-10,42
2012-06-17,37
2012-06-24,40
2012-07-01,42
2012-07-08,37
2012-07-15,44
2012-07-22,41
2012-07-29,40
2012-08-05,39
2012-08-12,43
2012-08-19,48
2012-08-26,49
2012-09-02,44
2012-09-09,41
2012-09-16,38
2012-09-23,37
2012-09-30,35
2012-10-07,39
2012-10-14,37
2012-10-21,35
2012-10-28,33
2012-11-04,33
2012-11-11,37
2012-11-18,33
2012-11-25,41
2012-12-02,43
2012-12-09,41
2012-12-16,35
2012-12-23,33
2012-12-30,35
2013-01-06,37
2013-01-13,38
2013-01-20,37
2013-01-27,41
2013-02-03,52
2013-02-10,46
2013-02-17,37
2013-02-24,37
2013-03-03,36
2013-03-10,35
2013-03-17,39
2013-03-24,39
2013-03-31,36
2013-04-07,42
2013-04-14,37
2013-04-21,41
2013-04-28,40
2013-05-05,42
2013-05-12,44
2013-05-19,43
2013-05-26,39
2013-06-02,37
2013-06-09,36
2013-06-16,36
2013-06-23,38
2013-06-30,40
2013-07-07,41
2013-07-14,42
2013-07-21,45
2013-07-28,43
2013-08-04,42
2013-08-11,39
2013-08-18,49
2013-08-25,55
2013-09-01,45
2013-09-08,38
2013-09-15,40
2013-09-22,38
2013-09-29,41
2013-10-06,37
2013-10-13,37
2013-10-20,41
2013-10-27,40
2013-11-03,40
2013-11-10,39
2013-11-17,35
2013-11-24,34
2013-12-01,36
2013-12-08,38
2013-12-15,31
2013-12-22,29
2013-12-29,37
2014-01-05,44
2014-01-12,42
2014-01-19,36
2014-01-26,38
2014-02-02,37
2014-02-09,41
2014-02-16,39
2014-02-23,42
2014-03-02,42
2014-03-09,38
2014-03-16,40
2014-03-23,40
2014-03-30,37
2014-04-06,42
2014-04-13,41
2014-04-20,45
2014-04-27,43
2014-05-04,44
2014-05-11,44
2014-05-18,46
2014-05-25,48
2014-06-01,49
2014-06-08,45
2014-06-15,49
2014-06-22,56
2014-06-29,46
2014-07-06,44
2014-07-13,51
2014-07-20,51
2014-07-27,51
2014-08-03,54
2014-08-10,53
2014-08-17,46
2014-08-24,47
2014-08-31,44
2014-09-07,43
2014-09-14,53
2014-09-21,45
2014-09-28,42
2014-10-05,41
2014-10-12,40
2014-10-19,42
2014-10-26,41
2014-11-02,41
2014-11-09,44
2014-11-16,42
2014-11-23,44
2014-11-30,42
2014-12-07,40
2014-12-14,45
2014-12-21,35
2014-12-28,48
2015-01-04,49
2015-01-11,51
2015-01-18,47
2015-01-25,49
2015-02-01,48
2015-02-08,50
2015-02-15,52
2015-02-22,49
2015-03-01,54
2015-03-08,54
2015-03-15,68
2015-03-22,65
2015-03-29,59
2015-04-05,70
2015-04-12,66
2015-04-19,73
2015-04-26,72
2015-05-03,62
2015-05-10,78
2015-05-17,73
2015-05-24,100
2015-05-31,78
2015-06-07,79
2015-06-14,73
2015-06-21,78
2015-06-28,78
2015-07-05,72
2015-07-12,70
2015-07-19,74
2015-07-26,73
2015-08-02,70
2015-08-09,67
2015-08-16,70
2015-08-23,76
2015-08-30,68
2015-09-06,65
2015-09-13,64
2015-09-20,65
2015-09-27,63
2015-10-04,64
2015-10-11,59
2015-10-18,56
2015-10-25,53
2015-11-01,57
2015-11-08,61
2015-11-15,62
2015-11-22,54
2015-11-29,59
2015-12-06,58
2015-12-13,56
2015-12-20,50
2015-12-27,58
