Category: All categories

Week,dress: (Worldwide)
2012-01-01,25
2012-01-08,26
2012-01-15,28
2012-01-22,28
2012-01-29,27
2012-02-05,27
2012-02-12,28
2012-02-19,29
2012-02-26,31
2012-03-04,28
2012-03-11,28
2012-03-18,28
2012-03-25,28
2012-04-01,29
2012-04-08,28
2012-04-15,29
2012-04-22,29
2012-04-29,30
2012-05-06,30
2012-05-13,29
2012-05-20,28
2012-05-27,28
2012-06-03,28
2012-06-10,28
2012-06-17,28
2012-06-24,28
2012-07-01,27
2012-07-08,28
2012-07-15,28
2012-07-22,28
2012-07-29,28
2012-08-05,28
2012-08-12,28
2012-08-19,27
2012-08-26,27
2012-09-02,27
2012-09-09,27
2012-09-16,28
2012-09-23,29
2012-09-30,29
2012-10-07,28
2012-10-14,30
2012-10-21,32
2012-10-28,29
2012-11-04,26
2012-11-11,27
2012-11-18,27
2012-11-25,27
2012-12-02,27
2012-12-09,26
2012-12-16,24
2012-12-23,25
2012-12-30,27
2013-01-06,25
2013-01-13,28
2013-01-20,29
2013-01-27,27
2013-02-03,27
2013-02-10,29
2013-02-17,27
2013-02-24,30
2013-03-03,28
2013-03-10,28
2013-03-17,28
2013-03-24,29
2013-03-31,28
2013-04-07,28
2013-04-14,28
2013-04-21,29
2013-04-28,29
2013-05-05,29
2013-05-12,28
2013-05-19,28
2013-05-26,27
2013-06-02,27
2013-06-09,26
2013-06-16,27
2013-06-23,27
2013-06-30,26
2013-07-07,27
2013-07-14,27
2013-07-21,28
2013-07-28,27
2013-08-04,27
2013-08-11,27
2013-08-18,27
2013-08-25,26
2013-09-01,25
2013-09-08,26
2013-09-15,27
2013-09-22,27
2013-09-29,27
2013-10-06,27
2013-10-13,29
2013-10-20,29
2013-10-27,29
2013-11-03,27
2013-11-10,27
2013-11-17,27
2013-11-24,27
2013-12-01,27
2013-12-08,27
2013-12-15,25
2013-12-22,25
2013-12-29,27
2014-01-05,25
2014-01-12,28
2014-01-19,28
2014-01-26,28
2014-02-02,27
2014-02-09,27
2014-02-16,28
2014-02-23,28
2014-03-02,31
2014-03-09,29
2014-03-16,29
2014-03-23,29
2014-03-30,29
2014-04-06,30
2014-04-13,31
2014-04-20,30
2014-04-27,30
2014-05-04,30
2014-05-11,29
2014-05-18,29
2014-05-25,31
2014-06-01,36
2014-06-08,30
2014-06-15,29
2014-06-22,28
2014-06-29,28
2014-07-06,29
2014-07-13,30
2014-07-20,29
2014-07-27,29
2014-08-03,28
2014-08-10,28
2014-08-17,27
2014-08-24,28
2014-08-31,29
2014-09-07,28
2014-09-14,29
2014-09-21,28
2014-09-28,30
2014-10-05,29
2014-10-12,30
2014-10-19,31
2014-10-26,31
2014-11-02,27
2014-11-09,29
2014-11-16,28
2014-11-23,28
2014-11-30,29
2014-12-07,28
2014-12-14,25
2014-12-21,25
2014-12-28,29
2015-01-04,26
2015-01-11,27
2015-01-18,27
2015-01-25,28
2015-02-01,27
2015-02-08,28
2015-02-15,28
2015-02-22,100
2015-03-01,57
2015-03-08,34
2015-03-15,32
2015-03-22,31
2015-03-29,31
2015-04-05,31
2015-04-12,31
2015-04-19,33
2015-04-26,32
2015-05-03,32
2015-05-10,31
2015-05-17,30
2015-05-24,30
2015-05-31,30
2015-06-07,29
2015-06-14,28
2015-06-21,28
2015-06-28,28
2015-07-05,29
2015-07-12,29
2015-07-19,29
2015-07-26,28
2015-08-02,29
2015-08-09,29
2015-08-16,28
2015-08-23,28
2015-08-30,28
2015-09-06,29
2015-09-13,29
2015-09-20,30
2015-09-27,29
2015-10-04,30
2015-10-11,30
2015-10-18,31
2015-10-25,32
2015-11-01,28
2015-11-08,29
2015-11-15,28
2015-11-22,29
2015-11-29,29
2015-12-06,29
2015-12-13,27
2015-12-20,27
2015-12-27,30
