Category: All categories

Week,duds: (Worldwide)
2012-01-01,50
2012-01-08,43
2012-01-15,53
2012-01-22,34
2012-01-29,39
2012-02-05,36
2012-02-12,37
2012-02-19,38
2012-02-26,39
2012-03-04,35
2012-03-11,28
2012-03-18,33
2012-03-25,39
2012-04-01,24
2012-04-08,30
2012-04-15,30
2012-04-22,36
2012-04-29,27
2012-05-06,28
2012-05-13,26
2012-05-20,29
2012-05-27,30
2012-06-03,31
2012-06-10,27
2012-06-17,27
2012-06-24,27
2012-07-01,24
2012-07-08,28
2012-07-15,33
2012-07-22,31
2012-07-29,35
2012-08-05,31
2012-08-12,28
2012-08-19,35
2012-08-26,29
2012-09-02,33
2012-09-09,34
2012-09-16,43
2012-09-23,35
2012-09-30,46
2012-10-07,49
2012-10-14,50
2012-10-21,48
2012-10-28,75
2012-11-04,65
2012-11-11,52
2012-11-18,57
2012-11-25,66
2012-12-02,66
2012-12-09,67
2012-12-16,70
2012-12-23,64
2012-12-30,67
2013-01-06,54
2013-01-13,47
2013-01-20,60
2013-01-27,47
2013-02-03,37
2013-02-10,37
2013-02-17,39
2013-02-24,44
2013-03-03,44
2013-03-10,27
2013-03-17,35
2013-03-24,29
2013-03-31,36
2013-04-07,38
2013-04-14,34
2013-04-21,32
2013-04-28,31
2013-05-05,29
2013-05-12,27
2013-05-19,27
2013-05-26,30
2013-06-02,29
2013-06-09,32
2013-06-16,40
2013-06-23,27
2013-06-30,27
2013-07-07,30
2013-07-14,29
2013-07-21,28
2013-07-28,30
2013-08-04,26
2013-08-11,26
2013-08-18,36
2013-08-25,31
2013-09-01,42
2013-09-08,31
2013-09-15,35
2013-09-22,39
2013-09-29,33
2013-10-06,38
2013-10-13,45
2013-10-20,68
2013-10-27,77
2013-11-03,71
2013-11-10,62
2013-11-17,63
2013-11-24,80
2013-12-01,83
2013-12-08,99
2013-12-15,86
2013-12-22,65
2013-12-29,74
2014-01-05,75
2014-01-12,45
2014-01-19,58
2014-01-26,59
2014-02-02,51
2014-02-09,46
2014-02-16,35
2014-02-23,37
2014-03-02,34
2014-03-09,36
2014-03-16,26
2014-03-23,32
2014-03-30,30
2014-04-06,37
2014-04-13,34
2014-04-20,32
2014-04-27,31
2014-05-04,30
2014-05-11,26
2014-05-18,30
2014-05-25,32
2014-06-01,25
2014-06-08,30
2014-06-15,26
2014-06-22,32
2014-06-29,34
2014-07-06,30
2014-07-13,31
2014-07-20,35
2014-07-27,32
2014-08-03,33
2014-08-10,31
2014-08-17,32
2014-08-24,35
2014-08-31,34
2014-09-07,35
2014-09-14,46
2014-09-21,38
2014-09-28,38
2014-10-05,50
2014-10-12,44
2014-10-19,56
2014-10-26,67
2014-11-02,83
2014-11-09,79
2014-11-16,91
2014-11-23,71
2014-11-30,77
2014-12-07,83
2014-12-14,73
2014-12-21,63
2014-12-28,69
2015-01-04,80
2015-01-11,53
2015-01-18,51
2015-01-25,43
2015-02-01,44
2015-02-08,52
2015-02-15,61
2015-02-22,37
2015-03-01,45
2015-03-08,39
2015-03-15,36
2015-03-22,40
2015-03-29,35
2015-04-05,35
2015-04-12,34
2015-04-19,39
2015-04-26,38
2015-05-03,31
2015-05-10,30
2015-05-17,31
2015-05-24,31
2015-05-31,27
2015-06-07,29
2015-06-14,29
2015-06-21,31
2015-06-28,34
2015-07-05,33
2015-07-12,29
2015-07-19,35
2015-07-26,34
2015-08-02,37
2015-08-09,35
2015-08-16,36
2015-08-23,38
2015-08-30,34
2015-09-06,40
2015-09-13,59
2015-09-20,41
2015-09-27,52
2015-10-04,47
2015-10-11,48
2015-10-18,59
2015-10-25,72
2015-11-01,89
2015-11-08,75
2015-11-15,70
2015-11-22,85
2015-11-29,100
2015-12-06,97
2015-12-13,94
2015-12-20,82
2015-12-27,81
