Category: All categories

Week,dungarees: (Worldwide)
2012-01-01,29
2012-01-08,29
2012-01-15,33
2012-01-22,38
2012-01-29,33
2012-02-05,34
2012-02-12,34
2012-02-19,38
2012-02-26,37
2012-03-04,35
2012-03-11,35
2012-03-18,38
2012-03-25,38
2012-04-01,40
2012-04-08,43
2012-04-15,35
2012-04-22,37
2012-04-29,40
2012-05-06,32
2012-05-13,38
2012-05-20,38
2012-05-27,31
2012-06-03,34
2012-06-10,34
2012-06-17,29
2012-06-24,33
2012-07-01,30
2012-07-08,31
2012-07-15,41
2012-07-22,34
2012-07-29,34
2012-08-05,29
2012-08-12,35
2012-08-19,33
2012-08-26,35
2012-09-02,35
2012-09-09,41
2012-09-16,42
2012-09-23,38
2012-09-30,39
2012-10-07,43
2012-10-14,38
2012-10-21,48
2012-10-28,42
2012-11-04,39
2012-11-11,36
2012-11-18,41
2012-11-25,42
2012-12-02,44
2012-12-09,44
2012-12-16,30
2012-12-23,39
2012-12-30,38
2013-01-06,34
2013-01-13,46
2013-01-20,45
2013-01-27,47
2013-02-03,41
2013-02-10,48
2013-02-17,50
2013-02-24,60
2013-03-03,57
2013-03-10,51
2013-03-17,56
2013-03-24,56
2013-03-31,63
2013-04-07,76
2013-04-14,77
2013-04-21,66
2013-04-28,81
2013-05-05,65
2013-05-12,64
2013-05-19,65
2013-05-26,59
2013-06-02,66
2013-06-09,64
2013-06-16,72
2013-06-23,60
2013-06-30,71
2013-07-07,81
2013-07-14,71
2013-07-21,63
2013-07-28,68
2013-08-04,66
2013-08-11,59
2013-08-18,64
2013-08-25,58
2013-09-01,49
2013-09-08,50
2013-09-15,56
2013-09-22,56
2013-09-29,59
2013-10-06,53
2013-10-13,67
2013-10-20,77
2013-10-27,66
2013-11-03,52
2013-11-10,54
2013-11-17,47
2013-11-24,57
2013-12-01,56
2013-12-08,55
2013-12-15,50
2013-12-22,49
2013-12-29,53
2014-01-05,49
2014-01-12,51
2014-01-19,50
2014-01-26,52
2014-02-02,57
2014-02-09,58
2014-02-16,59
2014-02-23,100
2014-03-02,69
2014-03-09,75
2014-03-16,65
2014-03-23,68
2014-03-30,67
2014-04-06,82
2014-04-13,82
2014-04-20,71
2014-04-27,79
2014-05-04,79
2014-05-11,72
2014-05-18,72
2014-05-25,60
2014-06-01,71
2014-06-08,67
2014-06-15,70
2014-06-22,66
2014-06-29,62
2014-07-06,69
2014-07-13,64
2014-07-20,71
2014-07-27,66
2014-08-03,61
2014-08-10,64
2014-08-17,53
2014-08-24,59
2014-08-31,55
2014-09-07,60
2014-09-14,66
2014-09-21,57
2014-09-28,66
2014-10-05,61
2014-10-12,68
2014-10-19,62
2014-10-26,66
2014-11-02,57
2014-11-09,57
2014-11-16,58
2014-11-23,58
2014-11-30,65
2014-12-07,54
2014-12-14,47
2014-12-21,47
2014-12-28,59
2015-01-04,52
2015-01-11,56
2015-01-18,54
2015-01-25,55
2015-02-01,57
2015-02-08,62
2015-02-15,74
2015-02-22,73
2015-03-01,81
2015-03-08,71
2015-03-15,73
2015-03-22,73
2015-03-29,74
2015-04-05,71
2015-04-12,78
2015-04-19,76
2015-04-26,71
2015-05-03,70
2015-05-10,72
2015-05-17,72
2015-05-24,95
2015-05-31,81
2015-06-07,90
2015-06-14,78
2015-06-21,80
2015-06-28,86
2015-07-05,83
2015-07-12,77
2015-07-19,94
2015-07-26,92
2015-08-02,83
2015-08-09,72
2015-08-16,91
2015-08-23,87
2015-08-30,79
2015-09-06,82
2015-09-13,79
2015-09-20,77
2015-09-27,80
2015-10-04,81
2015-10-11,80
2015-10-18,85
2015-10-25,87
2015-11-01,69
2015-11-08,66
2015-11-15,71
2015-11-22,71
2015-11-29,86
2015-12-06,71
2015-12-13,73
2015-12-20,67
2015-12-27,88
