Category: All categories

Week,earrings: (Worldwide)
2012-01-01,51
2012-01-08,49
2012-01-15,51
2012-01-22,51
2012-01-29,53
2012-02-05,56
2012-02-12,53
2012-02-19,50
2012-02-26,50
2012-03-04,49
2012-03-11,46
2012-03-18,45
2012-03-25,46
2012-04-01,47
2012-04-08,47
2012-04-15,50
2012-04-22,54
2012-04-29,54
2012-05-06,53
2012-05-13,49
2012-05-20,46
2012-05-27,48
2012-06-03,48
2012-06-10,48
2012-06-17,48
2012-06-24,49
2012-07-01,48
2012-07-08,52
2012-07-15,53
2012-07-22,54
2012-07-29,54
2012-08-05,54
2012-08-12,55
2012-08-19,54
2012-08-26,50
2012-09-02,51
2012-09-09,49
2012-09-16,51
2012-09-23,49
2012-09-30,49
2012-10-07,48
2012-10-14,49
2012-10-21,51
2012-10-28,49
2012-11-04,51
2012-11-11,56
2012-11-18,66
2012-11-25,74
2012-12-02,81
2012-12-09,85
2012-12-16,79
2012-12-23,68
2012-12-30,54
2013-01-06,50
2013-01-13,49
2013-01-20,51
2013-01-27,51
2013-02-03,55
2013-02-10,57
2013-02-17,48
2013-02-24,50
2013-03-03,48
2013-03-10,48
2013-03-17,47
2013-03-24,46
2013-03-31,46
2013-04-07,47
2013-04-14,48
2013-04-21,48
2013-04-28,50
2013-05-05,52
2013-05-12,47
2013-05-19,45
2013-05-26,44
2013-06-02,45
2013-06-09,45
2013-06-16,45
2013-06-23,46
2013-06-30,44
2013-07-07,46
2013-07-14,47
2013-07-21,50
2013-07-28,50
2013-08-04,51
2013-08-11,49
2013-08-18,48
2013-08-25,47
2013-09-01,46
2013-09-08,46
2013-09-15,45
2013-09-22,45
2013-09-29,46
2013-10-06,46
2013-10-13,47
2013-10-20,48
2013-10-27,47
2013-11-03,51
2013-11-10,56
2013-11-17,61
2013-11-24,71
2013-12-01,80
2013-12-08,87
2013-12-15,82
2013-12-22,72
2013-12-29,56
2014-01-05,49
2014-01-12,50
2014-01-19,51
2014-01-26,52
2014-02-02,54
2014-02-09,55
2014-02-16,51
2014-02-23,49
2014-03-02,51
2014-03-09,48
2014-03-16,48
2014-03-23,51
2014-03-30,48
2014-04-06,49
2014-04-13,49
2014-04-20,50
2014-04-27,53
2014-05-04,54
2014-05-11,48
2014-05-18,47
2014-05-25,47
2014-06-01,47
2014-06-08,46
2014-06-15,47
2014-06-22,47
2014-06-29,48
2014-07-06,50
2014-07-13,52
2014-07-20,53
2014-07-27,54
2014-08-03,54
2014-08-10,52
2014-08-17,53
2014-08-24,51
2014-08-31,51
2014-09-07,50
2014-09-14,52
2014-09-21,50
2014-09-28,51
2014-10-05,51
2014-10-12,55
2014-10-19,53
2014-10-26,54
2014-11-02,56
2014-11-09,61
2014-11-16,67
2014-11-23,77
2014-11-30,88
2014-12-07,92
2014-12-14,91
2014-12-21,85
2014-12-28,66
2015-01-04,54
2015-01-11,55
2015-01-18,56
2015-01-25,58
2015-02-01,59
2015-02-08,62
2015-02-15,58
2015-02-22,55
2015-03-01,54
2015-03-08,56
2015-03-15,53
2015-03-22,53
2015-03-29,54
2015-04-05,53
2015-04-12,53
2015-04-19,54
2015-04-26,56
2015-05-03,57
2015-05-10,55
2015-05-17,52
2015-05-24,52
2015-05-31,51
2015-06-07,50
2015-06-14,50
2015-06-21,51
2015-06-28,51
2015-07-05,54
2015-07-12,56
2015-07-19,57
2015-07-26,57
2015-08-02,57
2015-08-09,57
2015-08-16,57
2015-08-23,54
2015-08-30,53
2015-09-06,55
2015-09-13,54
2015-09-20,55
2015-09-27,53
2015-10-04,55
2015-10-11,55
2015-10-18,55
2015-10-25,57
2015-11-01,59
2015-11-08,65
2015-11-15,69
2015-11-22,81
2015-11-29,90
2015-12-06,94
2015-12-13,100
2015-12-20,95
2015-12-27,72
