Category: All categories

Week,elastic: (Worldwide)
2012-01-01,14
2012-01-08,15
2012-01-15,16
2012-01-22,17
2012-01-29,16
2012-02-05,16
2012-02-12,17
2012-02-19,18
2012-02-26,18
2012-03-04,17
2012-03-11,17
2012-03-18,18
2012-03-25,18
2012-04-01,17
2012-04-08,16
2012-04-15,19
2012-04-22,18
2012-04-29,18
2012-05-06,17
2012-05-13,17
2012-05-20,17
2012-05-27,16
2012-06-03,16
2012-06-10,16
2012-06-17,16
2012-06-24,16
2012-07-01,14
2012-07-08,15
2012-07-15,16
2012-07-22,16
2012-07-29,15
2012-08-05,15
2012-08-12,16
2012-08-19,16
2012-08-26,16
2012-09-02,17
2012-09-09,18
2012-09-16,21
2012-09-23,22
2012-09-30,22
2012-10-07,22
2012-10-14,22
2012-10-21,21
2012-10-28,20
2012-11-04,20
2012-11-11,20
2012-11-18,18
2012-11-25,20
2012-12-02,20
2012-12-09,20
2012-12-16,16
2012-12-23,12
2012-12-30,13
2013-01-06,17
2013-01-13,17
2013-01-20,17
2013-01-27,18
2013-02-03,19
2013-02-10,19
2013-02-17,18
2013-02-24,20
2013-03-03,19
2013-03-10,19
2013-03-17,19
2013-03-24,18
2013-03-31,18
2013-04-07,20
2013-04-14,20
2013-04-21,19
2013-04-28,19
2013-05-05,20
2013-05-12,19
2013-05-19,17
2013-05-26,17
2013-06-02,18
2013-06-09,17
2013-06-16,17
2013-06-23,16
2013-06-30,16
2013-07-07,16
2013-07-14,16
2013-07-21,17
2013-07-28,16
2013-08-04,16
2013-08-11,15
2013-08-18,16
2013-08-25,16
2013-09-01,18
2013-09-08,19
2013-09-15,21
2013-09-22,22
2013-09-29,26
2013-10-06,25
2013-10-13,24
2013-10-20,24
2013-10-27,24
2013-11-03,24
2013-11-10,24
2013-11-17,25
2013-11-24,21
2013-12-01,23
2013-12-08,25
2013-12-15,20
2013-12-22,14
2013-12-29,15
2014-01-05,20
2014-01-12,20
2014-01-19,20
2014-01-26,20
2014-02-02,22
2014-02-09,21
2014-02-16,22
2014-02-23,23
2014-03-02,23
2014-03-09,23
2014-03-16,23
2014-03-23,22
2014-03-30,22
2014-04-06,22
2014-04-13,21
2014-04-20,21
2014-04-27,22
2014-05-04,22
2014-05-11,22
2014-05-18,22
2014-05-25,21
2014-06-01,21
2014-06-08,21
2014-06-15,20
2014-06-22,20
2014-06-29,19
2014-07-06,20
2014-07-13,20
2014-07-20,21
2014-07-27,20
2014-08-03,20
2014-08-10,19
2014-08-17,20
2014-08-24,20
2014-08-31,20
2014-09-07,22
2014-09-14,24
2014-09-21,24
2014-09-28,25
2014-10-05,26
2014-10-12,25
2014-10-19,25
2014-10-26,25
2014-11-02,24
2014-11-09,24
2014-11-16,24
2014-11-23,20
2014-11-30,24
2014-12-07,24
2014-12-14,22
2014-12-21,14
2014-12-28,15
2015-01-04,95
2015-01-11,100
2015-01-18,81
2015-01-25,73
2015-02-01,66
2015-02-08,71
2015-02-15,66
2015-02-22,66
2015-03-01,61
2015-03-08,57
2015-03-15,56
2015-03-22,64
2015-03-29,58
2015-04-05,56
2015-04-12,52
2015-04-19,48
2015-04-26,48
2015-05-03,46
2015-05-10,45
2015-05-17,45
2015-05-24,43
2015-05-31,43
2015-06-07,42
2015-06-14,38
2015-06-21,39
2015-06-28,39
2015-07-05,36
2015-07-12,36
2015-07-19,37
2015-07-26,34
2015-08-02,32
2015-08-09,31
2015-08-16,31
2015-08-23,31
2015-08-30,30
2015-09-06,31
2015-09-13,33
2015-09-20,34
2015-09-27,34
2015-10-04,35
2015-10-11,33
2015-10-18,33
2015-10-25,34
2015-11-01,34
2015-11-08,32
2015-11-15,32
2015-11-22,27
2015-11-29,31
2015-12-06,32
2015-12-13,30
2015-12-20,22
2015-12-27,22
