Category: All categories

Week,fedora: (Worldwide)
2012-01-01,74
2012-01-08,76
2012-01-15,77
2012-01-22,76
2012-01-29,74
2012-02-05,77
2012-02-12,75
2012-02-19,79
2012-02-26,82
2012-03-04,77
2012-03-11,72
2012-03-18,75
2012-03-25,74
2012-04-01,74
2012-04-08,70
2012-04-15,72
2012-04-22,75
2012-04-29,72
2012-05-06,71
2012-05-13,71
2012-05-20,71
2012-05-27,100
2012-06-03,85
2012-06-10,78
2012-06-17,78
2012-06-24,73
2012-07-01,72
2012-07-08,73
2012-07-15,73
2012-07-22,70
2012-07-29,68
2012-08-05,67
2012-08-12,68
2012-08-19,69
2012-08-26,68
2012-09-02,68
2012-09-09,65
2012-09-16,66
2012-09-23,70
2012-09-30,66
2012-10-07,66
2012-10-14,67
2012-10-21,68
2012-10-28,64
2012-11-04,63
2012-11-11,59
2012-11-18,64
2012-11-25,68
2012-12-02,73
2012-12-09,64
2012-12-16,62
2012-12-23,60
2012-12-30,58
2013-01-06,63
2013-01-13,89
2013-01-20,76
2013-01-27,68
2013-02-03,67
2013-02-10,66
2013-02-17,66
2013-02-24,62
2013-03-03,62
2013-03-10,60
2013-03-17,60
2013-03-24,64
2013-03-31,58
2013-04-07,59
2013-04-14,57
2013-04-21,58
2013-04-28,58
2013-05-05,54
2013-05-12,55
2013-05-19,55
2013-05-26,56
2013-06-02,53
2013-06-09,53
2013-06-16,53
2013-06-23,55
2013-06-30,70
2013-07-07,64
2013-07-14,59
2013-07-21,59
2013-07-28,55
2013-08-04,56
2013-08-11,54
2013-08-18,54
2013-08-25,56
2013-09-01,54
2013-09-08,53
2013-09-15,53
2013-09-22,58
2013-09-29,53
2013-10-06,56
2013-10-13,60
2013-10-20,57
2013-10-27,56
2013-11-03,55
2013-11-10,55
2013-11-17,55
2013-11-24,53
2013-12-01,55
2013-12-08,56
2013-12-15,69
2013-12-22,61
2013-12-29,58
2014-01-05,58
2014-01-12,56
2014-01-19,57
2014-01-26,57
2014-02-02,56
2014-02-09,58
2014-02-16,59
2014-02-23,56
2014-03-02,61
2014-03-09,56
2014-03-16,55
2014-03-23,53
2014-03-30,53
2014-04-06,56
2014-04-13,57
2014-04-20,54
2014-04-27,52
2014-05-04,51
2014-05-11,50
2014-05-18,50
2014-05-25,51
2014-06-01,49
2014-06-08,47
2014-06-15,45
2014-06-22,45
2014-06-29,47
2014-07-06,47
2014-07-13,48
2014-07-20,47
2014-07-27,51
2014-08-03,48
2014-08-10,44
2014-08-17,48
2014-08-24,51
2014-08-31,48
2014-09-07,46
2014-09-14,47
2014-09-21,51
2014-09-28,50
2014-10-05,49
2014-10-12,49
2014-10-19,47
2014-10-26,48
2014-11-02,47
2014-11-09,47
2014-11-16,46
2014-11-23,44
2014-11-30,48
2014-12-07,63
2014-12-14,56
2014-12-21,58
2014-12-28,49
2015-01-04,49
2015-01-11,50
2015-01-18,48
2015-01-25,48
2015-02-01,49
2015-02-08,47
2015-02-15,49
2015-02-22,48
2015-03-01,46
2015-03-08,47
2015-03-15,49
2015-03-22,49
2015-03-29,46
2015-04-05,47
2015-04-12,45
2015-04-19,47
2015-04-26,47
2015-05-03,43
2015-05-10,44
2015-05-17,43
2015-05-24,53
2015-05-31,48
2015-06-07,46
2015-06-14,42
2015-06-21,43
2015-06-28,43
2015-07-05,41
2015-07-12,43
2015-07-19,44
2015-07-26,42
2015-08-02,41
2015-08-09,44
2015-08-16,43
2015-08-23,43
2015-08-30,41
2015-09-06,42
2015-09-13,43
2015-09-20,43
2015-09-27,41
2015-10-04,43
2015-10-11,42
2015-10-18,41
2015-10-25,44
2015-11-01,49
2015-11-08,43
2015-11-15,43
2015-11-22,41
2015-11-29,43
2015-12-06,43
2015-12-13,40
2015-12-20,41
2015-12-27,40
