Category: All categories

Week,Messenger bag: (Worldwide)
2012-01-01,70
2012-01-08,66
2012-01-15,64
2012-01-22,64
2012-01-29,63
2012-02-05,61
2012-02-12,63
2012-02-19,66
2012-02-26,66
2012-03-04,65
2012-03-11,60
2012-03-18,60
2012-03-25,62
2012-04-01,65
2012-04-08,62
2012-04-15,62
2012-04-22,65
2012-04-29,64
2012-05-06,61
2012-05-13,66
2012-05-20,59
2012-05-27,64
2012-06-03,63
2012-06-10,64
2012-06-17,66
2012-06-24,69
2012-07-01,64
2012-07-08,74
2012-07-15,84
2012-07-22,87
2012-07-29,93
2012-08-05,93
2012-08-12,99
2012-08-19,100
2012-08-26,91
2012-09-02,85
2012-09-09,72
2012-09-16,71
2012-09-23,67
2012-09-30,61
2012-10-07,59
2012-10-14,61
2012-10-21,59
2012-10-28,56
2012-11-04,57
2012-11-11,63
2012-11-18,73
2012-11-25,82
2012-12-02,83
2012-12-09,82
2012-12-16,79
2012-12-23,71
2012-12-30,63
2013-01-06,68
2013-01-13,68
2013-01-20,63
2013-01-27,60
2013-02-03,61
2013-02-10,61
2013-02-17,57
2013-02-24,62
2013-03-03,60
2013-03-10,59
2013-03-17,57
2013-03-24,56
2013-03-31,57
2013-04-07,54
2013-04-14,58
2013-04-21,56
2013-04-28,56
2013-05-05,61
2013-05-12,54
2013-05-19,54
2013-05-26,56
2013-06-02,58
2013-06-09,57
2013-06-16,60
2013-06-23,60
2013-06-30,54
2013-07-07,68
2013-07-14,64
2013-07-21,73
2013-07-28,78
2013-08-04,86
2013-08-11,84
2013-08-18,86
2013-08-25,79
2013-09-01,74
2013-09-08,62
2013-09-15,58
2013-09-22,55
2013-09-29,57
2013-10-06,56
2013-10-13,56
2013-10-20,54
2013-10-27,56
2013-11-03,58
2013-11-10,60
2013-11-17,62
2013-11-24,71
2013-12-01,81
2013-12-08,85
2013-12-15,75
2013-12-22,73
2013-12-29,69
2014-01-05,60
2014-01-12,63
2014-01-19,59
2014-01-26,58
2014-02-02,59
2014-02-09,56
2014-02-16,57
2014-02-23,59
2014-03-02,59
2014-03-09,54
2014-03-16,54
2014-03-23,57
2014-03-30,55
2014-04-06,57
2014-04-13,56
2014-04-20,54
2014-04-27,56
2014-05-04,57
2014-05-11,54
2014-05-18,54
2014-05-25,50
2014-06-01,53
2014-06-08,55
2014-06-15,56
2014-06-22,55
2014-06-29,58
2014-07-06,61
2014-07-13,63
2014-07-20,71
2014-07-27,74
2014-08-03,80
2014-08-10,76
2014-08-17,81
2014-08-24,78
2014-08-31,72
2014-09-07,57
2014-09-14,63
2014-09-21,56
2014-09-28,56
2014-10-05,53
2014-10-12,51
2014-10-19,50
2014-10-26,51
2014-11-02,54
2014-11-09,58
2014-11-16,62
2014-11-23,70
2014-11-30,78
2014-12-07,78
2014-12-14,74
2014-12-21,65
2014-12-28,64
2015-01-04,58
2015-01-11,52
2015-01-18,55
2015-01-25,53
2015-02-01,56
2015-02-08,52
2015-02-15,57
2015-02-22,56
2015-03-01,58
2015-03-08,54
2015-03-15,47
2015-03-22,53
2015-03-29,48
2015-04-05,50
2015-04-12,51
2015-04-19,52
2015-04-26,51
2015-05-03,47
2015-05-10,53
2015-05-17,52
2015-05-24,50
2015-05-31,53
2015-06-07,52
2015-06-14,51
2015-06-21,50
2015-06-28,53
2015-07-05,53
2015-07-12,57
2015-07-19,62
2015-07-26,63
2015-08-02,72
2015-08-09,65
2015-08-16,66
2015-08-23,67
2015-08-30,63
2015-09-06,57
2015-09-13,51
2015-09-20,51
2015-09-27,48
2015-10-04,47
2015-10-11,47
2015-10-18,46
2015-10-25,44
2015-11-01,46
2015-11-08,48
2015-11-15,53
2015-11-22,62
2015-11-29,69
2015-12-06,70
2015-12-13,70
2015-12-20,59
2015-12-27,57
