Category: All categories

Week,garb: (Worldwide)
2012-01-01,56
2012-01-08,45
2012-01-15,50
2012-01-22,65
2012-01-29,56
2012-02-05,60
2012-02-12,52
2012-02-19,49
2012-02-26,49
2012-03-04,47
2012-03-11,50
2012-03-18,51
2012-03-25,60
2012-04-01,51
2012-04-08,48
2012-04-15,54
2012-04-22,53
2012-04-29,50
2012-05-06,72
2012-05-13,56
2012-05-20,61
2012-05-27,58
2012-06-03,48
2012-06-10,53
2012-06-17,45
2012-06-24,51
2012-07-01,61
2012-07-08,70
2012-07-15,57
2012-07-22,48
2012-07-29,55
2012-08-05,53
2012-08-12,49
2012-08-19,60
2012-08-26,53
2012-09-02,55
2012-09-09,57
2012-09-16,63
2012-09-23,52
2012-09-30,58
2012-10-07,55
2012-10-14,57
2012-10-21,60
2012-10-28,56
2012-11-04,55
2012-11-11,58
2012-11-18,52
2012-11-25,60
2012-12-02,63
2012-12-09,64
2012-12-16,54
2012-12-23,59
2012-12-30,73
2013-01-06,54
2013-01-13,50
2013-01-20,51
2013-01-27,55
2013-02-03,46
2013-02-10,51
2013-02-17,55
2013-02-24,49
2013-03-03,57
2013-03-10,62
2013-03-17,52
2013-03-24,67
2013-03-31,57
2013-04-07,58
2013-04-14,55
2013-04-21,55
2013-04-28,52
2013-05-05,51
2013-05-12,51
2013-05-19,64
2013-05-26,52
2013-06-02,57
2013-06-09,62
2013-06-16,56
2013-06-23,66
2013-06-30,57
2013-07-07,57
2013-07-14,56
2013-07-21,59
2013-07-28,58
2013-08-04,53
2013-08-11,54
2013-08-18,56
2013-08-25,56
2013-09-01,49
2013-09-08,56
2013-09-15,61
2013-09-22,60
2013-09-29,59
2013-10-06,57
2013-10-13,47
2013-10-20,52
2013-10-27,56
2013-11-03,53
2013-11-10,51
2013-11-17,54
2013-11-24,52
2013-12-01,60
2013-12-08,56
2013-12-15,51
2013-12-22,48
2013-12-29,58
2014-01-05,51
2014-01-12,51
2014-01-19,56
2014-01-26,57
2014-02-02,56
2014-02-09,83
2014-02-16,100
2014-02-23,87
2014-03-02,73
2014-03-09,77
2014-03-16,73
2014-03-23,66
2014-03-30,60
2014-04-06,64
2014-04-13,63
2014-04-20,65
2014-04-27,58
2014-05-04,60
2014-05-11,56
2014-05-18,57
2014-05-25,57
2014-06-01,60
2014-06-08,66
2014-06-15,56
2014-06-22,57
2014-06-29,61
2014-07-06,65
2014-07-13,58
2014-07-20,58
2014-07-27,60
2014-08-03,68
2014-08-10,68
2014-08-17,62
2014-08-24,58
2014-08-31,57
2014-09-07,63
2014-09-14,59
2014-09-21,61
2014-09-28,63
2014-10-05,53
2014-10-12,61
2014-10-19,59
2014-10-26,61
2014-11-02,54
2014-11-09,56
2014-11-16,54
2014-11-23,50
2014-11-30,78
2014-12-07,70
2014-12-14,58
2014-12-21,49
2014-12-28,52
2015-01-04,51
2015-01-11,54
2015-01-18,54
2015-01-25,55
2015-02-01,51
2015-02-08,57
2015-02-15,61
2015-02-22,59
2015-03-01,54
2015-03-08,50
2015-03-15,49
2015-03-22,52
2015-03-29,62
2015-04-05,62
2015-04-12,51
2015-04-19,50
2015-04-26,63
2015-05-03,58
2015-05-10,59
2015-05-17,61
2015-05-24,58
2015-05-31,57
2015-06-07,58
2015-06-14,55
2015-06-21,56
2015-06-28,53
2015-07-05,56
2015-07-12,55
2015-07-19,55
2015-07-26,58
2015-08-02,52
2015-08-09,58
2015-08-16,54
2015-08-23,52
2015-08-30,48
2015-09-06,56
2015-09-13,57
2015-09-20,63
2015-09-27,59
2015-10-04,56
2015-10-11,57
2015-10-18,61
2015-10-25,54
2015-11-01,52
2015-11-08,53
2015-11-15,52
2015-11-22,59
2015-11-29,54
2015-12-06,57
2015-12-13,63
2015-12-20,58
2015-12-27,60
