Category: All categories

Week,gabardine: (Worldwide)
2012-01-01,62
2012-01-08,62
2012-01-15,64
2012-01-22,71
2012-01-29,70
2012-02-05,58
2012-02-12,64
2012-02-19,78
2012-02-26,75
2012-03-04,79
2012-03-11,75
2012-03-18,69
2012-03-25,82
2012-04-01,71
2012-04-08,70
2012-04-15,91
2012-04-22,96
2012-04-29,77
2012-05-06,79
2012-05-13,80
2012-05-20,63
2012-05-27,72
2012-06-03,72
2012-06-10,75
2012-06-17,70
2012-06-24,62
2012-07-01,84
2012-07-08,74
2012-07-15,71
2012-07-22,61
2012-07-29,66
2012-08-05,59
2012-08-12,67
2012-08-19,77
2012-08-26,63
2012-09-02,62
2012-09-09,66
2012-09-16,79
2012-09-23,77
2012-09-30,78
2012-10-07,72
2012-10-14,71
2012-10-21,95
2012-10-28,83
2012-11-04,79
2012-11-11,78
2012-11-18,76
2012-11-25,71
2012-12-02,70
2012-12-09,71
2012-12-16,72
2012-12-23,62
2012-12-30,63
2013-01-06,77
2013-01-13,81
2013-01-20,70
2013-01-27,82
2013-02-03,69
2013-02-10,78
2013-02-17,72
2013-02-24,61
2013-03-03,72
2013-03-10,68
2013-03-17,69
2013-03-24,74
2013-03-31,68
2013-04-07,70
2013-04-14,78
2013-04-21,75
2013-04-28,69
2013-05-05,62
2013-05-12,90
2013-05-19,79
2013-05-26,72
2013-06-02,59
2013-06-09,69
2013-06-16,66
2013-06-23,53
2013-06-30,64
2013-07-07,57
2013-07-14,50
2013-07-21,57
2013-07-28,60
2013-08-04,67
2013-08-11,62
2013-08-18,68
2013-08-25,58
2013-09-01,53
2013-09-08,69
2013-09-15,72
2013-09-22,57
2013-09-29,77
2013-10-06,76
2013-10-13,72
2013-10-20,77
2013-10-27,78
2013-11-03,82
2013-11-10,82
2013-11-17,67
2013-11-24,69
2013-12-01,70
2013-12-08,66
2013-12-15,62
2013-12-22,53
2013-12-29,67
2014-01-05,73
2014-01-12,74
2014-01-19,67
2014-01-26,68
2014-02-02,68
2014-02-09,56
2014-02-16,50
2014-02-23,65
2014-03-02,63
2014-03-09,59
2014-03-16,67
2014-03-23,67
2014-03-30,60
2014-04-06,59
2014-04-13,61
2014-04-20,66
2014-04-27,86
2014-05-04,62
2014-05-11,69
2014-05-18,66
2014-05-25,61
2014-06-01,62
2014-06-08,61
2014-06-15,53
2014-06-22,61
2014-06-29,71
2014-07-06,57
2014-07-13,56
2014-07-20,53
2014-07-27,46
2014-08-03,73
2014-08-10,66
2014-08-17,61
2014-08-24,62
2014-08-31,50
2014-09-07,65
2014-09-14,76
2014-09-21,74
2014-09-28,68
2014-10-05,72
2014-10-12,80
2014-10-19,69
2014-10-26,72
2014-11-02,74
2014-11-09,84
2014-11-16,58
2014-11-23,100
2014-11-30,75
2014-12-07,70
2014-12-14,65
2014-12-21,42
2014-12-28,62
2015-01-04,65
2015-01-11,66
2015-01-18,86
2015-01-25,69
2015-02-01,61
2015-02-08,57
2015-02-15,55
2015-02-22,56
2015-03-01,65
2015-03-08,57
2015-03-15,63
2015-03-22,57
2015-03-29,61
2015-04-05,56
2015-04-12,71
2015-04-19,66
2015-04-26,68
2015-05-03,65
2015-05-10,66
2015-05-17,61
2015-05-24,59
2015-05-31,56
2015-06-07,61
2015-06-14,61
2015-06-21,53
2015-06-28,53
2015-07-05,58
2015-07-12,60
2015-07-19,55
2015-07-26,52
2015-08-02,61
2015-08-09,57
2015-08-16,57
2015-08-23,64
2015-08-30,59
2015-09-06,51
2015-09-13,74
2015-09-20,63
2015-09-27,65
2015-10-04,92
2015-10-11,69
2015-10-18,64
2015-10-25,71
2015-11-01,71
2015-11-08,65
2015-11-15,58
2015-11-22,68
2015-11-29,66
2015-12-06,64
2015-12-13,69
2015-12-20,60
2015-12-27,57
