Category: All categories

Week,garters: (Worldwide)
2012-01-01,60
2012-01-08,69
2012-01-15,78
2012-01-22,79
2012-01-29,71
2012-02-05,67
2012-02-12,71
2012-02-19,74
2012-02-26,75
2012-03-04,78
2012-03-11,75
2012-03-18,66
2012-03-25,79
2012-04-01,85
2012-04-08,80
2012-04-15,89
2012-04-22,100
2012-04-29,88
2012-05-06,82
2012-05-13,73
2012-05-20,71
2012-05-27,64
2012-06-03,66
2012-06-10,68
2012-06-17,65
2012-06-24,60
2012-07-01,64
2012-07-08,74
2012-07-15,72
2012-07-22,62
2012-07-29,74
2012-08-05,67
2012-08-12,65
2012-08-19,68
2012-08-26,69
2012-09-02,72
2012-09-09,81
2012-09-16,88
2012-09-23,83
2012-09-30,76
2012-10-07,74
2012-10-14,67
2012-10-21,69
2012-10-28,54
2012-11-04,54
2012-11-11,53
2012-11-18,55
2012-11-25,57
2012-12-02,55
2012-12-09,52
2012-12-16,56
2012-12-23,54
2012-12-30,65
2013-01-06,73
2013-01-13,64
2013-01-20,62
2013-01-27,68
2013-02-03,72
2013-02-10,68
2013-02-17,71
2013-02-24,74
2013-03-03,66
2013-03-10,65
2013-03-17,73
2013-03-24,70
2013-03-31,80
2013-04-07,88
2013-04-14,85
2013-04-21,78
2013-04-28,78
2013-05-05,72
2013-05-12,65
2013-05-19,55
2013-05-26,58
2013-06-02,65
2013-06-09,60
2013-06-16,56
2013-06-23,56
2013-06-30,54
2013-07-07,63
2013-07-14,49
2013-07-21,54
2013-07-28,62
2013-08-04,61
2013-08-11,61
2013-08-18,58
2013-08-25,56
2013-09-01,63
2013-09-08,76
2013-09-15,79
2013-09-22,76
2013-09-29,83
2013-10-06,70
2013-10-13,78
2013-10-20,65
2013-10-27,52
2013-11-03,55
2013-11-10,48
2013-11-17,48
2013-11-24,52
2013-12-01,55
2013-12-08,58
2013-12-15,54
2013-12-22,59
2013-12-29,76
2014-01-05,80
2014-01-12,79
2014-01-19,69
2014-01-26,65
2014-02-02,70
2014-02-09,73
2014-02-16,59
2014-02-23,62
2014-03-02,60
2014-03-09,63
2014-03-16,65
2014-03-23,67
2014-03-30,68
2014-04-06,78
2014-04-13,76
2014-04-20,72
2014-04-27,82
2014-05-04,65
2014-05-11,57
2014-05-18,54
2014-05-25,58
2014-06-01,60
2014-06-08,61
2014-06-15,61
2014-06-22,51
2014-06-29,62
2014-07-06,48
2014-07-13,54
2014-07-20,56
2014-07-27,50
2014-08-03,62
2014-08-10,61
2014-08-17,55
2014-08-24,52
2014-08-31,56
2014-09-07,67
2014-09-14,74
2014-09-21,75
2014-09-28,65
2014-10-05,64
2014-10-12,64
2014-10-19,60
2014-10-26,55
2014-11-02,44
2014-11-09,48
2014-11-16,50
2014-11-23,47
2014-11-30,52
2014-12-07,45
2014-12-14,45
2014-12-21,51
2014-12-28,59
2015-01-04,51
2015-01-11,50
2015-01-18,54
2015-01-25,59
2015-02-01,54
2015-02-08,59
2015-02-15,60
2015-02-22,52
2015-03-01,62
2015-03-08,57
2015-03-15,60
2015-03-22,59
2015-03-29,53
2015-04-05,58
2015-04-12,62
2015-04-19,69
2015-04-26,63
2015-05-03,55
2015-05-10,56
2015-05-17,51
2015-05-24,54
2015-05-31,55
2015-06-07,49
2015-06-14,48
2015-06-21,47
2015-06-28,53
2015-07-05,49
2015-07-12,47
2015-07-19,56
2015-07-26,50
2015-08-02,50
2015-08-09,50
2015-08-16,54
2015-08-23,52
2015-08-30,50
2015-09-06,59
2015-09-13,69
2015-09-20,64
2015-09-27,68
2015-10-04,59
2015-10-11,60
2015-10-18,54
2015-10-25,48
2015-11-01,46
2015-11-08,47
2015-11-15,44
2015-11-22,42
2015-11-29,46
2015-12-06,46
2015-12-13,47
2015-12-20,41
2015-12-27,58
