Category: All categories

Week,girdle: (Worldwide)
2012-01-01,80
2012-01-08,82
2012-01-15,81
2012-01-22,83
2012-01-29,81
2012-02-05,78
2012-02-12,78
2012-02-19,85
2012-02-26,88
2012-03-04,85
2012-03-11,78
2012-03-18,83
2012-03-25,85
2012-04-01,79
2012-04-08,77
2012-04-15,79
2012-04-22,84
2012-04-29,84
2012-05-06,79
2012-05-13,80
2012-05-20,76
2012-05-27,75
2012-06-03,78
2012-06-10,76
2012-06-17,71
2012-06-24,76
2012-07-01,71
2012-07-08,77
2012-07-15,82
2012-07-22,84
2012-07-29,89
2012-08-05,87
2012-08-12,90
2012-08-19,86
2012-08-26,76
2012-09-02,80
2012-09-09,83
2012-09-16,83
2012-09-23,84
2012-09-30,88
2012-10-07,84
2012-10-14,90
2012-10-21,90
2012-10-28,83
2012-11-04,84
2012-11-11,84
2012-11-18,74
2012-11-25,81
2012-12-02,84
2012-12-09,81
2012-12-16,72
2012-12-23,73
2012-12-30,75
2013-01-06,82
2013-01-13,79
2013-01-20,77
2013-01-27,76
2013-02-03,85
2013-02-10,82
2013-02-17,82
2013-02-24,89
2013-03-03,85
2013-03-10,81
2013-03-17,82
2013-03-24,78
2013-03-31,78
2013-04-07,81
2013-04-14,80
2013-04-21,96
2013-04-28,95
2013-05-05,86
2013-05-12,86
2013-05-19,82
2013-05-26,74
2013-06-02,83
2013-06-09,79
2013-06-16,82
2013-06-23,79
2013-06-30,78
2013-07-07,78
2013-07-14,78
2013-07-21,86
2013-07-28,94
2013-08-04,90
2013-08-11,90
2013-08-18,88
2013-08-25,83
2013-09-01,85
2013-09-08,80
2013-09-15,86
2013-09-22,86
2013-09-29,100
2013-10-06,94
2013-10-13,94
2013-10-20,88
2013-10-27,96
2013-11-03,89
2013-11-10,87
2013-11-17,86
2013-11-24,78
2013-12-01,83
2013-12-08,89
2013-12-15,77
2013-12-22,72
2013-12-29,84
2014-01-05,80
2014-01-12,83
2014-01-19,86
2014-01-26,84
2014-02-02,87
2014-02-09,85
2014-02-16,87
2014-02-23,94
2014-03-02,89
2014-03-09,85
2014-03-16,86
2014-03-23,85
2014-03-30,86
2014-04-06,88
2014-04-13,86
2014-04-20,85
2014-04-27,86
2014-05-04,87
2014-05-11,81
2014-05-18,80
2014-05-25,84
2014-06-01,81
2014-06-08,86
2014-06-15,78
2014-06-22,86
2014-06-29,76
2014-07-06,82
2014-07-13,84
2014-07-20,85
2014-07-27,89
2014-08-03,93
2014-08-10,100
2014-08-17,95
2014-08-24,88
2014-08-31,87
2014-09-07,88
2014-09-14,93
2014-09-21,92
2014-09-28,98
2014-10-05,92
2014-10-12,92
2014-10-19,94
2014-10-26,94
2014-11-02,88
2014-11-09,84
2014-11-16,92
2014-11-23,82
2014-11-30,92
2014-12-07,94
2014-12-14,84
2014-12-21,75
2014-12-28,86
2015-01-04,87
2015-01-11,92
2015-01-18,85
2015-01-25,86
2015-02-01,91
2015-02-08,85
2015-02-15,89
2015-02-22,97
2015-03-01,93
2015-03-08,88
2015-03-15,87
2015-03-22,88
2015-03-29,82
2015-04-05,87
2015-04-12,85
2015-04-19,89
2015-04-26,90
2015-05-03,91
2015-05-10,80
2015-05-17,85
2015-05-24,78
2015-05-31,87
2015-06-07,81
2015-06-14,82
2015-06-21,84
2015-06-28,73
2015-07-05,80
2015-07-12,81
2015-07-19,89
2015-07-26,93
2015-08-02,95
2015-08-09,99
2015-08-16,88
2015-08-23,87
2015-08-30,86
2015-09-06,86
2015-09-13,86
2015-09-20,92
2015-09-27,89
2015-10-04,93
2015-10-11,89
2015-10-18,90
2015-10-25,87
2015-11-01,91
2015-11-08,94
2015-11-15,88
2015-11-22,76
2015-11-29,83
2015-12-06,83
2015-12-13,80
2015-12-20,66
2015-12-27,80
