Category: All categories

Week,glasses: (Worldwide)
2012-01-01,69
2012-01-08,68
2012-01-15,68
2012-01-22,68
2012-01-29,66
2012-02-05,69
2012-02-12,66
2012-02-19,73
2012-02-26,69
2012-03-04,67
2012-03-11,66
2012-03-18,66
2012-03-25,66
2012-04-01,96
2012-04-08,85
2012-04-15,76
2012-04-22,74
2012-04-29,74
2012-05-06,71
2012-05-13,74
2012-05-20,79
2012-05-27,72
2012-06-03,75
2012-06-10,70
2012-06-17,69
2012-06-24,78
2012-07-01,73
2012-07-08,74
2012-07-15,75
2012-07-22,74
2012-07-29,74
2012-08-05,73
2012-08-12,75
2012-08-19,72
2012-08-26,69
2012-09-02,69
2012-09-09,72
2012-09-16,71
2012-09-23,69
2012-09-30,66
2012-10-07,69
2012-10-14,66
2012-10-21,67
2012-10-28,63
2012-11-04,64
2012-11-11,71
2012-11-18,72
2012-11-25,78
2012-12-02,77
2012-12-09,80
2012-12-16,75
2012-12-23,76
2012-12-30,78
2013-01-06,73
2013-01-13,72
2013-01-20,76
2013-01-27,73
2013-02-03,71
2013-02-10,71
2013-02-17,89
2013-02-24,95
2013-03-03,85
2013-03-10,92
2013-03-17,85
2013-03-24,85
2013-03-31,78
2013-04-07,76
2013-04-14,81
2013-04-21,82
2013-04-28,84
2013-05-05,83
2013-05-12,78
2013-05-19,76
2013-05-26,72
2013-06-02,74
2013-06-09,72
2013-06-16,71
2013-06-23,70
2013-06-30,68
2013-07-07,72
2013-07-14,73
2013-07-21,73
2013-07-28,74
2013-08-04,75
2013-08-11,73
2013-08-18,74
2013-08-25,70
2013-09-01,69
2013-09-08,68
2013-09-15,68
2013-09-22,67
2013-09-29,67
2013-10-06,68
2013-10-13,70
2013-10-20,69
2013-10-27,73
2013-11-03,70
2013-11-10,73
2013-11-17,73
2013-11-24,75
2013-12-01,79
2013-12-08,80
2013-12-15,78
2013-12-22,75
2013-12-29,80
2014-01-05,75
2014-01-12,76
2014-01-19,76
2014-01-26,76
2014-02-02,73
2014-02-09,72
2014-02-16,72
2014-02-23,75
2014-03-02,75
2014-03-09,74
2014-03-16,72
2014-03-23,74
2014-03-30,72
2014-04-06,73
2014-04-13,78
2014-04-20,74
2014-04-27,72
2014-05-04,71
2014-05-11,70
2014-05-18,68
2014-05-25,67
2014-06-01,70
2014-06-08,71
2014-06-15,70
2014-06-22,72
2014-06-29,69
2014-07-06,74
2014-07-13,74
2014-07-20,75
2014-07-27,76
2014-08-03,74
2014-08-10,73
2014-08-17,72
2014-08-24,69
2014-08-31,67
2014-09-07,67
2014-09-14,68
2014-09-21,67
2014-09-28,68
2014-10-05,67
2014-10-12,69
2014-10-19,71
2014-10-26,72
2014-11-02,69
2014-11-09,70
2014-11-16,72
2014-11-23,72
2014-11-30,78
2014-12-07,80
2014-12-14,79
2014-12-21,76
2014-12-28,79
2015-01-04,74
2015-01-11,74
2015-01-18,74
2015-01-25,74
2015-02-01,72
2015-02-08,72
2015-02-15,75
2015-02-22,76
2015-03-01,76
2015-03-08,81
2015-03-15,100
2015-03-22,77
2015-03-29,76
2015-04-05,75
2015-04-12,74
2015-04-19,75
2015-04-26,76
2015-05-03,72
2015-05-10,79
2015-05-17,73
2015-05-24,73
2015-05-31,74
2015-06-07,74
2015-06-14,75
2015-06-21,73
2015-06-28,72
2015-07-05,74
2015-07-12,83
2015-07-19,80
2015-07-26,77
2015-08-02,78
2015-08-09,79
2015-08-16,80
2015-08-23,77
2015-08-30,75
2015-09-06,74
2015-09-13,73
2015-09-20,74
2015-09-27,73
2015-10-04,74
2015-10-11,74
2015-10-18,76
2015-10-25,78
2015-11-01,74
2015-11-08,76
2015-11-15,79
2015-11-22,81
2015-11-29,86
2015-12-06,88
2015-12-13,92
2015-12-20,89
2015-12-27,91
