Category: All categories

Week,gloves: (Worldwide)
2012-01-01,55
2012-01-08,51
2012-01-15,59
2012-01-22,51
2012-01-29,56
2012-02-05,53
2012-02-12,49
2012-02-19,47
2012-02-26,46
2012-03-04,45
2012-03-11,42
2012-03-18,42
2012-03-25,41
2012-04-01,47
2012-04-08,43
2012-04-15,43
2012-04-22,44
2012-04-29,45
2012-05-06,44
2012-05-13,42
2012-05-20,41
2012-05-27,40
2012-06-03,40
2012-06-10,41
2012-06-17,41
2012-06-24,40
2012-07-01,38
2012-07-08,41
2012-07-15,41
2012-07-22,42
2012-07-29,41
2012-08-05,41
2012-08-12,41
2012-08-19,42
2012-08-26,42
2012-09-02,43
2012-09-09,45
2012-09-16,47
2012-09-23,48
2012-09-30,50
2012-10-07,54
2012-10-14,52
2012-10-21,56
2012-10-28,56
2012-11-04,59
2012-11-11,60
2012-11-18,64
2012-11-25,77
2012-12-02,80
2012-12-09,85
2012-12-16,71
2012-12-23,59
2012-12-30,57
2013-01-06,53
2013-01-13,58
2013-01-20,58
2013-01-27,49
2013-02-03,49
2013-02-10,47
2013-02-17,49
2013-02-24,47
2013-03-03,46
2013-03-10,46
2013-03-17,45
2013-03-24,44
2013-03-31,44
2013-04-07,42
2013-04-14,42
2013-04-21,42
2013-04-28,43
2013-05-05,42
2013-05-12,40
2013-05-19,40
2013-05-26,38
2013-06-02,39
2013-06-09,39
2013-06-16,38
2013-06-23,38
2013-06-30,36
2013-07-07,38
2013-07-14,39
2013-07-21,39
2013-07-28,40
2013-08-04,41
2013-08-11,41
2013-08-18,41
2013-08-25,40
2013-09-01,41
2013-09-08,43
2013-09-15,46
2013-09-22,43
2013-09-29,45
2013-10-06,49
2013-10-13,51
2013-10-20,56
2013-10-27,56
2013-11-03,56
2013-11-10,65
2013-11-17,69
2013-11-24,81
2013-12-01,86
2013-12-08,100
2013-12-15,84
2013-12-22,63
2013-12-29,60
2014-01-05,63
2014-01-12,54
2014-01-19,58
2014-01-26,57
2014-02-02,55
2014-02-09,54
2014-02-16,49
2014-02-23,47
2014-03-02,47
2014-03-09,43
2014-03-16,42
2014-03-23,45
2014-03-30,44
2014-04-06,44
2014-04-13,43
2014-04-20,43
2014-04-27,44
2014-05-04,44
2014-05-11,40
2014-05-18,40
2014-05-25,40
2014-06-01,40
2014-06-08,40
2014-06-15,39
2014-06-22,40
2014-06-29,38
2014-07-06,41
2014-07-13,44
2014-07-20,42
2014-07-27,42
2014-08-03,43
2014-08-10,42
2014-08-17,42
2014-08-24,42
2014-08-31,41
2014-09-07,43
2014-09-14,45
2014-09-21,45
2014-09-28,48
2014-10-05,51
2014-10-12,52
2014-10-19,53
2014-10-26,56
2014-11-02,59
2014-11-09,69
2014-11-16,81
2014-11-23,76
2014-11-30,87
2014-12-07,89
2014-12-14,80
2014-12-21,63
2014-12-28,62
2015-01-04,65
2015-01-11,62
2015-01-18,55
2015-01-25,53
2015-02-01,55
2015-02-08,51
2015-02-15,54
2015-02-22,53
2015-03-01,49
2015-03-08,45
2015-03-15,44
2015-03-22,44
2015-03-29,42
2015-04-05,41
2015-04-12,41
2015-04-19,42
2015-04-26,44
2015-05-03,45
2015-05-10,43
2015-05-17,42
2015-05-24,41
2015-05-31,43
2015-06-07,40
2015-06-14,40
2015-06-21,39
2015-06-28,38
2015-07-05,39
2015-07-12,41
2015-07-19,41
2015-07-26,41
2015-08-02,42
2015-08-09,42
2015-08-16,42
2015-08-23,42
2015-08-30,42
2015-09-06,43
2015-09-13,44
2015-09-20,45
2015-09-27,46
2015-10-04,49
2015-10-11,53
2015-10-18,56
2015-10-25,56
2015-11-01,51
2015-11-08,56
2015-11-15,64
2015-11-22,76
2015-11-29,79
2015-12-06,77
2015-12-13,77
2015-12-20,62
2015-12-27,56
