Category: All categories

Week,gown: (Worldwide)
2012-01-01,56
2012-01-08,64
2012-01-15,69
2012-01-22,69
2012-01-29,65
2012-02-05,66
2012-02-12,63
2012-02-19,68
2012-02-26,69
2012-03-04,60
2012-03-11,59
2012-03-18,60
2012-03-25,59
2012-04-01,61
2012-04-08,61
2012-04-15,65
2012-04-22,68
2012-04-29,71
2012-05-06,71
2012-05-13,71
2012-05-20,68
2012-05-27,59
2012-06-03,62
2012-06-10,59
2012-06-17,55
2012-06-24,50
2012-07-01,51
2012-07-08,55
2012-07-15,54
2012-07-22,52
2012-07-29,53
2012-08-05,50
2012-08-12,55
2012-08-19,56
2012-08-26,59
2012-09-02,60
2012-09-09,63
2012-09-16,61
2012-09-23,61
2012-09-30,60
2012-10-07,56
2012-10-14,59
2012-10-21,60
2012-10-28,56
2012-11-04,58
2012-11-11,61
2012-11-18,61
2012-11-25,65
2012-12-02,65
2012-12-09,65
2012-12-16,62
2012-12-23,50
2012-12-30,60
2013-01-06,69
2013-01-13,74
2013-01-20,96
2013-01-27,69
2013-02-03,65
2013-02-10,64
2013-02-17,66
2013-02-24,76
2013-03-03,67
2013-03-10,64
2013-03-17,64
2013-03-24,63
2013-03-31,63
2013-04-07,67
2013-04-14,68
2013-04-21,68
2013-04-28,71
2013-05-05,73
2013-05-12,70
2013-05-19,71
2013-05-26,64
2013-06-02,63
2013-06-09,64
2013-06-16,61
2013-06-23,54
2013-06-30,53
2013-07-07,52
2013-07-14,54
2013-07-21,54
2013-07-28,53
2013-08-04,53
2013-08-11,53
2013-08-18,55
2013-08-25,54
2013-09-01,55
2013-09-08,60
2013-09-15,61
2013-09-22,62
2013-09-29,61
2013-10-06,62
2013-10-13,62
2013-10-20,64
2013-10-27,62
2013-11-03,68
2013-11-10,73
2013-11-17,70
2013-11-24,69
2013-12-01,72
2013-12-08,72
2013-12-15,61
2013-12-22,54
2013-12-29,64
2014-01-05,72
2014-01-12,79
2014-01-19,78
2014-01-26,75
2014-02-02,75
2014-02-09,72
2014-02-16,74
2014-02-23,75
2014-03-02,81
2014-03-09,74
2014-03-16,73
2014-03-23,73
2014-03-30,72
2014-04-06,74
2014-04-13,73
2014-04-20,74
2014-04-27,80
2014-05-04,88
2014-05-11,82
2014-05-18,79
2014-05-25,77
2014-06-01,90
2014-06-08,72
2014-06-15,64
2014-06-22,64
2014-06-29,59
2014-07-06,66
2014-07-13,64
2014-07-20,63
2014-07-27,65
2014-08-03,64
2014-08-10,62
2014-08-17,64
2014-08-24,67
2014-08-31,70
2014-09-07,74
2014-09-14,73
2014-09-21,69
2014-09-28,73
2014-10-05,74
2014-10-12,75
2014-10-19,75
2014-10-26,73
2014-11-02,78
2014-11-09,83
2014-11-16,82
2014-11-23,84
2014-11-30,87
2014-12-07,86
2014-12-14,76
2014-12-21,65
2014-12-28,81
2015-01-04,83
2015-01-11,91
2015-01-18,88
2015-01-25,100
2015-02-01,87
2015-02-08,84
2015-02-15,89
2015-02-22,92
2015-03-01,85
2015-03-08,85
2015-03-15,84
2015-03-22,81
2015-03-29,78
2015-04-05,81
2015-04-12,82
2015-04-19,82
2015-04-26,83
2015-05-03,92
2015-05-10,91
2015-05-17,87
2015-05-24,80
2015-05-31,82
2015-06-07,76
2015-06-14,73
2015-06-21,72
2015-06-28,68
2015-07-05,71
2015-07-12,74
2015-07-19,69
2015-07-26,72
2015-08-02,73
2015-08-09,74
2015-08-16,72
2015-08-23,70
2015-08-30,74
2015-09-06,77
2015-09-13,80
2015-09-20,81
2015-09-27,79
2015-10-04,82
2015-10-11,84
2015-10-18,85
2015-10-25,91
2015-11-01,86
2015-11-08,90
2015-11-15,91
2015-11-22,96
2015-11-29,98
2015-12-06,98
2015-12-13,95
2015-12-20,89
2015-12-27,86
