Category: All categories

Week,high heels: (Worldwide)
2012-01-01,58
2012-01-08,58
2012-01-15,62
2012-01-22,66
2012-01-29,62
2012-02-05,63
2012-02-12,62
2012-02-19,65
2012-02-26,63
2012-03-04,62
2012-03-11,61
2012-03-18,62
2012-03-25,59
2012-04-01,64
2012-04-08,65
2012-04-15,65
2012-04-22,66
2012-04-29,64
2012-05-06,63
2012-05-13,62
2012-05-20,59
2012-05-27,59
2012-06-03,63
2012-06-10,62
2012-06-17,59
2012-06-24,60
2012-07-01,58
2012-07-08,61
2012-07-15,61
2012-07-22,60
2012-07-29,58
2012-08-05,59
2012-08-12,60
2012-08-19,64
2012-08-26,63
2012-09-02,74
2012-09-09,85
2012-09-16,88
2012-09-23,100
2012-09-30,93
2012-10-07,95
2012-10-14,91
2012-10-21,92
2012-10-28,89
2012-11-04,87
2012-11-11,87
2012-11-18,86
2012-11-25,85
2012-12-02,83
2012-12-09,82
2012-12-16,80
2012-12-23,83
2012-12-30,83
2013-01-06,71
2013-01-13,69
2013-01-20,68
2013-01-27,74
2013-02-03,74
2013-02-10,71
2013-02-17,70
2013-02-24,70
2013-03-03,69
2013-03-10,70
2013-03-17,69
2013-03-24,73
2013-03-31,70
2013-04-07,70
2013-04-14,66
2013-04-21,66
2013-04-28,68
2013-05-05,64
2013-05-12,62
2013-05-19,63
2013-05-26,62
2013-06-02,60
2013-06-09,61
2013-06-16,59
2013-06-23,59
2013-06-30,58
2013-07-07,60
2013-07-14,59
2013-07-21,57
2013-07-28,58
2013-08-04,59
2013-08-11,58
2013-08-18,58
2013-08-25,56
2013-09-01,57
2013-09-08,58
2013-09-15,59
2013-09-22,58
2013-09-29,56
2013-10-06,58
2013-10-13,59
2013-10-20,56
2013-10-27,55
2013-11-03,55
2013-11-10,57
2013-11-17,58
2013-11-24,57
2013-12-01,59
2013-12-08,57
2013-12-15,58
2013-12-22,60
2013-12-29,62
2014-01-05,57
2014-01-12,58
2014-01-19,60
2014-01-26,59
2014-02-02,59
2014-02-09,60
2014-02-16,60
2014-02-23,60
2014-03-02,60
2014-03-09,59
2014-03-16,58
2014-03-23,62
2014-03-30,62
2014-04-06,62
2014-04-13,65
2014-04-20,63
2014-04-27,64
2014-05-04,63
2014-05-11,62
2014-05-18,60
2014-05-25,61
2014-06-01,62
2014-06-08,60
2014-06-15,60
2014-06-22,63
2014-06-29,58
2014-07-06,60
2014-07-13,60
2014-07-20,61
2014-07-27,59
2014-08-03,56
2014-08-10,59
2014-08-17,58
2014-08-24,59
2014-08-31,57
2014-09-07,58
2014-09-14,59
2014-09-21,59
2014-09-28,62
2014-10-05,60
2014-10-12,60
2014-10-19,57
2014-10-26,56
2014-11-02,56
2014-11-09,57
2014-11-16,59
2014-11-23,57
2014-11-30,59
2014-12-07,58
2014-12-14,55
2014-12-21,58
2014-12-28,61
2015-01-04,56
2015-01-11,59
2015-01-18,58
2015-01-25,58
2015-02-01,56
2015-02-08,57
2015-02-15,58
2015-02-22,57
2015-03-01,57
2015-03-08,62
2015-03-15,60
2015-03-22,59
2015-03-29,60
2015-04-05,59
2015-04-12,58
2015-04-19,58
2015-04-26,60
2015-05-03,59
2015-05-10,59
2015-05-17,63
2015-05-24,61
2015-05-31,59
2015-06-07,56
2015-06-14,57
2015-06-21,57
2015-06-28,55
2015-07-05,55
2015-07-12,55
2015-07-19,58
2015-07-26,55
2015-08-02,54
2015-08-09,54
2015-08-16,54
2015-08-23,53
2015-08-30,52
2015-09-06,55
2015-09-13,56
2015-09-20,56
2015-09-27,55
2015-10-04,55
2015-10-11,56
2015-10-18,55
2015-10-25,54
2015-11-01,53
2015-11-08,54
2015-11-15,53
2015-11-22,53
2015-11-29,55
2015-12-06,55
2015-12-13,57
2015-12-20,57
2015-12-27,60
