Category: All categories

Week,hosiery: (Worldwide)
2012-01-01,85
2012-01-08,80
2012-01-15,85
2012-01-22,78
2012-01-29,83
2012-02-05,94
2012-02-12,78
2012-02-19,81
2012-02-26,80
2012-03-04,74
2012-03-11,75
2012-03-18,81
2012-03-25,77
2012-04-01,87
2012-04-08,85
2012-04-15,79
2012-04-22,81
2012-04-29,87
2012-05-06,74
2012-05-13,71
2012-05-20,73
2012-05-27,68
2012-06-03,71
2012-06-10,81
2012-06-17,78
2012-06-24,71
2012-07-01,74
2012-07-08,66
2012-07-15,66
2012-07-22,77
2012-07-29,71
2012-08-05,70
2012-08-12,73
2012-08-19,68
2012-08-26,82
2012-09-02,82
2012-09-09,77
2012-09-16,89
2012-09-23,93
2012-09-30,88
2012-10-07,100
2012-10-14,86
2012-10-21,83
2012-10-28,79
2012-11-04,90
2012-11-11,81
2012-11-18,84
2012-11-25,85
2012-12-02,88
2012-12-09,95
2012-12-16,85
2012-12-23,72
2012-12-30,86
2013-01-06,78
2013-01-13,76
2013-01-20,80
2013-01-27,68
2013-02-03,78
2013-02-10,77
2013-02-17,79
2013-02-24,74
2013-03-03,77
2013-03-10,71
2013-03-17,68
2013-03-24,71
2013-03-31,69
2013-04-07,70
2013-04-14,78
2013-04-21,78
2013-04-28,78
2013-05-05,77
2013-05-12,81
2013-05-19,71
2013-05-26,66
2013-06-02,71
2013-06-09,68
2013-06-16,69
2013-06-23,68
2013-06-30,65
2013-07-07,63
2013-07-14,68
2013-07-21,69
2013-07-28,69
2013-08-04,70
2013-08-11,69
2013-08-18,64
2013-08-25,64
2013-09-01,70
2013-09-08,70
2013-09-15,81
2013-09-22,72
2013-09-29,85
2013-10-06,81
2013-10-13,89
2013-10-20,83
2013-10-27,81
2013-11-03,79
2013-11-10,81
2013-11-17,89
2013-11-24,82
2013-12-01,80
2013-12-08,86
2013-12-15,73
2013-12-22,69
2013-12-29,72
2014-01-05,76
2014-01-12,70
2014-01-19,69
2014-01-26,74
2014-02-02,71
2014-02-09,71
2014-02-16,77
2014-02-23,71
2014-03-02,67
2014-03-09,74
2014-03-16,75
2014-03-23,67
2014-03-30,72
2014-04-06,72
2014-04-13,74
2014-04-20,78
2014-04-27,80
2014-05-04,71
2014-05-11,70
2014-05-18,66
2014-05-25,62
2014-06-01,61
2014-06-08,63
2014-06-15,60
2014-06-22,61
2014-06-29,61
2014-07-06,67
2014-07-13,64
2014-07-20,74
2014-07-27,60
2014-08-03,73
2014-08-10,67
2014-08-17,66
2014-08-24,67
2014-08-31,80
2014-09-07,73
2014-09-14,76
2014-09-21,74
2014-09-28,63
2014-10-05,76
2014-10-12,80
2014-10-19,75
2014-10-26,87
2014-11-02,77
2014-11-09,81
2014-11-16,88
2014-11-23,72
2014-11-30,88
2014-12-07,72
2014-12-14,91
2014-12-21,85
2014-12-28,71
2015-01-04,78
2015-01-11,73
2015-01-18,73
2015-01-25,78
2015-02-01,66
2015-02-08,67
2015-02-15,73
2015-02-22,69
2015-03-01,67
2015-03-08,70
2015-03-15,76
2015-03-22,62
2015-03-29,62
2015-04-05,69
2015-04-12,72
2015-04-19,78
2015-04-26,61
2015-05-03,65
2015-05-10,69
2015-05-17,67
2015-05-24,65
2015-05-31,65
2015-06-07,65
2015-06-14,60
2015-06-21,63
2015-06-28,61
2015-07-05,64
2015-07-12,66
2015-07-19,72
2015-07-26,69
2015-08-02,67
2015-08-09,57
2015-08-16,71
2015-08-23,59
2015-08-30,69
2015-09-06,67
2015-09-13,70
2015-09-20,67
2015-09-27,73
2015-10-04,73
2015-10-11,72
2015-10-18,64
2015-10-25,71
2015-11-01,80
2015-11-08,69
2015-11-15,75
2015-11-22,70
2015-11-29,79
2015-12-06,79
2015-12-13,76
2015-12-20,69
2015-12-27,73
