Category: All categories

Week,Miniskirt: (Worldwide)
2012-01-01,55
2012-01-08,52
2012-01-15,53
2012-01-22,49
2012-01-29,46
2012-02-05,49
2012-02-12,51
2012-02-19,50
2012-02-26,49
2012-03-04,50
2012-03-11,51
2012-03-18,53
2012-03-25,61
2012-04-01,54
2012-04-08,59
2012-04-15,51
2012-04-22,54
2012-04-29,54
2012-05-06,57
2012-05-13,55
2012-05-20,58
2012-05-27,58
2012-06-03,57
2012-06-10,52
2012-06-17,58
2012-06-24,61
2012-07-01,54
2012-07-08,46
2012-07-15,67
2012-07-22,60
2012-07-29,55
2012-08-05,54
2012-08-12,60
2012-08-19,53
2012-08-26,58
2012-09-02,56
2012-09-09,47
2012-09-16,62
2012-09-23,56
2012-09-30,58
2012-10-07,52
2012-10-14,58
2012-10-21,55
2012-10-28,47
2012-11-04,48
2012-11-11,49
2012-11-18,56
2012-11-25,59
2012-12-02,51
2012-12-09,51
2012-12-16,53
2012-12-23,65
2012-12-30,68
2013-01-06,49
2013-01-13,55
2013-01-20,54
2013-01-27,52
2013-02-03,53
2013-02-10,55
2013-02-17,52
2013-02-24,49
2013-03-03,45
2013-03-10,53
2013-03-17,52
2013-03-24,60
2013-03-31,52
2013-04-07,54
2013-04-14,50
2013-04-21,56
2013-04-28,55
2013-05-05,50
2013-05-12,51
2013-05-19,59
2013-05-26,56
2013-06-02,59
2013-06-09,52
2013-06-16,60
2013-06-23,59
2013-06-30,64
2013-07-07,56
2013-07-14,57
2013-07-21,56
2013-07-28,61
2013-08-04,66
2013-08-11,54
2013-08-18,56
2013-08-25,60
2013-09-01,58
2013-09-08,58
2013-09-15,56
2013-09-22,56
2013-09-29,58
2013-10-06,57
2013-10-13,63
2013-10-20,56
2013-10-27,58
2013-11-03,57
2013-11-10,65
2013-11-17,53
2013-11-24,56
2013-12-01,57
2013-12-08,59
2013-12-15,64
2013-12-22,70
2013-12-29,69
2014-01-05,61
2014-01-12,79
2014-01-19,88
2014-01-26,80
2014-02-02,86
2014-02-09,79
2014-02-16,100
2014-02-23,76
2014-03-02,73
2014-03-09,75
2014-03-16,74
2014-03-23,67
2014-03-30,68
2014-04-06,70
2014-04-13,71
2014-04-20,74
2014-04-27,75
2014-05-04,77
2014-05-11,66
2014-05-18,74
2014-05-25,74
2014-06-01,77
2014-06-08,73
2014-06-15,77
2014-06-22,87
2014-06-29,80
2014-07-06,69
2014-07-13,66
2014-07-20,73
2014-07-27,70
2014-08-03,74
2014-08-10,68
2014-08-17,70
2014-08-24,67
2014-08-31,64
2014-09-07,62
2014-09-14,65
2014-09-21,63
2014-09-28,56
2014-10-05,65
2014-10-12,58
2014-10-19,59
2014-10-26,58
2014-11-02,61
2014-11-09,63
2014-11-16,70
2014-11-23,65
2014-11-30,66
2014-12-07,63
2014-12-14,63
2014-12-21,69
2014-12-28,73
2015-01-04,60
2015-01-11,63
2015-01-18,61
2015-01-25,57
2015-02-01,55
2015-02-08,62
2015-02-15,63
2015-02-22,59
2015-03-01,68
2015-03-08,54
2015-03-15,57
2015-03-22,53
2015-03-29,56
2015-04-05,62
2015-04-12,58
2015-04-19,56
2015-04-26,58
2015-05-03,57
2015-05-10,60
2015-05-17,56
2015-05-24,59
2015-05-31,57
2015-06-07,60
2015-06-14,57
2015-06-21,58
2015-06-28,57
2015-07-05,60
2015-07-12,61
2015-07-19,56
2015-07-26,56
2015-08-02,66
2015-08-09,70
2015-08-16,63
2015-08-23,60
2015-08-30,56
2015-09-06,54
2015-09-13,57
2015-09-20,61
2015-09-27,52
2015-10-04,49
2015-10-11,55
2015-10-18,58
2015-10-25,54
2015-11-01,55
2015-11-08,49
2015-11-15,44
2015-11-22,54
2015-11-29,49
2015-12-06,54
2015-12-13,55
2015-12-20,59
2015-12-27,50
