Category: All categories

Week,jumper: (Worldwide)
2012-01-01,41
2012-01-08,44
2012-01-15,43
2012-01-22,38
2012-01-29,42
2012-02-05,40
2012-02-12,38
2012-02-19,40
2012-02-26,39
2012-03-04,40
2012-03-11,43
2012-03-18,39
2012-03-25,38
2012-04-01,39
2012-04-08,37
2012-04-15,38
2012-04-22,39
2012-04-29,39
2012-05-06,40
2012-05-13,41
2012-05-20,38
2012-05-27,38
2012-06-03,39
2012-06-10,40
2012-06-17,39
2012-06-24,40
2012-07-01,42
2012-07-08,43
2012-07-15,42
2012-07-22,51
2012-07-29,48
2012-08-05,53
2012-08-12,40
2012-08-19,42
2012-08-26,41
2012-09-02,42
2012-09-09,43
2012-09-16,44
2012-09-23,45
2012-09-30,44
2012-10-07,46
2012-10-14,50
2012-10-21,45
2012-10-28,45
2012-11-04,45
2012-11-11,47
2012-11-18,52
2012-11-25,55
2012-12-02,60
2012-12-09,66
2012-12-16,61
2012-12-23,51
2012-12-30,47
2013-01-06,41
2013-01-13,44
2013-01-20,47
2013-01-27,41
2013-02-03,39
2013-02-10,42
2013-02-17,39
2013-02-24,41
2013-03-03,42
2013-03-10,40
2013-03-17,40
2013-03-24,41
2013-03-31,40
2013-04-07,40
2013-04-14,39
2013-04-21,40
2013-04-28,40
2013-05-05,42
2013-05-12,43
2013-05-19,40
2013-05-26,39
2013-06-02,40
2013-06-09,42
2013-06-16,40
2013-06-23,41
2013-06-30,41
2013-07-07,42
2013-07-14,40
2013-07-21,43
2013-07-28,41
2013-08-04,43
2013-08-11,44
2013-08-18,44
2013-08-25,42
2013-09-01,41
2013-09-08,45
2013-09-15,46
2013-09-22,45
2013-09-29,44
2013-10-06,44
2013-10-13,46
2013-10-20,46
2013-10-27,46
2013-11-03,48
2013-11-10,53
2013-11-17,57
2013-11-24,65
2013-12-01,72
2013-12-08,82
2013-12-15,68
2013-12-22,57
2013-12-29,50
2014-01-05,50
2014-01-12,45
2014-01-19,45
2014-01-26,45
2014-02-02,47
2014-02-09,46
2014-02-16,43
2014-02-23,42
2014-03-02,41
2014-03-09,42
2014-03-16,40
2014-03-23,42
2014-03-30,42
2014-04-06,41
2014-04-13,41
2014-04-20,42
2014-04-27,40
2014-05-04,41
2014-05-11,40
2014-05-18,39
2014-05-25,41
2014-06-01,41
2014-06-08,39
2014-06-15,39
2014-06-22,42
2014-06-29,41
2014-07-06,41
2014-07-13,42
2014-07-20,43
2014-07-27,42
2014-08-03,43
2014-08-10,44
2014-08-17,45
2014-08-24,45
2014-08-31,44
2014-09-07,44
2014-09-14,44
2014-09-21,47
2014-09-28,46
2014-10-05,47
2014-10-12,48
2014-10-19,52
2014-10-26,50
2014-11-02,56
2014-11-09,61
2014-11-16,64
2014-11-23,73
2014-11-30,82
2014-12-07,100
2014-12-14,71
2014-12-21,64
2014-12-28,53
2015-01-04,46
2015-01-11,45
2015-01-18,44
2015-01-25,44
2015-02-01,43
2015-02-08,42
2015-02-15,43
2015-02-22,43
2015-03-01,42
2015-03-08,43
2015-03-15,42
2015-03-22,41
2015-03-29,41
2015-04-05,43
2015-04-12,39
2015-04-19,40
2015-04-26,41
2015-05-03,42
2015-05-10,41
2015-05-17,45
2015-05-24,44
2015-05-31,41
2015-06-07,41
2015-06-14,40
2015-06-21,42
2015-06-28,42
2015-07-05,42
2015-07-12,42
2015-07-19,42
2015-07-26,42
2015-08-02,43
2015-08-09,43
2015-08-16,46
2015-08-23,44
2015-08-30,43
2015-09-06,45
2015-09-13,45
2015-09-20,47
2015-09-27,46
2015-10-04,48
2015-10-11,51
2015-10-18,52
2015-10-25,52
2015-11-01,54
2015-11-08,58
2015-11-15,62
2015-11-22,76
2015-11-29,81
2015-12-06,86
2015-12-13,95
2015-12-20,67
2015-12-27,58
