Category: All categories

Week,jersey: (Worldwide)
2012-01-01,65
2012-01-08,60
2012-01-15,59
2012-01-22,59
2012-01-29,55
2012-02-05,58
2012-02-12,56
2012-02-19,57
2012-02-26,56
2012-03-04,56
2012-03-11,58
2012-03-18,61
2012-03-25,54
2012-04-01,58
2012-04-08,53
2012-04-15,53
2012-04-22,57
2012-04-29,56
2012-05-06,55
2012-05-13,55
2012-05-20,55
2012-05-27,56
2012-06-03,58
2012-06-10,58
2012-06-17,53
2012-06-24,55
2012-07-01,56
2012-07-08,56
2012-07-15,56
2012-07-22,54
2012-07-29,54
2012-08-05,53
2012-08-12,55
2012-08-19,54
2012-08-26,58
2012-09-02,53
2012-09-09,52
2012-09-16,50
2012-09-23,52
2012-09-30,61
2012-10-07,55
2012-10-14,53
2012-10-21,52
2012-10-28,100
2012-11-04,61
2012-11-11,50
2012-11-18,47
2012-11-25,49
2012-12-02,49
2012-12-09,51
2012-12-16,51
2012-12-23,48
2012-12-30,48
2013-01-06,46
2013-01-13,45
2013-01-20,46
2013-01-27,44
2013-02-03,45
2013-02-10,43
2013-02-17,42
2013-02-24,42
2013-03-03,43
2013-03-10,43
2013-03-17,44
2013-03-24,44
2013-03-31,45
2013-04-07,44
2013-04-14,43
2013-04-21,45
2013-04-28,45
2013-05-05,46
2013-05-12,45
2013-05-19,48
2013-05-26,46
2013-06-02,50
2013-06-09,48
2013-06-16,47
2013-06-23,50
2013-06-30,50
2013-07-07,50
2013-07-14,50
2013-07-21,50
2013-07-28,51
2013-08-04,51
2013-08-11,48
2013-08-18,48
2013-08-25,48
2013-09-01,48
2013-09-08,52
2013-09-15,47
2013-09-22,46
2013-09-29,46
2013-10-06,47
2013-10-13,46
2013-10-20,45
2013-10-27,44
2013-11-03,47
2013-11-10,44
2013-11-17,45
2013-11-24,44
2013-12-01,47
2013-12-08,48
2013-12-15,47
2013-12-22,45
2013-12-29,46
2014-01-05,46
2014-01-12,45
2014-01-19,47
2014-01-26,47
2014-02-02,48
2014-02-09,44
2014-02-16,44
2014-02-23,44
2014-03-02,48
2014-03-09,44
2014-03-16,42
2014-03-23,44
2014-03-30,46
2014-04-06,46
2014-04-13,47
2014-04-20,47
2014-04-27,46
2014-05-04,46
2014-05-11,47
2014-05-18,47
2014-05-25,49
2014-06-01,54
2014-06-08,60
2014-06-15,66
2014-06-22,63
2014-06-29,59
2014-07-06,62
2014-07-13,64
2014-07-20,57
2014-07-27,53
2014-08-03,53
2014-08-10,50
2014-08-17,50
2014-08-24,50
2014-08-31,47
2014-09-07,49
2014-09-14,48
2014-09-21,47
2014-09-28,49
2014-10-05,49
2014-10-12,47
2014-10-19,47
2014-10-26,47
2014-11-02,47
2014-11-09,45
2014-11-16,45
2014-11-23,45
2014-11-30,48
2014-12-07,47
2014-12-14,47
2014-12-21,46
2014-12-28,45
2015-01-04,44
2015-01-11,45
2015-01-18,46
2015-01-25,47
2015-02-01,45
2015-02-08,43
2015-02-15,44
2015-02-22,42
2015-03-01,43
2015-03-08,43
2015-03-15,43
2015-03-22,43
2015-03-29,43
2015-04-05,46
2015-04-12,44
2015-04-19,44
2015-04-26,45
2015-05-03,43
2015-05-10,45
2015-05-17,45
2015-05-24,46
2015-05-31,48
2015-06-07,48
2015-06-14,48
2015-06-21,48
2015-06-28,50
2015-07-05,51
2015-07-12,50
2015-07-19,51
2015-07-26,51
2015-08-02,52
2015-08-09,51
2015-08-16,48
2015-08-23,47
2015-08-30,47
2015-09-06,46
2015-09-13,49
2015-09-20,48
2015-09-27,48
2015-10-04,46
2015-10-11,48
2015-10-18,45
2015-10-25,45
2015-11-01,46
2015-11-08,44
2015-11-15,43
2015-11-22,46
2015-11-29,47
2015-12-06,47
2015-12-13,49
2015-12-20,47
2015-12-27,46
