Category: All categories

Week,loafers: (Worldwide)
2012-01-01,44
2012-01-08,48
2012-01-15,44
2012-01-22,43
2012-01-29,44
2012-02-05,45
2012-02-12,49
2012-02-19,46
2012-02-26,48
2012-03-04,56
2012-03-11,55
2012-03-18,56
2012-03-25,56
2012-04-01,60
2012-04-08,58
2012-04-15,56
2012-04-22,59
2012-04-29,52
2012-05-06,58
2012-05-13,54
2012-05-20,55
2012-05-27,56
2012-06-03,60
2012-06-10,62
2012-06-17,57
2012-06-24,57
2012-07-01,55
2012-07-08,61
2012-07-15,64
2012-07-22,63
2012-07-29,65
2012-08-05,69
2012-08-12,74
2012-08-19,74
2012-08-26,70
2012-09-02,71
2012-09-09,67
2012-09-16,67
2012-09-23,67
2012-09-30,61
2012-10-07,64
2012-10-14,64
2012-10-21,61
2012-10-28,55
2012-11-04,53
2012-11-11,56
2012-11-18,60
2012-11-25,61
2012-12-02,61
2012-12-09,58
2012-12-16,58
2012-12-23,65
2012-12-30,62
2013-01-06,60
2013-01-13,56
2013-01-20,52
2013-01-27,56
2013-02-03,58
2013-02-10,57
2013-02-17,55
2013-02-24,60
2013-03-03,63
2013-03-10,66
2013-03-17,65
2013-03-24,71
2013-03-31,66
2013-04-07,72
2013-04-14,69
2013-04-21,74
2013-04-28,73
2013-05-05,69
2013-05-12,64
2013-05-19,65
2013-05-26,69
2013-06-02,62
2013-06-09,62
2013-06-16,60
2013-06-23,61
2013-06-30,62
2013-07-07,63
2013-07-14,64
2013-07-21,67
2013-07-28,74
2013-08-04,77
2013-08-11,73
2013-08-18,72
2013-08-25,75
2013-09-01,73
2013-09-08,72
2013-09-15,71
2013-09-22,68
2013-09-29,69
2013-10-06,70
2013-10-13,68
2013-10-20,64
2013-10-27,64
2013-11-03,64
2013-11-10,63
2013-11-17,64
2013-11-24,64
2013-12-01,68
2013-12-08,65
2013-12-15,63
2013-12-22,71
2013-12-29,72
2014-01-05,61
2014-01-12,65
2014-01-19,61
2014-01-26,61
2014-02-02,60
2014-02-09,62
2014-02-16,65
2014-02-23,67
2014-03-02,70
2014-03-09,71
2014-03-16,74
2014-03-23,82
2014-03-30,100
2014-04-06,84
2014-04-13,88
2014-04-20,83
2014-04-27,85
2014-05-04,79
2014-05-11,95
2014-05-18,96
2014-05-25,91
2014-06-01,80
2014-06-08,78
2014-06-15,83
2014-06-22,74
2014-06-29,76
2014-07-06,78
2014-07-13,76
2014-07-20,81
2014-07-27,81
2014-08-03,86
2014-08-10,83
2014-08-17,82
2014-08-24,82
2014-08-31,82
2014-09-07,77
2014-09-14,80
2014-09-21,81
2014-09-28,88
2014-10-05,82
2014-10-12,80
2014-10-19,76
2014-10-26,73
2014-11-02,71
2014-11-09,70
2014-11-16,74
2014-11-23,77
2014-11-30,78
2014-12-07,78
2014-12-14,73
2014-12-21,82
2014-12-28,81
2015-01-04,74
2015-01-11,70
2015-01-18,70
2015-01-25,68
2015-02-01,69
2015-02-08,70
2015-02-15,69
2015-02-22,73
2015-03-01,72
2015-03-08,82
2015-03-15,83
2015-03-22,83
2015-03-29,85
2015-04-05,90
2015-04-12,92
2015-04-19,90
2015-04-26,95
2015-05-03,90
2015-05-10,90
2015-05-17,90
2015-05-24,84
2015-05-31,87
2015-06-07,85
2015-06-14,87
2015-06-21,82
2015-06-28,86
2015-07-05,85
2015-07-12,88
2015-07-19,84
2015-07-26,86
2015-08-02,87
2015-08-09,86
2015-08-16,88
2015-08-23,90
2015-08-30,90
2015-09-06,87
2015-09-13,88
2015-09-20,90
2015-09-27,87
2015-10-04,88
2015-10-11,93
2015-10-18,85
2015-10-25,78
2015-11-01,82
2015-11-08,81
2015-11-15,78
2015-11-22,83
2015-11-29,85
2015-12-06,84
2015-12-13,90
2015-12-20,88
2015-12-27,94
