Category: All categories

Week,long johns: (Worldwide)
2012-01-01,59
2012-01-08,51
2012-01-15,56
2012-01-22,46
2012-01-29,56
2012-02-05,54
2012-02-12,41
2012-02-19,38
2012-02-26,32
2012-03-04,31
2012-03-11,32
2012-03-18,28
2012-03-25,30
2012-04-01,31
2012-04-08,29
2012-04-15,28
2012-04-22,29
2012-04-29,26
2012-05-06,25
2012-05-13,26
2012-05-20,23
2012-05-27,32
2012-06-03,26
2012-06-10,29
2012-06-17,28
2012-06-24,33
2012-07-01,28
2012-07-08,28
2012-07-15,29
2012-07-22,27
2012-07-29,24
2012-08-05,28
2012-08-12,30
2012-08-19,29
2012-08-26,32
2012-09-02,30
2012-09-09,35
2012-09-16,32
2012-09-23,39
2012-09-30,44
2012-10-07,51
2012-10-14,42
2012-10-21,49
2012-10-28,62
2012-11-04,67
2012-11-11,61
2012-11-18,66
2012-11-25,95
2012-12-02,78
2012-12-09,91
2012-12-16,62
2012-12-23,60
2012-12-30,69
2013-01-06,52
2013-01-13,65
2013-01-20,78
2013-01-27,50
2013-02-03,51
2013-02-10,81
2013-02-17,46
2013-02-24,46
2013-03-03,42
2013-03-10,39
2013-03-17,37
2013-03-24,42
2013-03-31,37
2013-04-07,34
2013-04-14,29
2013-04-21,31
2013-04-28,26
2013-05-05,28
2013-05-12,29
2013-05-19,27
2013-05-26,31
2013-06-02,43
2013-06-09,31
2013-06-16,29
2013-06-23,25
2013-06-30,30
2013-07-07,28
2013-07-14,27
2013-07-21,26
2013-07-28,30
2013-08-04,29
2013-08-11,29
2013-08-18,31
2013-08-25,31
2013-09-01,33
2013-09-08,33
2013-09-15,40
2013-09-22,39
2013-09-29,41
2013-10-06,47
2013-10-13,49
2013-10-20,61
2013-10-27,52
2013-11-03,64
2013-11-10,74
2013-11-17,79
2013-11-24,97
2013-12-01,89
2013-12-08,100
2013-12-15,74
2013-12-22,57
2013-12-29,77
2014-01-05,76
2014-01-12,44
2014-01-19,67
2014-01-26,64
2014-02-02,51
2014-02-09,46
2014-02-16,36
2014-02-23,42
2014-03-02,42
2014-03-09,34
2014-03-16,34
2014-03-23,32
2014-03-30,30
2014-04-06,29
2014-04-13,31
2014-04-20,28
2014-04-27,31
2014-05-04,26
2014-05-11,27
2014-05-18,25
2014-05-25,24
2014-06-01,26
2014-06-08,26
2014-06-15,30
2014-06-22,39
2014-06-29,28
2014-07-06,29
2014-07-13,34
2014-07-20,33
2014-07-27,34
2014-08-03,34
2014-08-10,30
2014-08-17,33
2014-08-24,32
2014-08-31,34
2014-09-07,35
2014-09-14,38
2014-09-21,36
2014-09-28,38
2014-10-05,46
2014-10-12,43
2014-10-19,50
2014-10-26,55
2014-11-02,65
2014-11-09,87
2014-11-16,94
2014-11-23,72
2014-11-30,79
2014-12-07,82
2014-12-14,68
2014-12-21,59
2014-12-28,63
2015-01-04,75
2015-01-11,57
2015-01-18,47
2015-01-25,54
2015-02-01,48
2015-02-08,46
2015-02-15,57
2015-02-22,51
2015-03-01,39
2015-03-08,31
2015-03-15,34
2015-03-22,31
2015-03-29,35
2015-04-05,35
2015-04-12,31
2015-04-19,32
2015-04-26,31
2015-05-03,31
2015-05-10,31
2015-05-17,27
2015-05-24,31
2015-05-31,36
2015-06-07,26
2015-06-14,27
2015-06-21,28
2015-06-28,28
2015-07-05,29
2015-07-12,33
2015-07-19,27
2015-07-26,31
2015-08-02,25
2015-08-09,29
2015-08-16,30
2015-08-23,30
2015-08-30,34
2015-09-06,31
2015-09-13,35
2015-09-20,34
2015-09-27,43
2015-10-04,45
2015-10-11,49
2015-10-18,54
2015-10-25,52
2015-11-01,47
2015-11-08,54
2015-11-15,65
2015-11-22,83
2015-11-29,76
2015-12-06,64
2015-12-13,66
2015-12-20,57
2015-12-27,61
