Category: All categories

Week,mittens: (Worldwide)
2012-01-01,47
2012-01-08,42
2012-01-15,45
2012-01-22,37
2012-01-29,37
2012-02-05,33
2012-02-12,27
2012-02-19,22
2012-02-26,20
2012-03-04,19
2012-03-11,15
2012-03-18,19
2012-03-25,14
2012-04-01,14
2012-04-08,15
2012-04-15,15
2012-04-22,13
2012-04-29,14
2012-05-06,13
2012-05-13,13
2012-05-20,12
2012-05-27,12
2012-06-03,13
2012-06-10,14
2012-06-17,13
2012-06-24,12
2012-07-01,12
2012-07-08,13
2012-07-15,14
2012-07-22,16
2012-07-29,16
2012-08-05,16
2012-08-12,15
2012-08-19,16
2012-08-26,21
2012-09-02,19
2012-09-09,21
2012-09-16,28
2012-09-23,27
2012-09-30,33
2012-10-07,37
2012-10-14,43
2012-10-21,42
2012-10-28,44
2012-11-04,61
2012-11-11,52
2012-11-18,49
2012-11-25,65
2012-12-02,65
2012-12-09,71
2012-12-16,57
2012-12-23,52
2012-12-30,52
2013-01-06,43
2013-01-13,44
2013-01-20,48
2013-01-27,32
2013-02-03,32
2013-02-10,29
2013-02-17,29
2013-02-24,24
2013-03-03,22
2013-03-10,21
2013-03-17,22
2013-03-24,19
2013-03-31,18
2013-04-07,20
2013-04-14,18
2013-04-21,16
2013-04-28,15
2013-05-05,15
2013-05-12,14
2013-05-19,13
2013-05-26,14
2013-06-02,16
2013-06-09,16
2013-06-16,15
2013-06-23,16
2013-06-30,16
2013-07-07,15
2013-07-14,15
2013-07-21,15
2013-07-28,15
2013-08-04,17
2013-08-11,19
2013-08-18,18
2013-08-25,17
2013-09-01,19
2013-09-08,25
2013-09-15,25
2013-09-22,32
2013-09-29,31
2013-10-06,32
2013-10-13,33
2013-10-20,42
2013-10-27,43
2013-11-03,51
2013-11-10,60
2013-11-17,64
2013-11-24,73
2013-12-01,80
2013-12-08,100
2013-12-15,82
2013-12-22,59
2013-12-29,66
2014-01-05,70
2014-01-12,44
2014-01-19,54
2014-01-26,51
2014-02-02,51
2014-02-09,50
2014-02-16,36
2014-02-23,30
2014-03-02,29
2014-03-09,22
2014-03-16,26
2014-03-23,20
2014-03-30,17
2014-04-06,16
2014-04-13,16
2014-04-20,15
2014-04-27,16
2014-05-04,15
2014-05-11,14
2014-05-18,15
2014-05-25,14
2014-06-01,13
2014-06-08,13
2014-06-15,13
2014-06-22,13
2014-06-29,13
2014-07-06,15
2014-07-13,15
2014-07-20,15
2014-07-27,16
2014-08-03,17
2014-08-10,17
2014-08-17,20
2014-08-24,18
2014-08-31,19
2014-09-07,32
2014-09-14,26
2014-09-21,25
2014-09-28,27
2014-10-05,33
2014-10-12,32
2014-10-19,35
2014-10-26,37
2014-11-02,49
2014-11-09,65
2014-11-16,78
2014-11-23,68
2014-11-30,78
2014-12-07,77
2014-12-14,66
2014-12-21,50
2014-12-28,55
2015-01-04,77
2015-01-11,57
2015-01-18,43
2015-01-25,39
2015-02-01,39
2015-02-08,35
2015-02-15,39
2015-02-22,33
2015-03-01,27
2015-03-08,20
2015-03-15,17
2015-03-22,18
2015-03-29,16
2015-04-05,17
2015-04-12,16
2015-04-19,15
2015-04-26,15
2015-05-03,14
2015-05-10,15
2015-05-17,14
2015-05-24,15
2015-05-31,15
2015-06-07,20
2015-06-14,19
2015-06-21,16
2015-06-28,14
2015-07-05,15
2015-07-12,17
2015-07-19,16
2015-07-26,17
2015-08-02,17
2015-08-09,17
2015-08-16,16
2015-08-23,18
2015-08-30,18
2015-09-06,20
2015-09-13,23
2015-09-20,25
2015-09-27,28
2015-10-04,29
2015-10-11,32
2015-10-18,37
2015-10-25,36
2015-11-01,36
2015-11-08,43
2015-11-15,49
2015-11-22,61
2015-11-29,71
2015-12-06,66
2015-12-13,60
2015-12-20,51
2015-12-27,51
