Category: All categories

Week,mumu: (Worldwide)
2012-01-01,26
2012-01-08,26
2012-01-15,24
2012-01-22,25
2012-01-29,25
2012-02-05,26
2012-02-12,26
2012-02-19,27
2012-02-26,29
2012-03-04,30
2012-03-11,27
2012-03-18,29
2012-03-25,29
2012-04-01,30
2012-04-08,26
2012-04-15,27
2012-04-22,26
2012-04-29,28
2012-05-06,30
2012-05-13,24
2012-05-20,27
2012-05-27,29
2012-06-03,24
2012-06-10,28
2012-06-17,26
2012-06-24,28
2012-07-01,26
2012-07-08,29
2012-07-15,29
2012-07-22,27
2012-07-29,28
2012-08-05,27
2012-08-12,26
2012-08-19,26
2012-08-26,30
2012-09-02,33
2012-09-09,26
2012-09-16,27
2012-09-23,27
2012-09-30,27
2012-10-07,23
2012-10-14,24
2012-10-21,27
2012-10-28,25
2012-11-04,25
2012-11-11,27
2012-11-18,26
2012-11-25,27
2012-12-02,28
2012-12-09,28
2012-12-16,29
2012-12-23,29
2012-12-30,27
2013-01-06,27
2013-01-13,26
2013-01-20,28
2013-01-27,28
2013-02-03,27
2013-02-10,26
2013-02-17,28
2013-02-24,34
2013-03-03,27
2013-03-10,29
2013-03-17,26
2013-03-24,29
2013-03-31,28
2013-04-07,28
2013-04-14,35
2013-04-21,30
2013-04-28,28
2013-05-05,43
2013-05-12,32
2013-05-19,29
2013-05-26,31
2013-06-02,27
2013-06-09,27
2013-06-16,30
2013-06-23,28
2013-06-30,28
2013-07-07,28
2013-07-14,30
2013-07-21,27
2013-07-28,33
2013-08-04,31
2013-08-11,32
2013-08-18,28
2013-08-25,30
2013-09-01,28
2013-09-08,27
2013-09-15,30
2013-09-22,26
2013-09-29,29
2013-10-06,27
2013-10-13,28
2013-10-20,31
2013-10-27,29
2013-11-03,31
2013-11-10,28
2013-11-17,29
2013-11-24,30
2013-12-01,26
2013-12-08,28
2013-12-15,29
2013-12-22,30
2013-12-29,30
2014-01-05,30
2014-01-12,25
2014-01-19,29
2014-01-26,29
2014-02-02,29
2014-02-09,26
2014-02-16,37
2014-02-23,31
2014-03-02,27
2014-03-09,28
2014-03-16,30
2014-03-23,26
2014-03-30,30
2014-04-06,29
2014-04-13,30
2014-04-20,30
2014-04-27,31
2014-05-04,32
2014-05-11,33
2014-05-18,28
2014-05-25,30
2014-06-01,28
2014-06-08,31
2014-06-15,30
2014-06-22,30
2014-06-29,25
2014-07-06,38
2014-07-13,33
2014-07-20,33
2014-07-27,32
2014-08-03,32
2014-08-10,31
2014-08-17,27
2014-08-24,29
2014-08-31,29
2014-09-07,30
2014-09-14,31
2014-09-21,29
2014-09-28,28
2014-10-05,28
2014-10-12,29
2014-10-19,26
2014-10-26,28
2014-11-02,27
2014-11-09,30
2014-11-16,28
2014-11-23,27
2014-11-30,32
2014-12-07,31
2014-12-14,28
2014-12-21,30
2014-12-28,31
2015-01-04,31
2015-01-11,29
2015-01-18,29
2015-01-25,30
2015-02-01,33
2015-02-08,31
2015-02-15,32
2015-02-22,30
2015-03-01,31
2015-03-08,30
2015-03-15,35
2015-03-22,36
2015-03-29,34
2015-04-05,37
2015-04-12,38
2015-04-19,43
2015-04-26,72
2015-05-03,74
2015-05-10,91
2015-05-17,100
2015-05-24,92
2015-05-31,94
2015-06-07,85
2015-06-14,85
2015-06-21,70
2015-06-28,56
2015-07-05,53
2015-07-12,46
2015-07-19,47
2015-07-26,46
2015-08-02,42
2015-08-09,42
2015-08-16,38
2015-08-23,36
2015-08-30,34
2015-09-06,33
2015-09-13,32
2015-09-20,32
2015-09-27,34
2015-10-04,34
2015-10-11,33
2015-10-18,34
2015-10-25,34
2015-11-01,40
2015-11-08,35
2015-11-15,33
2015-11-22,39
2015-11-29,39
2015-12-06,39
2015-12-13,35
2015-12-20,41
2015-12-27,40
