Category: All categories

Week,necklace: (Worldwide)
2012-01-01,48
2012-01-08,46
2012-01-15,47
2012-01-22,49
2012-01-29,49
2012-02-05,55
2012-02-12,54
2012-02-19,47
2012-02-26,47
2012-03-04,47
2012-03-11,46
2012-03-18,44
2012-03-25,45
2012-04-01,47
2012-04-08,47
2012-04-15,50
2012-04-22,54
2012-04-29,59
2012-05-06,63
2012-05-13,59
2012-05-20,56
2012-05-27,55
2012-06-03,55
2012-06-10,54
2012-06-17,53
2012-06-24,55
2012-07-01,53
2012-07-08,56
2012-07-15,58
2012-07-22,58
2012-07-29,56
2012-08-05,58
2012-08-12,57
2012-08-19,57
2012-08-26,55
2012-09-02,56
2012-09-09,56
2012-09-16,58
2012-09-23,55
2012-09-30,54
2012-10-07,54
2012-10-14,54
2012-10-21,54
2012-10-28,51
2012-11-04,54
2012-11-11,61
2012-11-18,69
2012-11-25,79
2012-12-02,82
2012-12-09,87
2012-12-16,81
2012-12-23,73
2012-12-30,56
2013-01-06,53
2013-01-13,53
2013-01-20,54
2013-01-27,57
2013-02-03,60
2013-02-10,63
2013-02-17,54
2013-02-24,55
2013-03-03,53
2013-03-10,52
2013-03-17,52
2013-03-24,52
2013-03-31,52
2013-04-07,52
2013-04-14,53
2013-04-21,55
2013-04-28,58
2013-05-05,60
2013-05-12,53
2013-05-19,51
2013-05-26,49
2013-06-02,52
2013-06-09,51
2013-06-16,50
2013-06-23,50
2013-06-30,51
2013-07-07,53
2013-07-14,53
2013-07-21,55
2013-07-28,56
2013-08-04,57
2013-08-11,57
2013-08-18,54
2013-08-25,53
2013-09-01,53
2013-09-08,52
2013-09-15,52
2013-09-22,51
2013-09-29,52
2013-10-06,53
2013-10-13,52
2013-10-20,53
2013-10-27,52
2013-11-03,55
2013-11-10,62
2013-11-17,65
2013-11-24,75
2013-12-01,88
2013-12-08,91
2013-12-15,88
2013-12-22,80
2013-12-29,61
2014-01-05,56
2014-01-12,56
2014-01-19,57
2014-01-26,59
2014-02-02,61
2014-02-09,66
2014-02-16,56
2014-02-23,55
2014-03-02,55
2014-03-09,54
2014-03-16,52
2014-03-23,54
2014-03-30,54
2014-04-06,55
2014-04-13,58
2014-04-20,59
2014-04-27,64
2014-05-04,66
2014-05-11,57
2014-05-18,53
2014-05-25,53
2014-06-01,53
2014-06-08,53
2014-06-15,52
2014-06-22,54
2014-06-29,52
2014-07-06,56
2014-07-13,57
2014-07-20,58
2014-07-27,59
2014-08-03,59
2014-08-10,57
2014-08-17,57
2014-08-24,55
2014-08-31,56
2014-09-07,55
2014-09-14,56
2014-09-21,59
2014-09-28,57
2014-10-05,55
2014-10-12,57
2014-10-19,56
2014-10-26,56
2014-11-02,59
2014-11-09,65
2014-11-16,70
2014-11-23,78
2014-11-30,91
2014-12-07,95
2014-12-14,94
2014-12-21,86
2014-12-28,66
2015-01-04,58
2015-01-11,57
2015-01-18,58
2015-01-25,59
2015-02-01,62
2015-02-08,66
2015-02-15,59
2015-02-22,57
2015-03-01,56
2015-03-08,55
2015-03-15,54
2015-03-22,53
2015-03-29,53
2015-04-05,53
2015-04-12,54
2015-04-19,56
2015-04-26,60
2015-05-03,62
2015-05-10,60
2015-05-17,54
2015-05-24,55
2015-05-31,54
2015-06-07,54
2015-06-14,54
2015-06-21,53
2015-06-28,54
2015-07-05,55
2015-07-12,57
2015-07-19,58
2015-07-26,57
2015-08-02,58
2015-08-09,58
2015-08-16,57
2015-08-23,55
2015-08-30,54
2015-09-06,56
2015-09-13,56
2015-09-20,57
2015-09-27,56
2015-10-04,55
2015-10-11,58
2015-10-18,58
2015-10-25,57
2015-11-01,60
2015-11-08,65
2015-11-15,70
2015-11-22,81
2015-11-29,92
2015-12-06,97
2015-12-13,100
2015-12-20,96
2015-12-27,73
