Category: All categories

Week,overalls: (Worldwide)
2012-01-01,29
2012-01-08,30
2012-01-15,30
2012-01-22,29
2012-01-29,30
2012-02-05,30
2012-02-12,26
2012-02-19,29
2012-02-26,34
2012-03-04,35
2012-03-11,32
2012-03-18,32
2012-03-25,34
2012-04-01,30
2012-04-08,32
2012-04-15,30
2012-04-22,32
2012-04-29,29
2012-05-06,28
2012-05-13,31
2012-05-20,29
2012-05-27,25
2012-06-03,26
2012-06-10,28
2012-06-17,24
2012-06-24,26
2012-07-01,25
2012-07-08,29
2012-07-15,26
2012-07-22,28
2012-07-29,27
2012-08-05,30
2012-08-12,33
2012-08-19,32
2012-08-26,36
2012-09-02,36
2012-09-09,37
2012-09-16,41
2012-09-23,42
2012-09-30,43
2012-10-07,42
2012-10-14,45
2012-10-21,60
2012-10-28,45
2012-11-04,35
2012-11-11,35
2012-11-18,38
2012-11-25,61
2012-12-02,46
2012-12-09,41
2012-12-16,37
2012-12-23,32
2012-12-30,32
2013-01-06,35
2013-01-13,32
2013-01-20,36
2013-01-27,33
2013-02-03,34
2013-02-10,31
2013-02-17,41
2013-02-24,34
2013-03-03,36
2013-03-10,35
2013-03-17,34
2013-03-24,34
2013-03-31,33
2013-04-07,36
2013-04-14,40
2013-04-21,36
2013-04-28,36
2013-05-05,37
2013-05-12,35
2013-05-19,34
2013-05-26,35
2013-06-02,36
2013-06-09,35
2013-06-16,35
2013-06-23,39
2013-06-30,34
2013-07-07,39
2013-07-14,36
2013-07-21,40
2013-07-28,43
2013-08-04,45
2013-08-11,41
2013-08-18,44
2013-08-25,45
2013-09-01,49
2013-09-08,53
2013-09-15,51
2013-09-22,55
2013-09-29,60
2013-10-06,66
2013-10-13,77
2013-10-20,92
2013-10-27,82
2013-11-03,43
2013-11-10,46
2013-11-17,46
2013-11-24,51
2013-12-01,52
2013-12-08,55
2013-12-15,49
2013-12-22,41
2013-12-29,44
2014-01-05,44
2014-01-12,41
2014-01-19,45
2014-01-26,44
2014-02-02,45
2014-02-09,44
2014-02-16,46
2014-02-23,50
2014-03-02,49
2014-03-09,47
2014-03-16,52
2014-03-23,50
2014-03-30,46
2014-04-06,49
2014-04-13,55
2014-04-20,49
2014-04-27,48
2014-05-04,49
2014-05-11,51
2014-05-18,48
2014-05-25,45
2014-06-01,48
2014-06-08,44
2014-06-15,45
2014-06-22,45
2014-06-29,42
2014-07-06,43
2014-07-13,45
2014-07-20,47
2014-07-27,47
2014-08-03,50
2014-08-10,49
2014-08-17,48
2014-08-24,47
2014-08-31,52
2014-09-07,49
2014-09-14,55
2014-09-21,51
2014-09-28,58
2014-10-05,62
2014-10-12,61
2014-10-19,71
2014-10-26,84
2014-11-02,47
2014-11-09,56
2014-11-16,57
2014-11-23,49
2014-11-30,55
2014-12-07,56
2014-12-14,47
2014-12-21,39
2014-12-28,44
2015-01-04,46
2015-01-11,45
2015-01-18,41
2015-01-25,43
2015-02-01,43
2015-02-08,43
2015-02-15,51
2015-02-22,48
2015-03-01,46
2015-03-08,45
2015-03-15,45
2015-03-22,43
2015-03-29,44
2015-04-05,44
2015-04-12,45
2015-04-19,44
2015-04-26,45
2015-05-03,41
2015-05-10,40
2015-05-17,43
2015-05-24,45
2015-05-31,44
2015-06-07,42
2015-06-14,43
2015-06-21,44
2015-06-28,47
2015-07-05,45
2015-07-12,44
2015-07-19,49
2015-07-26,45
2015-08-02,45
2015-08-09,49
2015-08-16,48
2015-08-23,52
2015-08-30,59
2015-09-06,62
2015-09-13,56
2015-09-20,60
2015-09-27,63
2015-10-04,64
2015-10-11,67
2015-10-18,77
2015-10-25,100
2015-11-01,48
2015-11-08,47
2015-11-15,50
2015-11-22,52
2015-11-29,54
2015-12-06,51
2015-12-13,49
2015-12-20,45
2015-12-27,47
