Category: All categories

Week,Mitre: (Worldwide)
2012-01-01,51
2012-01-08,48
2012-01-15,46
2012-01-22,49
2012-01-29,48
2012-02-05,57
2012-02-12,51
2012-02-19,49
2012-02-26,58
2012-03-04,56
2012-03-11,56
2012-03-18,52
2012-03-25,53
2012-04-01,52
2012-04-08,58
2012-04-15,61
2012-04-22,64
2012-04-29,54
2012-05-06,61
2012-05-13,59
2012-05-20,60
2012-05-27,61
2012-06-03,63
2012-06-10,63
2012-06-17,63
2012-06-24,69
2012-07-01,60
2012-07-08,59
2012-07-15,56
2012-07-22,59
2012-07-29,58
2012-08-05,65
2012-08-12,64
2012-08-19,58
2012-08-26,63
2012-09-02,61
2012-09-09,59
2012-09-16,60
2012-09-23,62
2012-09-30,65
2012-10-07,62
2012-10-14,59
2012-10-21,63
2012-10-28,62
2012-11-04,62
2012-11-11,58
2012-11-18,61
2012-11-25,55
2012-12-02,61
2012-12-09,62
2012-12-16,59
2012-12-23,57
2012-12-30,55
2013-01-06,59
2013-01-13,53
2013-01-20,52
2013-01-27,49
2013-02-03,60
2013-02-10,52
2013-02-17,65
2013-02-24,63
2013-03-03,64
2013-03-10,68
2013-03-17,65
2013-03-24,64
2013-03-31,64
2013-04-07,70
2013-04-14,88
2013-04-21,77
2013-04-28,70
2013-05-05,76
2013-05-12,75
2013-05-19,76
2013-05-26,85
2013-06-02,77
2013-06-09,80
2013-06-16,69
2013-06-23,73
2013-06-30,75
2013-07-07,72
2013-07-14,72
2013-07-21,68
2013-07-28,69
2013-08-04,78
2013-08-11,80
2013-08-18,85
2013-08-25,82
2013-09-01,82
2013-09-08,73
2013-09-15,72
2013-09-22,68
2013-09-29,72
2013-10-06,73
2013-10-13,67
2013-10-20,73
2013-10-27,78
2013-11-03,69
2013-11-10,68
2013-11-17,72
2013-11-24,68
2013-12-01,69
2013-12-08,68
2013-12-15,69
2013-12-22,61
2013-12-29,62
2014-01-05,62
2014-01-12,57
2014-01-19,67
2014-01-26,70
2014-02-02,76
2014-02-09,65
2014-02-16,68
2014-02-23,65
2014-03-02,63
2014-03-09,70
2014-03-16,70
2014-03-23,68
2014-03-30,69
2014-04-06,72
2014-04-13,69
2014-04-20,76
2014-04-27,63
2014-05-04,71
2014-05-11,69
2014-05-18,72
2014-05-25,71
2014-06-01,73
2014-06-08,78
2014-06-15,71
2014-06-22,71
2014-06-29,76
2014-07-06,67
2014-07-13,70
2014-07-20,71
2014-07-27,74
2014-08-03,72
2014-08-10,71
2014-08-17,71
2014-08-24,75
2014-08-31,79
2014-09-07,72
2014-09-14,79
2014-09-21,74
2014-09-28,80
2014-10-05,80
2014-10-12,73
2014-10-19,72
2014-10-26,75
2014-11-02,72
2014-11-09,71
2014-11-16,75
2014-11-23,73
2014-11-30,74
2014-12-07,77
2014-12-14,73
2014-12-21,68
2014-12-28,71
2015-01-04,68
2015-01-11,70
2015-01-18,100
2015-01-25,80
2015-02-01,78
2015-02-08,74
2015-02-15,73
2015-02-22,73
2015-03-01,76
2015-03-08,73
2015-03-15,72
2015-03-22,67
2015-03-29,70
2015-04-05,73
2015-04-12,75
2015-04-19,74
2015-04-26,74
2015-05-03,73
2015-05-10,74
2015-05-17,72
2015-05-24,70
2015-05-31,71
2015-06-07,71
2015-06-14,74
2015-06-21,71
2015-06-28,74
2015-07-05,66
2015-07-12,72
2015-07-19,72
2015-07-26,70
2015-08-02,78
2015-08-09,81
2015-08-16,69
2015-08-23,71
2015-08-30,70
2015-09-06,69
2015-09-13,72
2015-09-20,72
2015-09-27,71
2015-10-04,73
2015-10-11,67
2015-10-18,72
2015-10-25,94
2015-11-01,78
2015-11-08,81
2015-11-15,83
2015-11-22,92
2015-11-29,83
2015-12-06,83
2015-12-13,85
2015-12-20,76
2015-12-27,75
