Category: All categories

Week,overcoat: (Worldwide)
2012-01-01,47
2012-01-08,40
2012-01-15,43
2012-01-22,40
2012-01-29,38
2012-02-05,39
2012-02-12,31
2012-02-19,32
2012-02-26,34
2012-03-04,33
2012-03-11,26
2012-03-18,24
2012-03-25,20
2012-04-01,18
2012-04-08,23
2012-04-15,18
2012-04-22,24
2012-04-29,21
2012-05-06,25
2012-05-13,21
2012-05-20,18
2012-05-27,16
2012-06-03,19
2012-06-10,16
2012-06-17,18
2012-06-24,17
2012-07-01,21
2012-07-08,20
2012-07-15,24
2012-07-22,34
2012-07-29,21
2012-08-05,23
2012-08-12,20
2012-08-19,26
2012-08-26,26
2012-09-02,29
2012-09-09,31
2012-09-16,34
2012-09-23,40
2012-09-30,39
2012-10-07,41
2012-10-14,43
2012-10-21,50
2012-10-28,57
2012-11-04,44
2012-11-11,50
2012-11-18,58
2012-11-25,68
2012-12-02,68
2012-12-09,66
2012-12-16,49
2012-12-23,58
2012-12-30,50
2013-01-06,43
2013-01-13,55
2013-01-20,43
2013-01-27,35
2013-02-03,34
2013-02-10,35
2013-02-17,34
2013-02-24,30
2013-03-03,33
2013-03-10,25
2013-03-17,25
2013-03-24,31
2013-03-31,31
2013-04-07,22
2013-04-14,21
2013-04-21,23
2013-04-28,21
2013-05-05,19
2013-05-12,17
2013-05-19,18
2013-05-26,22
2013-06-02,23
2013-06-09,25
2013-06-16,17
2013-06-23,24
2013-06-30,20
2013-07-07,18
2013-07-14,20
2013-07-21,21
2013-07-28,23
2013-08-04,24
2013-08-11,20
2013-08-18,24
2013-08-25,27
2013-09-01,29
2013-09-08,37
2013-09-15,47
2013-09-22,42
2013-09-29,41
2013-10-06,45
2013-10-13,48
2013-10-20,56
2013-10-27,52
2013-11-03,61
2013-11-10,75
2013-11-17,62
2013-11-24,78
2013-12-01,90
2013-12-08,75
2013-12-15,66
2013-12-22,77
2013-12-29,68
2014-01-05,62
2014-01-12,56
2014-01-19,52
2014-01-26,52
2014-02-02,42
2014-02-09,45
2014-02-16,43
2014-02-23,36
2014-03-02,36
2014-03-09,30
2014-03-16,28
2014-03-23,29
2014-03-30,31
2014-04-06,23
2014-04-13,26
2014-04-20,22
2014-04-27,24
2014-05-04,23
2014-05-11,25
2014-05-18,22
2014-05-25,21
2014-06-01,21
2014-06-08,22
2014-06-15,16
2014-06-22,19
2014-06-29,22
2014-07-06,29
2014-07-13,22
2014-07-20,21
2014-07-27,19
2014-08-03,25
2014-08-10,27
2014-08-17,24
2014-08-24,34
2014-08-31,28
2014-09-07,37
2014-09-14,41
2014-09-21,44
2014-09-28,40
2014-10-05,56
2014-10-12,48
2014-10-19,53
2014-10-26,59
2014-11-02,65
2014-11-09,70
2014-11-16,83
2014-11-23,85
2014-11-30,83
2014-12-07,86
2014-12-14,77
2014-12-21,73
2014-12-28,76
2015-01-04,71
2015-01-11,59
2015-01-18,67
2015-01-25,51
2015-02-01,46
2015-02-08,43
2015-02-15,42
2015-02-22,43
2015-03-01,42
2015-03-08,31
2015-03-15,36
2015-03-22,31
2015-03-29,28
2015-04-05,30
2015-04-12,28
2015-04-19,25
2015-04-26,27
2015-05-03,28
2015-05-10,23
2015-05-17,21
2015-05-24,23
2015-05-31,21
2015-06-07,21
2015-06-14,23
2015-06-21,25
2015-06-28,22
2015-07-05,23
2015-07-12,23
2015-07-19,23
2015-07-26,24
2015-08-02,26
2015-08-09,32
2015-08-16,30
2015-08-23,30
2015-08-30,38
2015-09-06,35
2015-09-13,44
2015-09-20,47
2015-09-27,48
2015-10-04,65
2015-10-11,63
2015-10-18,71
2015-10-25,71
2015-11-01,68
2015-11-08,81
2015-11-15,71
2015-11-22,100
2015-11-29,96
2015-12-06,79
2015-12-13,81
2015-12-20,81
2015-12-27,82
