Category: All categories

Week,pajamas: (Worldwide)
2012-01-01,31
2012-01-08,26
2012-01-15,28
2012-01-22,25
2012-01-29,25
2012-02-05,28
2012-02-12,25
2012-02-19,23
2012-02-26,24
2012-03-04,24
2012-03-11,22
2012-03-18,23
2012-03-25,22
2012-04-01,21
2012-04-08,20
2012-04-15,20
2012-04-22,24
2012-04-29,24
2012-05-06,22
2012-05-13,20
2012-05-20,20
2012-05-27,20
2012-06-03,20
2012-06-10,19
2012-06-17,18
2012-06-24,18
2012-07-01,17
2012-07-08,19
2012-07-15,19
2012-07-22,19
2012-07-29,23
2012-08-05,22
2012-08-12,25
2012-08-19,23
2012-08-26,23
2012-09-02,23
2012-09-09,24
2012-09-16,31
2012-09-23,32
2012-09-30,32
2012-10-07,37
2012-10-14,36
2012-10-21,39
2012-10-28,40
2012-11-04,44
2012-11-11,52
2012-11-18,62
2012-11-25,77
2012-12-02,80
2012-12-09,84
2012-12-16,69
2012-12-23,48
2012-12-30,36
2013-01-06,28
2013-01-13,29
2013-01-20,29
2013-01-27,28
2013-02-03,28
2013-02-10,29
2013-02-17,28
2013-02-24,29
2013-03-03,29
2013-03-10,25
2013-03-17,25
2013-03-24,25
2013-03-31,24
2013-04-07,25
2013-04-14,25
2013-04-21,24
2013-04-28,26
2013-05-05,26
2013-05-12,23
2013-05-19,24
2013-05-26,23
2013-06-02,22
2013-06-09,20
2013-06-16,19
2013-06-23,20
2013-06-30,19
2013-07-07,22
2013-07-14,21
2013-07-21,20
2013-07-28,21
2013-08-04,21
2013-08-11,22
2013-08-18,21
2013-08-25,22
2013-09-01,24
2013-09-08,26
2013-09-15,28
2013-09-22,31
2013-09-29,33
2013-10-06,35
2013-10-13,37
2013-10-20,42
2013-10-27,42
2013-11-03,49
2013-11-10,57
2013-11-17,61
2013-11-24,74
2013-12-01,91
2013-12-08,99
2013-12-15,89
2013-12-22,56
2013-12-29,36
2014-01-05,33
2014-01-12,27
2014-01-19,29
2014-01-26,30
2014-02-02,29
2014-02-09,29
2014-02-16,26
2014-02-23,26
2014-03-02,28
2014-03-09,25
2014-03-16,25
2014-03-23,25
2014-03-30,26
2014-04-06,32
2014-04-13,26
2014-04-20,23
2014-04-27,27
2014-05-04,26
2014-05-11,23
2014-05-18,24
2014-05-25,23
2014-06-01,21
2014-06-08,21
2014-06-15,20
2014-06-22,19
2014-06-29,18
2014-07-06,20
2014-07-13,22
2014-07-20,20
2014-07-27,21
2014-08-03,21
2014-08-10,21
2014-08-17,22
2014-08-24,23
2014-08-31,24
2014-09-07,25
2014-09-14,29
2014-09-21,29
2014-09-28,32
2014-10-05,34
2014-10-12,37
2014-10-19,39
2014-10-26,42
2014-11-02,52
2014-11-09,58
2014-11-16,68
2014-11-23,75
2014-11-30,93
2014-12-07,96
2014-12-14,90
2014-12-21,61
2014-12-28,38
2015-01-04,32
2015-01-11,28
2015-01-18,26
2015-01-25,28
2015-02-01,28
2015-02-08,27
2015-02-15,26
2015-02-22,26
2015-03-01,27
2015-03-08,26
2015-03-15,24
2015-03-22,24
2015-03-29,23
2015-04-05,24
2015-04-12,26
2015-04-19,24
2015-04-26,24
2015-05-03,26
2015-05-10,26
2015-05-17,26
2015-05-24,23
2015-05-31,26
2015-06-07,23
2015-06-14,20
2015-06-21,21
2015-06-28,19
2015-07-05,20
2015-07-12,20
2015-07-19,23
2015-07-26,21
2015-08-02,23
2015-08-09,21
2015-08-16,22
2015-08-23,23
2015-08-30,25
2015-09-06,26
2015-09-13,28
2015-09-20,29
2015-09-27,36
2015-10-04,37
2015-10-11,38
2015-10-18,43
2015-10-25,47
2015-11-01,52
2015-11-08,63
2015-11-15,70
2015-11-22,84
2015-11-29,98
2015-12-06,99
2015-12-13,100
2015-12-20,72
2015-12-27,45
