Category: All categories

Week,parka: (Worldwide)
2012-01-01,30
2012-01-08,29
2012-01-15,29
2012-01-22,25
2012-01-29,30
2012-02-05,28
2012-02-12,20
2012-02-19,16
2012-02-26,14
2012-03-04,13
2012-03-11,12
2012-03-18,11
2012-03-25,9
2012-04-01,10
2012-04-08,10
2012-04-15,10
2012-04-22,11
2012-04-29,9
2012-05-06,10
2012-05-13,9
2012-05-20,7
2012-05-27,7
2012-06-03,8
2012-06-10,9
2012-06-17,8
2012-06-24,9
2012-07-01,9
2012-07-08,10
2012-07-15,11
2012-07-22,9
2012-07-29,10
2012-08-05,12
2012-08-12,12
2012-08-19,14
2012-08-26,18
2012-09-02,19
2012-09-09,24
2012-09-16,29
2012-09-23,36
2012-09-30,34
2012-10-07,38
2012-10-14,37
2012-10-21,39
2012-10-28,49
2012-11-04,47
2012-11-11,43
2012-11-18,44
2012-11-25,51
2012-12-02,56
2012-12-09,54
2012-12-16,41
2012-12-23,42
2012-12-30,37
2013-01-06,38
2013-01-13,42
2013-01-20,42
2013-01-27,30
2013-02-03,27
2013-02-10,26
2013-02-17,23
2013-02-24,22
2013-03-03,21
2013-03-10,20
2013-03-17,20
2013-03-24,20
2013-03-31,18
2013-04-07,18
2013-04-14,14
2013-04-21,13
2013-04-28,12
2013-05-05,10
2013-05-12,11
2013-05-19,12
2013-05-26,13
2013-06-02,10
2013-06-09,9
2013-06-16,10
2013-06-23,11
2013-06-30,11
2013-07-07,9
2013-07-14,9
2013-07-21,10
2013-07-28,12
2013-08-04,15
2013-08-11,17
2013-08-18,19
2013-08-25,22
2013-09-01,26
2013-09-08,40
2013-09-15,48
2013-09-22,41
2013-09-29,47
2013-10-06,52
2013-10-13,58
2013-10-20,52
2013-10-27,52
2013-11-03,60
2013-11-10,71
2013-11-17,75
2013-11-24,86
2013-12-01,76
2013-12-08,71
2013-12-15,58
2013-12-22,57
2013-12-29,57
2014-01-05,57
2014-01-12,46
2014-01-19,47
2014-01-26,47
2014-02-02,39
2014-02-09,35
2014-02-16,28
2014-02-23,25
2014-03-02,23
2014-03-09,19
2014-03-16,18
2014-03-23,18
2014-03-30,16
2014-04-06,15
2014-04-13,14
2014-04-20,13
2014-04-27,14
2014-05-04,13
2014-05-11,12
2014-05-18,11
2014-05-25,11
2014-06-01,11
2014-06-08,10
2014-06-15,10
2014-06-22,11
2014-06-29,12
2014-07-06,13
2014-07-13,12
2014-07-20,13
2014-07-27,14
2014-08-03,16
2014-08-10,21
2014-08-17,28
2014-08-24,31
2014-08-31,29
2014-09-07,30
2014-09-14,31
2014-09-21,39
2014-09-28,38
2014-10-05,53
2014-10-12,49
2014-10-19,55
2014-10-26,57
2014-11-02,66
2014-11-09,72
2014-11-16,76
2014-11-23,78
2014-11-30,82
2014-12-07,76
2014-12-14,61
2014-12-21,59
2014-12-28,69
2015-01-04,66
2015-01-11,56
2015-01-18,48
2015-01-25,47
2015-02-01,44
2015-02-08,37
2015-02-15,37
2015-02-22,32
2015-03-01,28
2015-03-08,23
2015-03-15,21
2015-03-22,21
2015-03-29,19
2015-04-05,18
2015-04-12,14
2015-04-19,14
2015-04-26,15
2015-05-03,14
2015-05-10,13
2015-05-17,14
2015-05-24,13
2015-05-31,13
2015-06-07,11
2015-06-14,12
2015-06-21,13
2015-06-28,11
2015-07-05,13
2015-07-12,14
2015-07-19,14
2015-07-26,17
2015-08-02,16
2015-08-09,18
2015-08-16,22
2015-08-23,26
2015-08-30,29
2015-09-06,38
2015-09-13,40
2015-09-20,43
2015-09-27,47
2015-10-04,53
2015-10-11,73
2015-10-18,71
2015-10-25,62
2015-11-01,60
2015-11-08,56
2015-11-15,66
2015-11-22,100
2015-11-29,83
2015-12-06,68
2015-12-13,62
2015-12-20,56
2015-12-27,61
