Category: All categories

Week,peplum: (Worldwide)
2012-01-01,8
2012-01-08,8
2012-01-15,7
2012-01-22,9
2012-01-29,11
2012-02-05,11
2012-02-12,11
2012-02-19,12
2012-02-26,22
2012-03-04,16
2012-03-11,16
2012-03-18,19
2012-03-25,16
2012-04-01,17
2012-04-08,19
2012-04-15,20
2012-04-22,23
2012-04-29,25
2012-05-06,23
2012-05-13,24
2012-05-20,22
2012-05-27,24
2012-06-03,25
2012-06-10,28
2012-06-17,28
2012-06-24,28
2012-07-01,31
2012-07-08,31
2012-07-15,36
2012-07-22,35
2012-07-29,38
2012-08-05,42
2012-08-12,46
2012-08-19,49
2012-08-26,49
2012-09-02,55
2012-09-09,60
2012-09-16,59
2012-09-23,61
2012-09-30,61
2012-10-07,62
2012-10-14,61
2012-10-21,62
2012-10-28,58
2012-11-04,62
2012-11-11,65
2012-11-18,67
2012-11-25,72
2012-12-02,74
2012-12-09,74
2012-12-16,72
2012-12-23,73
2012-12-30,73
2013-01-06,68
2013-01-13,65
2013-01-20,64
2013-01-27,66
2013-02-03,67
2013-02-10,65
2013-02-17,66
2013-02-24,72
2013-03-03,68
2013-03-10,70
2013-03-17,72
2013-03-24,72
2013-03-31,71
2013-04-07,70
2013-04-14,67
2013-04-21,71
2013-04-28,70
2013-05-05,70
2013-05-12,66
2013-05-19,63
2013-05-26,60
2013-06-02,59
2013-06-09,59
2013-06-16,60
2013-06-23,61
2013-06-30,60
2013-07-07,62
2013-07-14,62
2013-07-21,63
2013-07-28,60
2013-08-04,55
2013-08-11,54
2013-08-18,55
2013-08-25,51
2013-09-01,51
2013-09-08,54
2013-09-15,51
2013-09-22,50
2013-09-29,50
2013-10-06,50
2013-10-13,50
2013-10-20,46
2013-10-27,44
2013-11-03,47
2013-11-10,55
2013-11-17,52
2013-11-24,52
2013-12-01,55
2013-12-08,54
2013-12-15,49
2013-12-22,47
2013-12-29,48
2014-01-05,42
2014-01-12,44
2014-01-19,47
2014-01-26,45
2014-02-02,44
2014-02-09,44
2014-02-16,47
2014-02-23,46
2014-03-02,50
2014-03-09,46
2014-03-16,49
2014-03-23,50
2014-03-30,49
2014-04-06,47
2014-04-13,47
2014-04-20,47
2014-04-27,49
2014-05-04,47
2014-05-11,44
2014-05-18,44
2014-05-25,42
2014-06-01,44
2014-06-08,41
2014-06-15,40
2014-06-22,42
2014-06-29,41
2014-07-06,42
2014-07-13,41
2014-07-20,38
2014-07-27,40
2014-08-03,39
2014-08-10,41
2014-08-17,41
2014-08-24,39
2014-08-31,39
2014-09-07,38
2014-09-14,39
2014-09-21,40
2014-09-28,39
2014-10-05,38
2014-10-12,39
2014-10-19,39
2014-10-26,37
2014-11-02,40
2014-11-09,38
2014-11-16,43
2014-11-23,39
2014-11-30,43
2014-12-07,42
2014-12-14,38
2014-12-21,36
2014-12-28,39
2015-01-04,30
2015-01-11,33
2015-01-18,34
2015-01-25,37
2015-02-01,35
2015-02-08,36
2015-02-15,43
2015-02-22,100
2015-03-01,73
2015-03-08,66
2015-03-15,44
2015-03-22,40
2015-03-29,38
2015-04-05,37
2015-04-12,35
2015-04-19,37
2015-04-26,36
2015-05-03,36
2015-05-10,36
2015-05-17,34
2015-05-24,33
2015-05-31,35
2015-06-07,32
2015-06-14,31
2015-06-21,31
2015-06-28,31
2015-07-05,31
2015-07-12,30
2015-07-19,32
2015-07-26,32
2015-08-02,32
2015-08-09,31
2015-08-16,31
2015-08-23,31
2015-08-30,28
2015-09-06,30
2015-09-13,31
2015-09-20,31
2015-09-27,31
2015-10-04,30
2015-10-11,29
2015-10-18,30
2015-10-25,29
2015-11-01,29
2015-11-08,29
2015-11-15,31
2015-11-22,32
2015-11-29,32
2015-12-06,33
2015-12-13,29
2015-12-20,28
2015-12-27,30
