Category: All categories

Week,pinafore: (Worldwide)
2012-01-01,27
2012-01-08,24
2012-01-15,25
2012-01-22,27
2012-01-29,24
2012-02-05,23
2012-02-12,21
2012-02-19,27
2012-02-26,29
2012-03-04,26
2012-03-11,22
2012-03-18,24
2012-03-25,29
2012-04-01,20
2012-04-08,28
2012-04-15,25
2012-04-22,27
2012-04-29,27
2012-05-06,26
2012-05-13,26
2012-05-20,23
2012-05-27,27
2012-06-03,23
2012-06-10,28
2012-06-17,28
2012-06-24,25
2012-07-01,29
2012-07-08,31
2012-07-15,27
2012-07-22,25
2012-07-29,26
2012-08-05,28
2012-08-12,27
2012-08-19,32
2012-08-26,27
2012-09-02,26
2012-09-09,26
2012-09-16,28
2012-09-23,31
2012-09-30,29
2012-10-07,27
2012-10-14,26
2012-10-21,28
2012-10-28,25
2012-11-04,26
2012-11-11,27
2012-11-18,27
2012-11-25,24
2012-12-02,27
2012-12-09,24
2012-12-16,19
2012-12-23,23
2012-12-30,27
2013-01-06,28
2013-01-13,29
2013-01-20,27
2013-01-27,28
2013-02-03,33
2013-02-10,30
2013-02-17,29
2013-02-24,32
2013-03-03,32
2013-03-10,30
2013-03-17,31
2013-03-24,32
2013-03-31,34
2013-04-07,34
2013-04-14,38
2013-04-21,36
2013-04-28,34
2013-05-05,35
2013-05-12,35
2013-05-19,36
2013-05-26,34
2013-06-02,35
2013-06-09,33
2013-06-16,39
2013-06-23,37
2013-06-30,40
2013-07-07,36
2013-07-14,41
2013-07-21,43
2013-07-28,64
2013-08-04,100
2013-08-11,82
2013-08-18,74
2013-08-25,60
2013-09-01,53
2013-09-08,48
2013-09-15,41
2013-09-22,45
2013-09-29,42
2013-10-06,39
2013-10-13,43
2013-10-20,42
2013-10-27,38
2013-11-03,38
2013-11-10,35
2013-11-17,41
2013-11-24,36
2013-12-01,34
2013-12-08,31
2013-12-15,28
2013-12-22,37
2013-12-29,34
2014-01-05,35
2014-01-12,37
2014-01-19,33
2014-01-26,33
2014-02-02,33
2014-02-09,32
2014-02-16,34
2014-02-23,38
2014-03-02,32
2014-03-09,33
2014-03-16,37
2014-03-23,32
2014-03-30,31
2014-04-06,37
2014-04-13,33
2014-04-20,35
2014-04-27,32
2014-05-04,33
2014-05-11,38
2014-05-18,34
2014-05-25,31
2014-06-01,28
2014-06-08,28
2014-06-15,31
2014-06-22,29
2014-06-29,37
2014-07-06,32
2014-07-13,29
2014-07-20,33
2014-07-27,33
2014-08-03,35
2014-08-10,36
2014-08-17,35
2014-08-24,35
2014-08-31,34
2014-09-07,33
2014-09-14,32
2014-09-21,35
2014-09-28,32
2014-10-05,33
2014-10-12,32
2014-10-19,32
2014-10-26,32
2014-11-02,27
2014-11-09,36
2014-11-16,29
2014-11-23,36
2014-11-30,32
2014-12-07,33
2014-12-14,28
2014-12-21,29
2014-12-28,33
2015-01-04,35
2015-01-11,37
2015-01-18,34
2015-01-25,30
2015-02-01,32
2015-02-08,34
2015-02-15,39
2015-02-22,34
2015-03-01,29
2015-03-08,27
2015-03-15,30
2015-03-22,37
2015-03-29,30
2015-04-05,28
2015-04-12,26
2015-04-19,35
2015-04-26,31
2015-05-03,30
2015-05-10,30
2015-05-17,27
2015-05-24,40
2015-05-31,28
2015-06-07,32
2015-06-14,28
2015-06-21,31
2015-06-28,32
2015-07-05,30
2015-07-12,34
2015-07-19,35
2015-07-26,35
2015-08-02,36
2015-08-09,42
2015-08-16,46
2015-08-23,45
2015-08-30,48
2015-09-06,41
2015-09-13,46
2015-09-20,45
2015-09-27,45
2015-10-04,42
2015-10-11,46
2015-10-18,45
2015-10-25,52
2015-11-01,42
2015-11-08,43
2015-11-15,42
2015-11-22,47
2015-11-29,48
2015-12-06,45
2015-12-13,41
2015-12-20,42
2015-12-27,53
