Category: All categories

Week,pleat: (Worldwide)
2012-01-01,73
2012-01-08,79
2012-01-15,87
2012-01-22,74
2012-01-29,82
2012-02-05,84
2012-02-12,77
2012-02-19,80
2012-02-26,81
2012-03-04,76
2012-03-11,80
2012-03-18,79
2012-03-25,81
2012-04-01,88
2012-04-08,78
2012-04-15,92
2012-04-22,91
2012-04-29,87
2012-05-06,88
2012-05-13,69
2012-05-20,76
2012-05-27,81
2012-06-03,84
2012-06-10,76
2012-06-17,82
2012-06-24,87
2012-07-01,80
2012-07-08,81
2012-07-15,78
2012-07-22,85
2012-07-29,84
2012-08-05,78
2012-08-12,86
2012-08-19,77
2012-08-26,80
2012-09-02,81
2012-09-09,83
2012-09-16,82
2012-09-23,88
2012-09-30,76
2012-10-07,82
2012-10-14,83
2012-10-21,68
2012-10-28,89
2012-11-04,76
2012-11-11,75
2012-11-18,77
2012-11-25,87
2012-12-02,76
2012-12-09,71
2012-12-16,65
2012-12-23,60
2012-12-30,77
2013-01-06,82
2013-01-13,94
2013-01-20,93
2013-01-27,93
2013-02-03,80
2013-02-10,77
2013-02-17,87
2013-02-24,80
2013-03-03,86
2013-03-10,83
2013-03-17,87
2013-03-24,84
2013-03-31,87
2013-04-07,88
2013-04-14,84
2013-04-21,80
2013-04-28,88
2013-05-05,81
2013-05-12,86
2013-05-19,79
2013-05-26,79
2013-06-02,72
2013-06-09,81
2013-06-16,88
2013-06-23,86
2013-06-30,84
2013-07-07,75
2013-07-14,84
2013-07-21,79
2013-07-28,92
2013-08-04,79
2013-08-11,90
2013-08-18,94
2013-08-25,86
2013-09-01,83
2013-09-08,77
2013-09-15,79
2013-09-22,84
2013-09-29,85
2013-10-06,85
2013-10-13,82
2013-10-20,85
2013-10-27,81
2013-11-03,79
2013-11-10,97
2013-11-17,89
2013-11-24,77
2013-12-01,94
2013-12-08,69
2013-12-15,72
2013-12-22,72
2013-12-29,77
2014-01-05,86
2014-01-12,88
2014-01-19,80
2014-01-26,87
2014-02-02,85
2014-02-09,84
2014-02-16,85
2014-02-23,90
2014-03-02,91
2014-03-09,93
2014-03-16,88
2014-03-23,91
2014-03-30,91
2014-04-06,100
2014-04-13,84
2014-04-20,91
2014-04-27,87
2014-05-04,86
2014-05-11,86
2014-05-18,86
2014-05-25,82
2014-06-01,94
2014-06-08,83
2014-06-15,78
2014-06-22,77
2014-06-29,86
2014-07-06,83
2014-07-13,79
2014-07-20,87
2014-07-27,89
2014-08-03,92
2014-08-10,92
2014-08-17,86
2014-08-24,93
2014-08-31,82
2014-09-07,89
2014-09-14,88
2014-09-21,85
2014-09-28,89
2014-10-05,88
2014-10-12,88
2014-10-19,88
2014-10-26,98
2014-11-02,94
2014-11-09,90
2014-11-16,81
2014-11-23,94
2014-11-30,81
2014-12-07,77
2014-12-14,61
2014-12-21,78
2014-12-28,89
2015-01-04,81
2015-01-11,86
2015-01-18,94
2015-01-25,88
2015-02-01,99
2015-02-08,91
2015-02-15,91
2015-02-22,92
2015-03-01,87
2015-03-08,86
2015-03-15,92
2015-03-22,77
2015-03-29,88
2015-04-05,77
2015-04-12,85
2015-04-19,92
2015-04-26,85
2015-05-03,88
2015-05-10,86
2015-05-17,87
2015-05-24,93
2015-05-31,92
2015-06-07,82
2015-06-14,84
2015-06-21,79
2015-06-28,86
2015-07-05,91
2015-07-12,87
2015-07-19,90
2015-07-26,92
2015-08-02,100
2015-08-09,92
2015-08-16,96
2015-08-23,92
2015-08-30,92
2015-09-06,96
2015-09-13,84
2015-09-20,91
2015-09-27,93
2015-10-04,92
2015-10-11,88
2015-10-18,93
2015-10-25,82
2015-11-01,85
2015-11-08,91
2015-11-15,85
2015-11-22,89
2015-11-29,91
2015-12-06,85
2015-12-13,82
2015-12-20,62
2015-12-27,94
