Category: All categories

Week,pullover: (Worldwide)
2012-01-01,31
2012-01-08,29
2012-01-15,29
2012-01-22,30
2012-01-29,30
2012-02-05,33
2012-02-12,28
2012-02-19,26
2012-02-26,25
2012-03-04,24
2012-03-11,20
2012-03-18,19
2012-03-25,18
2012-04-01,21
2012-04-08,21
2012-04-15,21
2012-04-22,20
2012-04-29,19
2012-05-06,18
2012-05-13,19
2012-05-20,15
2012-05-27,16
2012-06-03,18
2012-06-10,18
2012-06-17,17
2012-06-24,16
2012-07-01,16
2012-07-08,17
2012-07-15,20
2012-07-22,18
2012-07-29,20
2012-08-05,21
2012-08-12,21
2012-08-19,21
2012-08-26,25
2012-09-02,28
2012-09-09,31
2012-09-16,37
2012-09-23,41
2012-09-30,41
2012-10-07,42
2012-10-14,41
2012-10-21,43
2012-10-28,47
2012-11-04,44
2012-11-11,47
2012-11-18,51
2012-11-25,56
2012-12-02,59
2012-12-09,65
2012-12-16,51
2012-12-23,44
2012-12-30,38
2013-01-06,38
2013-01-13,38
2013-01-20,40
2013-01-27,35
2013-02-03,35
2013-02-10,34
2013-02-17,34
2013-02-24,33
2013-03-03,30
2013-03-10,30
2013-03-17,29
2013-03-24,29
2013-03-31,28
2013-04-07,26
2013-04-14,23
2013-04-21,22
2013-04-28,23
2013-05-05,21
2013-05-12,22
2013-05-19,23
2013-05-26,25
2013-06-02,21
2013-06-09,19
2013-06-16,17
2013-06-23,20
2013-06-30,20
2013-07-07,19
2013-07-14,19
2013-07-21,19
2013-07-28,21
2013-08-04,22
2013-08-11,27
2013-08-18,28
2013-08-25,31
2013-09-01,32
2013-09-08,40
2013-09-15,48
2013-09-22,45
2013-09-29,49
2013-10-06,51
2013-10-13,52
2013-10-20,50
2013-10-27,54
2013-11-03,57
2013-11-10,62
2013-11-17,65
2013-11-24,73
2013-12-01,78
2013-12-08,81
2013-12-15,68
2013-12-22,57
2013-12-29,51
2014-01-05,50
2014-01-12,48
2014-01-19,48
2014-01-26,47
2014-02-02,45
2014-02-09,41
2014-02-16,40
2014-02-23,36
2014-03-02,34
2014-03-09,31
2014-03-16,31
2014-03-23,31
2014-03-30,30
2014-04-06,28
2014-04-13,30
2014-04-20,27
2014-04-27,28
2014-05-04,26
2014-05-11,27
2014-05-18,23
2014-05-25,23
2014-06-01,22
2014-06-08,19
2014-06-15,21
2014-06-22,23
2014-06-29,23
2014-07-06,22
2014-07-13,22
2014-07-20,22
2014-07-27,25
2014-08-03,25
2014-08-10,30
2014-08-17,36
2014-08-24,38
2014-08-31,39
2014-09-07,41
2014-09-14,43
2014-09-21,46
2014-09-28,45
2014-10-05,52
2014-10-12,50
2014-10-19,54
2014-10-26,57
2014-11-02,60
2014-11-09,64
2014-11-16,69
2014-11-23,74
2014-11-30,85
2014-12-07,86
2014-12-14,77
2014-12-21,64
2014-12-28,61
2015-01-04,56
2015-01-11,53
2015-01-18,51
2015-01-25,51
2015-02-01,51
2015-02-08,45
2015-02-15,43
2015-02-22,44
2015-03-01,40
2015-03-08,36
2015-03-15,34
2015-03-22,35
2015-03-29,35
2015-04-05,33
2015-04-12,28
2015-04-19,27
2015-04-26,30
2015-05-03,28
2015-05-10,26
2015-05-17,28
2015-05-24,27
2015-05-31,25
2015-06-07,23
2015-06-14,25
2015-06-21,27
2015-06-28,20
2015-07-05,21
2015-07-12,24
2015-07-19,24
2015-07-26,29
2015-08-02,25
2015-08-09,26
2015-08-16,32
2015-08-23,33
2015-08-30,37
2015-09-06,48
2015-09-13,49
2015-09-20,51
2015-09-27,56
2015-10-04,59
2015-10-11,68
2015-10-18,66
2015-10-25,64
2015-11-01,66
2015-11-08,69
2015-11-15,76
2015-11-22,93
2015-11-29,100
2015-12-06,98
2015-12-13,97
2015-12-20,71
2015-12-27,69
