Category: All categories

Week,pumps: (Worldwide)
2012-01-01,80
2012-01-08,83
2012-01-15,84
2012-01-22,88
2012-01-29,82
2012-02-05,85
2012-02-12,87
2012-02-19,90
2012-02-26,91
2012-03-04,91
2012-03-11,93
2012-03-18,96
2012-03-25,97
2012-04-01,94
2012-04-08,95
2012-04-15,98
2012-04-22,100
2012-04-29,95
2012-05-06,97
2012-05-13,96
2012-05-20,96
2012-05-27,92
2012-06-03,92
2012-06-10,93
2012-06-17,89
2012-06-24,87
2012-07-01,86
2012-07-08,88
2012-07-15,91
2012-07-22,87
2012-07-29,83
2012-08-05,83
2012-08-12,83
2012-08-19,85
2012-08-26,82
2012-09-02,81
2012-09-09,90
2012-09-16,100
2012-09-23,82
2012-09-30,78
2012-10-07,76
2012-10-14,76
2012-10-21,75
2012-10-28,74
2012-11-04,68
2012-11-11,68
2012-11-18,67
2012-11-25,75
2012-12-02,73
2012-12-09,71
2012-12-16,64
2012-12-23,57
2012-12-30,68
2013-01-06,73
2013-01-13,73
2013-01-20,77
2013-01-27,88
2013-02-03,76
2013-02-10,75
2013-02-17,76
2013-02-24,79
2013-03-03,80
2013-03-10,81
2013-03-17,85
2013-03-24,81
2013-03-31,85
2013-04-07,88
2013-04-14,90
2013-04-21,90
2013-04-28,88
2013-05-05,88
2013-05-12,85
2013-05-19,85
2013-05-26,83
2013-06-02,82
2013-06-09,81
2013-06-16,80
2013-06-23,81
2013-06-30,76
2013-07-07,77
2013-07-14,78
2013-07-21,76
2013-07-28,73
2013-08-04,74
2013-08-11,75
2013-08-18,73
2013-08-25,73
2013-09-01,73
2013-09-08,74
2013-09-15,73
2013-09-22,70
2013-09-29,70
2013-10-06,83
2013-10-13,70
2013-10-20,70
2013-10-27,65
2013-11-03,66
2013-11-10,69
2013-11-17,69
2013-11-24,62
2013-12-01,66
2013-12-08,66
2013-12-15,60
2013-12-22,54
2013-12-29,62
2014-01-05,70
2014-01-12,70
2014-01-19,71
2014-01-26,71
2014-02-02,71
2014-02-09,74
2014-02-16,74
2014-02-23,74
2014-03-02,77
2014-03-09,78
2014-03-16,78
2014-03-23,79
2014-03-30,81
2014-04-06,82
2014-04-13,82
2014-04-20,80
2014-04-27,82
2014-05-04,82
2014-05-11,81
2014-05-18,81
2014-05-25,78
2014-06-01,78
2014-06-08,75
2014-06-15,78
2014-06-22,76
2014-06-29,74
2014-07-06,77
2014-07-13,75
2014-07-20,74
2014-07-27,73
2014-08-03,74
2014-08-10,73
2014-08-17,74
2014-08-24,71
2014-08-31,71
2014-09-07,72
2014-09-14,73
2014-09-21,71
2014-09-28,70
2014-10-05,69
2014-10-12,68
2014-10-19,66
2014-10-26,66
2014-11-02,67
2014-11-09,68
2014-11-16,67
2014-11-23,64
2014-11-30,68
2014-12-07,69
2014-12-14,65
2014-12-21,55
2014-12-28,59
2015-01-04,67
2015-01-11,70
2015-01-18,69
2015-01-25,67
2015-02-01,69
2015-02-08,70
2015-02-15,72
2015-02-22,72
2015-03-01,74
2015-03-08,75
2015-03-15,77
2015-03-22,79
2015-03-29,77
2015-04-05,79
2015-04-12,83
2015-04-19,80
2015-04-26,80
2015-05-03,81
2015-05-10,79
2015-05-17,78
2015-05-24,80
2015-05-31,77
2015-06-07,77
2015-06-14,75
2015-06-21,76
2015-06-28,71
2015-07-05,73
2015-07-12,72
2015-07-19,71
2015-07-26,71
2015-08-02,70
2015-08-09,69
2015-08-16,70
2015-08-23,67
2015-08-30,66
2015-09-06,68
2015-09-13,67
2015-09-20,68
2015-09-27,66
2015-10-04,65
2015-10-11,63
2015-10-18,61
2015-10-25,62
2015-11-01,60
2015-11-08,61
2015-11-15,62
2015-11-22,58
2015-11-29,63
2015-12-06,63
2015-12-13,62
2015-12-20,53
2015-12-27,57
