Category: All categories

Week,purse: (Worldwide)
2012-01-01,59
2012-01-08,54
2012-01-15,53
2012-01-22,54
2012-01-29,55
2012-02-05,54
2012-02-12,53
2012-02-19,55
2012-02-26,56
2012-03-04,57
2012-03-11,53
2012-03-18,53
2012-03-25,54
2012-04-01,54
2012-04-08,67
2012-04-15,55
2012-04-22,57
2012-04-29,60
2012-05-06,62
2012-05-13,59
2012-05-20,53
2012-05-27,56
2012-06-03,55
2012-06-10,59
2012-06-17,60
2012-06-24,55
2012-07-01,56
2012-07-08,60
2012-07-15,62
2012-07-22,62
2012-07-29,59
2012-08-05,61
2012-08-12,62
2012-08-19,60
2012-08-26,56
2012-09-02,60
2012-09-09,58
2012-09-16,60
2012-09-23,57
2012-09-30,56
2012-10-07,55
2012-10-14,55
2012-10-21,54
2012-10-28,52
2012-11-04,56
2012-11-11,61
2012-11-18,65
2012-11-25,73
2012-12-02,74
2012-12-09,79
2012-12-16,72
2012-12-23,79
2012-12-30,65
2013-01-06,59
2013-01-13,54
2013-01-20,57
2013-01-27,56
2013-02-03,54
2013-02-10,59
2013-02-17,59
2013-02-24,62
2013-03-03,59
2013-03-10,58
2013-03-17,59
2013-03-24,57
2013-03-31,56
2013-04-07,57
2013-04-14,68
2013-04-21,59
2013-04-28,60
2013-05-05,62
2013-05-12,61
2013-05-19,54
2013-05-26,52
2013-06-02,53
2013-06-09,53
2013-06-16,57
2013-06-23,54
2013-06-30,53
2013-07-07,55
2013-07-14,56
2013-07-21,60
2013-07-28,58
2013-08-04,65
2013-08-11,70
2013-08-18,62
2013-08-25,56
2013-09-01,57
2013-09-08,59
2013-09-15,61
2013-09-22,56
2013-09-29,54
2013-10-06,55
2013-10-13,56
2013-10-20,58
2013-10-27,54
2013-11-03,60
2013-11-10,64
2013-11-17,71
2013-11-24,74
2013-12-01,75
2013-12-08,78
2013-12-15,76
2013-12-22,85
2013-12-29,71
2014-01-05,57
2014-01-12,55
2014-01-19,56
2014-01-26,53
2014-02-02,55
2014-02-09,55
2014-02-16,56
2014-02-23,56
2014-03-02,57
2014-03-09,56
2014-03-16,56
2014-03-23,56
2014-03-30,55
2014-04-06,58
2014-04-13,68
2014-04-20,58
2014-04-27,62
2014-05-04,61
2014-05-11,58
2014-05-18,54
2014-05-25,53
2014-06-01,53
2014-06-08,52
2014-06-15,53
2014-06-22,54
2014-06-29,51
2014-07-06,55
2014-07-13,57
2014-07-20,62
2014-07-27,61
2014-08-03,61
2014-08-10,62
2014-08-17,58
2014-08-24,57
2014-08-31,55
2014-09-07,57
2014-09-14,60
2014-09-21,54
2014-09-28,57
2014-10-05,55
2014-10-12,57
2014-10-19,57
2014-10-26,55
2014-11-02,58
2014-11-09,63
2014-11-16,67
2014-11-23,73
2014-11-30,79
2014-12-07,80
2014-12-14,80
2014-12-21,88
2014-12-28,76
2015-01-04,61
2015-01-11,60
2015-01-18,56
2015-01-25,56
2015-02-01,56
2015-02-08,56
2015-02-15,57
2015-02-22,60
2015-03-01,57
2015-03-08,59
2015-03-15,58
2015-03-22,55
2015-03-29,56
2015-04-05,60
2015-04-12,75
2015-04-19,60
2015-04-26,74
2015-05-03,72
2015-05-10,64
2015-05-17,57
2015-05-24,56
2015-05-31,58
2015-06-07,57
2015-06-14,56
2015-06-21,64
2015-06-28,57
2015-07-05,60
2015-07-12,65
2015-07-19,67
2015-07-26,61
2015-08-02,62
2015-08-09,61
2015-08-16,65
2015-08-23,60
2015-08-30,59
2015-09-06,59
2015-09-13,59
2015-09-20,60
2015-09-27,59
2015-10-04,58
2015-10-11,59
2015-10-18,59
2015-10-25,59
2015-11-01,62
2015-11-08,66
2015-11-15,73
2015-11-22,81
2015-11-29,88
2015-12-06,87
2015-12-13,95
2015-12-20,100
2015-12-27,89
