Category: All categories

Week,raincoat: (Worldwide)
2012-01-01,31
2012-01-08,32
2012-01-15,30
2012-01-22,36
2012-01-29,32
2012-02-05,29
2012-02-12,29
2012-02-19,31
2012-02-26,38
2012-03-04,35
2012-03-11,38
2012-03-18,36
2012-03-25,35
2012-04-01,32
2012-04-08,37
2012-04-15,38
2012-04-22,50
2012-04-29,45
2012-05-06,44
2012-05-13,38
2012-05-20,37
2012-05-27,35
2012-06-03,50
2012-06-10,44
2012-06-17,43
2012-06-24,41
2012-07-01,46
2012-07-08,49
2012-07-15,51
2012-07-22,35
2012-07-29,39
2012-08-05,39
2012-08-12,39
2012-08-19,39
2012-08-26,48
2012-09-02,43
2012-09-09,41
2012-09-16,50
2012-09-23,56
2012-09-30,50
2012-10-07,48
2012-10-14,45
2012-10-21,50
2012-10-28,49
2012-11-04,33
2012-11-11,34
2012-11-18,38
2012-11-25,38
2012-12-02,36
2012-12-09,36
2012-12-16,33
2012-12-23,34
2012-12-30,31
2013-01-06,38
2013-01-13,36
2013-01-20,62
2013-01-27,100
2013-02-03,60
2013-02-10,48
2013-02-17,42
2013-02-24,42
2013-03-03,42
2013-03-10,50
2013-03-17,44
2013-03-24,39
2013-03-31,42
2013-04-07,41
2013-04-14,49
2013-04-21,41
2013-04-28,42
2013-05-05,46
2013-05-12,42
2013-05-19,49
2013-05-26,62
2013-06-02,58
2013-06-09,66
2013-06-16,55
2013-06-23,49
2013-06-30,43
2013-07-07,40
2013-07-14,39
2013-07-21,45
2013-07-28,47
2013-08-04,47
2013-08-11,50
2013-08-18,47
2013-08-25,42
2013-09-01,46
2013-09-08,57
2013-09-15,58
2013-09-22,44
2013-09-29,48
2013-10-06,55
2013-10-13,49
2013-10-20,50
2013-10-27,47
2013-11-03,42
2013-11-10,40
2013-11-17,42
2013-11-24,39
2013-12-01,39
2013-12-08,38
2013-12-15,35
2013-12-22,38
2013-12-29,36
2014-01-05,36
2014-01-12,35
2014-01-19,34
2014-01-26,34
2014-02-02,37
2014-02-09,37
2014-02-16,37
2014-02-23,40
2014-03-02,38
2014-03-09,36
2014-03-16,37
2014-03-23,45
2014-03-30,49
2014-04-06,45
2014-04-13,45
2014-04-20,41
2014-04-27,55
2014-05-04,50
2014-05-11,47
2014-05-18,43
2014-05-25,47
2014-06-01,53
2014-06-08,53
2014-06-15,50
2014-06-22,40
2014-06-29,48
2014-07-06,50
2014-07-13,57
2014-07-20,47
2014-07-27,48
2014-08-03,49
2014-08-10,60
2014-08-17,55
2014-08-24,60
2014-08-31,50
2014-09-07,50
2014-09-14,47
2014-09-21,54
2014-09-28,53
2014-10-05,61
2014-10-12,64
2014-10-19,64
2014-10-26,48
2014-11-02,50
2014-11-09,43
2014-11-16,45
2014-11-23,46
2014-11-30,53
2014-12-07,50
2014-12-14,40
2014-12-21,38
2014-12-28,42
2015-01-04,36
2015-01-11,38
2015-01-18,36
2015-01-25,35
2015-02-01,33
2015-02-08,33
2015-02-15,35
2015-02-22,35
2015-03-01,41
2015-03-08,46
2015-03-15,42
2015-03-22,42
2015-03-29,47
2015-04-05,49
2015-04-12,47
2015-04-19,52
2015-04-26,46
2015-05-03,40
2015-05-10,48
2015-05-17,49
2015-05-24,42
2015-05-31,52
2015-06-07,56
2015-06-14,71
2015-06-21,76
2015-06-28,46
2015-07-05,55
2015-07-12,51
2015-07-19,58
2015-07-26,61
2015-08-02,47
2015-08-09,50
2015-08-16,53
2015-08-23,63
2015-08-30,61
2015-09-06,56
2015-09-13,66
2015-09-20,56
2015-09-27,73
2015-10-04,62
2015-10-11,46
2015-10-18,49
2015-10-25,60
2015-11-01,60
2015-11-08,68
2015-11-15,65
2015-11-22,52
2015-11-29,54
2015-12-06,51
2015-12-13,50
2015-12-20,50
2015-12-27,50
