Category: All categories

Week,ring: (Worldwide)
2012-01-01,77
2012-01-08,74
2012-01-15,74
2012-01-22,72
2012-01-29,71
2012-02-05,77
2012-02-12,74
2012-02-19,71
2012-02-26,70
2012-03-04,69
2012-03-11,69
2012-03-18,67
2012-03-25,69
2012-04-01,70
2012-04-08,72
2012-04-15,76
2012-04-22,71
2012-04-29,71
2012-05-06,73
2012-05-13,73
2012-05-20,74
2012-05-27,81
2012-06-03,83
2012-06-10,72
2012-06-17,72
2012-06-24,73
2012-07-01,71
2012-07-08,74
2012-07-15,73
2012-07-22,75
2012-07-29,73
2012-08-05,74
2012-08-12,75
2012-08-19,78
2012-08-26,71
2012-09-02,72
2012-09-09,73
2012-09-16,74
2012-09-23,72
2012-09-30,70
2012-10-07,72
2012-10-14,72
2012-10-21,72
2012-10-28,72
2012-11-04,71
2012-11-11,73
2012-11-18,74
2012-11-25,78
2012-12-02,79
2012-12-09,85
2012-12-16,84
2012-12-23,91
2012-12-30,82
2013-01-06,77
2013-01-13,75
2013-01-20,77
2013-01-27,75
2013-02-03,76
2013-02-10,76
2013-02-17,71
2013-02-24,71
2013-03-03,72
2013-03-10,74
2013-03-17,73
2013-03-24,71
2013-03-31,71
2013-04-07,71
2013-04-14,72
2013-04-21,76
2013-04-28,72
2013-05-05,74
2013-05-12,73
2013-05-19,72
2013-05-26,73
2013-06-02,82
2013-06-09,82
2013-06-16,85
2013-06-23,83
2013-06-30,79
2013-07-07,77
2013-07-14,76
2013-07-21,77
2013-07-28,78
2013-08-04,79
2013-08-11,77
2013-08-18,77
2013-08-25,75
2013-09-01,79
2013-09-08,78
2013-09-15,79
2013-09-22,78
2013-09-29,76
2013-10-06,76
2013-10-13,78
2013-10-20,86
2013-10-27,79
2013-11-03,76
2013-11-10,78
2013-11-17,77
2013-11-24,81
2013-12-01,82
2013-12-08,86
2013-12-15,86
2013-12-22,90
2013-12-29,87
2014-01-05,79
2014-01-12,77
2014-01-19,77
2014-01-26,77
2014-02-02,81
2014-02-09,89
2014-02-16,77
2014-02-23,76
2014-03-02,73
2014-03-09,74
2014-03-16,74
2014-03-23,74
2014-03-30,75
2014-04-06,75
2014-04-13,79
2014-04-20,76
2014-04-27,78
2014-05-04,77
2014-05-11,75
2014-05-18,74
2014-05-25,75
2014-06-01,84
2014-06-08,79
2014-06-15,76
2014-06-22,75
2014-06-29,72
2014-07-06,73
2014-07-13,76
2014-07-20,76
2014-07-27,80
2014-08-03,76
2014-08-10,74
2014-08-17,75
2014-08-24,74
2014-08-31,73
2014-09-07,73
2014-09-14,74
2014-09-21,74
2014-09-28,75
2014-10-05,77
2014-10-12,75
2014-10-19,71
2014-10-26,74
2014-11-02,76
2014-11-09,74
2014-11-16,82
2014-11-23,82
2014-11-30,84
2014-12-07,85
2014-12-14,86
2014-12-21,93
2014-12-28,92
2015-01-04,82
2015-01-11,82
2015-01-18,80
2015-01-25,82
2015-02-01,83
2015-02-08,83
2015-02-15,82
2015-02-22,79
2015-03-01,78
2015-03-08,77
2015-03-15,76
2015-03-22,79
2015-03-29,79
2015-04-05,79
2015-04-12,77
2015-04-19,77
2015-04-26,80
2015-05-03,80
2015-05-10,78
2015-05-17,76
2015-05-24,78
2015-05-31,90
2015-06-07,84
2015-06-14,80
2015-06-21,77
2015-06-28,77
2015-07-05,78
2015-07-12,100
2015-07-19,82
2015-07-26,83
2015-08-02,82
2015-08-09,80
2015-08-16,79
2015-08-23,79
2015-08-30,77
2015-09-06,77
2015-09-13,78
2015-09-20,78
2015-09-27,77
2015-10-04,78
2015-10-11,76
2015-10-18,76
2015-10-25,82
2015-11-01,78
2015-11-08,77
2015-11-15,80
2015-11-22,83
2015-11-29,87
2015-12-06,88
2015-12-13,92
2015-12-20,98
2015-12-27,93
