Category: All categories

Week,sandals: (Worldwide)
2012-01-01,40
2012-01-08,40
2012-01-15,43
2012-01-22,43
2012-01-29,42
2012-02-05,42
2012-02-12,43
2012-02-19,47
2012-02-26,47
2012-03-04,51
2012-03-11,59
2012-03-18,67
2012-03-25,68
2012-04-01,67
2012-04-08,62
2012-04-15,67
2012-04-22,65
2012-04-29,69
2012-05-06,69
2012-05-13,73
2012-05-20,80
2012-05-27,84
2012-06-03,76
2012-06-10,76
2012-06-17,76
2012-06-24,75
2012-07-01,73
2012-07-08,73
2012-07-15,71
2012-07-22,69
2012-07-29,64
2012-08-05,62
2012-08-12,61
2012-08-19,56
2012-08-26,50
2012-09-02,47
2012-09-09,43
2012-09-16,40
2012-09-23,37
2012-09-30,36
2012-10-07,33
2012-10-14,32
2012-10-21,33
2012-10-28,29
2012-11-04,29
2012-11-11,29
2012-11-18,30
2012-11-25,31
2012-12-02,30
2012-12-09,30
2012-12-16,30
2012-12-23,32
2012-12-30,38
2013-01-06,37
2013-01-13,38
2013-01-20,39
2013-01-27,38
2013-02-03,39
2013-02-10,41
2013-02-17,42
2013-02-24,44
2013-03-03,47
2013-03-10,53
2013-03-17,53
2013-03-24,54
2013-03-31,58
2013-04-07,64
2013-04-14,65
2013-04-21,68
2013-04-28,77
2013-05-05,78
2013-05-12,75
2013-05-19,77
2013-05-26,78
2013-06-02,82
2013-06-09,77
2013-06-16,79
2013-06-23,78
2013-06-30,79
2013-07-07,84
2013-07-14,84
2013-07-21,78
2013-07-28,72
2013-08-04,69
2013-08-11,59
2013-08-18,56
2013-08-25,53
2013-09-01,51
2013-09-08,46
2013-09-15,42
2013-09-22,39
2013-09-29,38
2013-10-06,36
2013-10-13,36
2013-10-20,33
2013-10-27,32
2013-11-03,32
2013-11-10,32
2013-11-17,31
2013-11-24,31
2013-12-01,32
2013-12-08,31
2013-12-15,32
2013-12-22,35
2013-12-29,44
2014-01-05,40
2014-01-12,42
2014-01-19,42
2014-01-26,43
2014-02-02,44
2014-02-09,43
2014-02-16,49
2014-02-23,49
2014-03-02,53
2014-03-09,60
2014-03-16,60
2014-03-23,62
2014-03-30,65
2014-04-06,70
2014-04-13,77
2014-04-20,75
2014-04-27,78
2014-05-04,81
2014-05-11,86
2014-05-18,88
2014-05-25,88
2014-06-01,90
2014-06-08,92
2014-06-15,91
2014-06-22,91
2014-06-29,86
2014-07-06,88
2014-07-13,87
2014-07-20,88
2014-07-27,82
2014-08-03,74
2014-08-10,66
2014-08-17,60
2014-08-24,54
2014-08-31,52
2014-09-07,47
2014-09-14,45
2014-09-21,41
2014-09-28,42
2014-10-05,39
2014-10-12,38
2014-10-19,35
2014-10-26,35
2014-11-02,33
2014-11-09,33
2014-11-16,32
2014-11-23,33
2014-11-30,34
2014-12-07,34
2014-12-14,33
2014-12-21,35
2014-12-28,42
2015-01-04,41
2015-01-11,42
2015-01-18,43
2015-01-25,44
2015-02-01,43
2015-02-08,46
2015-02-15,50
2015-02-22,51
2015-03-01,54
2015-03-08,61
2015-03-15,67
2015-03-22,70
2015-03-29,75
2015-04-05,79
2015-04-12,89
2015-04-19,89
2015-04-26,87
2015-05-03,93
2015-05-10,95
2015-05-17,91
2015-05-24,94
2015-05-31,94
2015-06-07,100
2015-06-14,98
2015-06-21,96
2015-06-28,100
2015-07-05,95
2015-07-12,91
2015-07-19,87
2015-07-26,80
2015-08-02,77
2015-08-09,72
2015-08-16,67
2015-08-23,60
2015-08-30,55
2015-09-06,53
2015-09-13,47
2015-09-20,46
2015-09-27,42
2015-10-04,40
2015-10-11,40
2015-10-18,37
2015-10-25,35
2015-11-01,35
2015-11-08,34
2015-11-15,33
2015-11-22,35
2015-11-29,35
2015-12-06,36
2015-12-13,36
2015-12-20,38
2015-12-27,44
