Category: All categories

Week,sarong: (Worldwide)
2012-01-01,49
2012-01-08,52
2012-01-15,50
2012-01-22,61
2012-01-29,55
2012-02-05,51
2012-02-12,61
2012-02-19,64
2012-02-26,61
2012-03-04,61
2012-03-11,52
2012-03-18,57
2012-03-25,55
2012-04-01,53
2012-04-08,57
2012-04-15,60
2012-04-22,60
2012-04-29,96
2012-05-06,73
2012-05-13,73
2012-05-20,71
2012-05-27,84
2012-06-03,71
2012-06-10,77
2012-06-17,78
2012-06-24,86
2012-07-01,83
2012-07-08,80
2012-07-15,83
2012-07-22,75
2012-07-29,73
2012-08-05,71
2012-08-12,69
2012-08-19,65
2012-08-26,58
2012-09-02,54
2012-09-09,49
2012-09-16,42
2012-09-23,51
2012-09-30,43
2012-10-07,41
2012-10-14,44
2012-10-21,46
2012-10-28,42
2012-11-04,38
2012-11-11,42
2012-11-18,41
2012-11-25,42
2012-12-02,40
2012-12-09,40
2012-12-16,45
2012-12-23,48
2012-12-30,48
2013-01-06,50
2013-01-13,45
2013-01-20,48
2013-01-27,44
2013-02-03,47
2013-02-10,47
2013-02-17,57
2013-02-24,46
2013-03-03,53
2013-03-10,56
2013-03-17,49
2013-03-24,55
2013-03-31,46
2013-04-07,54
2013-04-14,59
2013-04-21,62
2013-04-28,63
2013-05-05,64
2013-05-12,78
2013-05-19,71
2013-05-26,75
2013-06-02,100
2013-06-09,73
2013-06-16,82
2013-06-23,76
2013-06-30,80
2013-07-07,82
2013-07-14,81
2013-07-21,83
2013-07-28,69
2013-08-04,76
2013-08-11,62
2013-08-18,62
2013-08-25,56
2013-09-01,60
2013-09-08,48
2013-09-15,45
2013-09-22,45
2013-09-29,43
2013-10-06,43
2013-10-13,42
2013-10-20,40
2013-10-27,47
2013-11-03,42
2013-11-10,37
2013-11-17,44
2013-11-24,39
2013-12-01,40
2013-12-08,38
2013-12-15,47
2013-12-22,45
2013-12-29,53
2014-01-05,50
2014-01-12,50
2014-01-19,51
2014-01-26,47
2014-02-02,47
2014-02-09,48
2014-02-16,50
2014-02-23,50
2014-03-02,58
2014-03-09,55
2014-03-16,62
2014-03-23,58
2014-03-30,54
2014-04-06,60
2014-04-13,59
2014-04-20,59
2014-04-27,70
2014-05-04,66
2014-05-11,62
2014-05-18,68
2014-05-25,77
2014-06-01,78
2014-06-08,72
2014-06-15,76
2014-06-22,78
2014-06-29,80
2014-07-06,81
2014-07-13,82
2014-07-20,84
2014-07-27,77
2014-08-03,72
2014-08-10,63
2014-08-17,66
2014-08-24,55
2014-08-31,51
2014-09-07,51
2014-09-14,47
2014-09-21,51
2014-09-28,46
2014-10-05,53
2014-10-12,51
2014-10-19,44
2014-10-26,44
2014-11-02,43
2014-11-09,42
2014-11-16,44
2014-11-23,44
2014-11-30,47
2014-12-07,44
2014-12-14,44
2014-12-21,45
2014-12-28,52
2015-01-04,58
2015-01-11,52
2015-01-18,49
2015-01-25,45
2015-02-01,49
2015-02-08,45
2015-02-15,52
2015-02-22,50
2015-03-01,54
2015-03-08,59
2015-03-15,64
2015-03-22,56
2015-03-29,62
2015-04-05,56
2015-04-12,66
2015-04-19,60
2015-04-26,58
2015-05-03,61
2015-05-10,71
2015-05-17,64
2015-05-24,66
2015-05-31,66
2015-06-07,80
2015-06-14,75
2015-06-21,75
2015-06-28,88
2015-07-05,86
2015-07-12,71
2015-07-19,81
2015-07-26,71
2015-08-02,67
2015-08-09,71
2015-08-16,66
2015-08-23,59
2015-08-30,55
2015-09-06,51
2015-09-13,48
2015-09-20,49
2015-09-27,44
2015-10-04,45
2015-10-11,46
2015-10-18,46
2015-10-25,49
2015-11-01,45
2015-11-08,44
2015-11-15,42
2015-11-22,42
2015-11-29,46
2015-12-06,42
2015-12-13,44
2015-12-20,45
2015-12-27,57
