Category: All categories

Week,shoe: (Worldwide)
2012-01-01,81
2012-01-08,77
2012-01-15,75
2012-01-22,75
2012-01-29,75
2012-02-05,77
2012-02-12,76
2012-02-19,80
2012-02-26,80
2012-03-04,78
2012-03-11,79
2012-03-18,82
2012-03-25,81
2012-04-01,83
2012-04-08,78
2012-04-15,80
2012-04-22,83
2012-04-29,84
2012-05-06,82
2012-05-13,82
2012-05-20,79
2012-05-27,76
2012-06-03,79
2012-06-10,78
2012-06-17,78
2012-06-24,77
2012-07-01,75
2012-07-08,80
2012-07-15,82
2012-07-22,83
2012-07-29,88
2012-08-05,90
2012-08-12,93
2012-08-19,92
2012-08-26,86
2012-09-02,84
2012-09-09,81
2012-09-16,83
2012-09-23,85
2012-09-30,83
2012-10-07,85
2012-10-14,80
2012-10-21,81
2012-10-28,77
2012-11-04,77
2012-11-11,78
2012-11-18,87
2012-11-25,87
2012-12-02,85
2012-12-09,86
2012-12-16,85
2012-12-23,89
2012-12-30,84
2013-01-06,78
2013-01-13,76
2013-01-20,76
2013-01-27,73
2013-02-03,74
2013-02-10,76
2013-02-17,77
2013-02-24,81
2013-03-03,78
2013-03-10,80
2013-03-17,80
2013-03-24,82
2013-03-31,78
2013-04-07,80
2013-04-14,81
2013-04-21,80
2013-04-28,83
2013-05-05,81
2013-05-12,77
2013-05-19,75
2013-05-26,75
2013-06-02,76
2013-06-09,75
2013-06-16,74
2013-06-23,75
2013-06-30,74
2013-07-07,75
2013-07-14,77
2013-07-21,81
2013-07-28,86
2013-08-04,89
2013-08-11,86
2013-08-18,87
2013-08-25,82
2013-09-01,80
2013-09-08,78
2013-09-15,79
2013-09-22,77
2013-09-29,79
2013-10-06,80
2013-10-13,80
2013-10-20,80
2013-10-27,77
2013-11-03,81
2013-11-10,82
2013-11-17,83
2013-11-24,92
2013-12-01,91
2013-12-08,91
2013-12-15,90
2013-12-22,93
2013-12-29,87
2014-01-05,80
2014-01-12,78
2014-01-19,76
2014-01-26,74
2014-02-02,75
2014-02-09,78
2014-02-16,82
2014-02-23,82
2014-03-02,80
2014-03-09,81
2014-03-16,79
2014-03-23,81
2014-03-30,82
2014-04-06,89
2014-04-13,89
2014-04-20,84
2014-04-27,83
2014-05-04,82
2014-05-11,81
2014-05-18,78
2014-05-25,75
2014-06-01,76
2014-06-08,76
2014-06-15,75
2014-06-22,76
2014-06-29,74
2014-07-06,76
2014-07-13,81
2014-07-20,84
2014-07-27,88
2014-08-03,89
2014-08-10,90
2014-08-17,89
2014-08-24,85
2014-08-31,81
2014-09-07,79
2014-09-14,80
2014-09-21,79
2014-09-28,81
2014-10-05,83
2014-10-12,83
2014-10-19,81
2014-10-26,78
2014-11-02,81
2014-11-09,86
2014-11-16,87
2014-11-23,96
2014-11-30,95
2014-12-07,92
2014-12-14,91
2014-12-21,92
2014-12-28,91
2015-01-04,81
2015-01-11,80
2015-01-18,79
2015-01-25,78
2015-02-01,77
2015-02-08,80
2015-02-15,81
2015-02-22,80
2015-03-01,81
2015-03-08,82
2015-03-15,83
2015-03-22,83
2015-03-29,89
2015-04-05,86
2015-04-12,85
2015-04-19,83
2015-04-26,84
2015-05-03,82
2015-05-10,83
2015-05-17,81
2015-05-24,80
2015-05-31,83
2015-06-07,80
2015-06-14,79
2015-06-21,79
2015-06-28,78
2015-07-05,82
2015-07-12,86
2015-07-19,88
2015-07-26,88
2015-08-02,92
2015-08-09,94
2015-08-16,92
2015-08-23,91
2015-08-30,86
2015-09-06,83
2015-09-13,82
2015-09-20,83
2015-09-27,85
2015-10-04,84
2015-10-11,84
2015-10-18,86
2015-10-25,83
2015-11-01,83
2015-11-08,84
2015-11-15,85
2015-11-22,100
2015-11-29,97
2015-12-06,92
2015-12-13,96
2015-12-20,100
2015-12-27,100
