Category: All categories

Week,slippers: (Worldwide)
2012-01-01,39
2012-01-08,31
2012-01-15,31
2012-01-22,28
2012-01-29,27
2012-02-05,27
2012-02-12,25
2012-02-19,25
2012-02-26,26
2012-03-04,23
2012-03-11,24
2012-03-18,23
2012-03-25,23
2012-04-01,24
2012-04-08,24
2012-04-15,22
2012-04-22,24
2012-04-29,24
2012-05-06,24
2012-05-13,23
2012-05-20,27
2012-05-27,25
2012-06-03,23
2012-06-10,25
2012-06-17,22
2012-06-24,23
2012-07-01,26
2012-07-08,25
2012-07-15,24
2012-07-22,26
2012-07-29,25
2012-08-05,24
2012-08-12,27
2012-08-19,26
2012-08-26,27
2012-09-02,27
2012-09-09,29
2012-09-16,31
2012-09-23,33
2012-09-30,33
2012-10-07,38
2012-10-14,36
2012-10-21,37
2012-10-28,39
2012-11-04,46
2012-11-11,53
2012-11-18,65
2012-11-25,82
2012-12-02,88
2012-12-09,95
2012-12-16,76
2012-12-23,60
2012-12-30,46
2013-01-06,35
2013-01-13,33
2013-01-20,32
2013-01-27,28
2013-02-03,29
2013-02-10,27
2013-02-17,27
2013-02-24,28
2013-03-03,27
2013-03-10,27
2013-03-17,26
2013-03-24,27
2013-03-31,26
2013-04-07,24
2013-04-14,25
2013-04-21,25
2013-04-28,24
2013-05-05,27
2013-05-12,25
2013-05-19,22
2013-05-26,24
2013-06-02,25
2013-06-09,26
2013-06-16,25
2013-06-23,24
2013-06-30,23
2013-07-07,25
2013-07-14,25
2013-07-21,27
2013-07-28,28
2013-08-04,26
2013-08-11,24
2013-08-18,24
2013-08-25,25
2013-09-01,27
2013-09-08,28
2013-09-15,31
2013-09-22,31
2013-09-29,32
2013-10-06,34
2013-10-13,37
2013-10-20,39
2013-10-27,39
2013-11-03,46
2013-11-10,55
2013-11-17,61
2013-11-24,78
2013-12-01,92
2013-12-08,100
2013-12-15,86
2013-12-22,64
2013-12-29,47
2014-01-05,39
2014-01-12,31
2014-01-19,30
2014-01-26,30
2014-02-02,29
2014-02-09,29
2014-02-16,26
2014-02-23,25
2014-03-02,27
2014-03-09,26
2014-03-16,25
2014-03-23,26
2014-03-30,26
2014-04-06,32
2014-04-13,27
2014-04-20,26
2014-04-27,27
2014-05-04,28
2014-05-11,25
2014-05-18,29
2014-05-25,27
2014-06-01,28
2014-06-08,29
2014-06-15,25
2014-06-22,26
2014-06-29,26
2014-07-06,27
2014-07-13,29
2014-07-20,30
2014-07-27,30
2014-08-03,29
2014-08-10,27
2014-08-17,26
2014-08-24,27
2014-08-31,26
2014-09-07,29
2014-09-14,31
2014-09-21,31
2014-09-28,33
2014-10-05,38
2014-10-12,37
2014-10-19,38
2014-10-26,38
2014-11-02,47
2014-11-09,54
2014-11-16,68
2014-11-23,79
2014-11-30,91
2014-12-07,93
2014-12-14,87
2014-12-21,68
2014-12-28,51
2015-01-04,38
2015-01-11,35
2015-01-18,31
2015-01-25,30
2015-02-01,32
2015-02-08,29
2015-02-15,30
2015-02-22,29
2015-03-01,29
2015-03-08,28
2015-03-15,28
2015-03-22,27
2015-03-29,27
2015-04-05,27
2015-04-12,28
2015-04-19,26
2015-04-26,27
2015-05-03,27
2015-05-10,28
2015-05-17,26
2015-05-24,27
2015-05-31,30
2015-06-07,31
2015-06-14,29
2015-06-21,28
2015-06-28,34
2015-07-05,32
2015-07-12,32
2015-07-19,29
2015-07-26,28
2015-08-02,29
2015-08-09,29
2015-08-16,27
2015-08-23,29
2015-08-30,29
2015-09-06,30
2015-09-13,30
2015-09-20,33
2015-09-27,36
2015-10-04,39
2015-10-11,39
2015-10-18,40
2015-10-25,42
2015-11-01,46
2015-11-08,53
2015-11-15,65
2015-11-22,84
2015-11-29,97
2015-12-06,93
2015-12-13,95
2015-12-20,76
2015-12-27,55
