Category: All categories

Week,tank top: (Worldwide)
2012-01-01,32
2012-01-08,31
2012-01-15,32
2012-01-22,34
2012-01-29,35
2012-02-05,36
2012-02-12,35
2012-02-19,40
2012-02-26,40
2012-03-04,43
2012-03-11,46
2012-03-18,52
2012-03-25,51
2012-04-01,52
2012-04-08,49
2012-04-15,53
2012-04-22,55
2012-04-29,57
2012-05-06,54
2012-05-13,60
2012-05-20,64
2012-05-27,68
2012-06-03,65
2012-06-10,67
2012-06-17,73
2012-06-24,77
2012-07-01,78
2012-07-08,78
2012-07-15,75
2012-07-22,74
2012-07-29,70
2012-08-05,67
2012-08-12,66
2012-08-19,63
2012-08-26,57
2012-09-02,56
2012-09-09,52
2012-09-16,52
2012-09-23,48
2012-09-30,47
2012-10-07,43
2012-10-14,42
2012-10-21,44
2012-10-28,38
2012-11-04,39
2012-11-11,37
2012-11-18,38
2012-11-25,39
2012-12-02,41
2012-12-09,42
2012-12-16,37
2012-12-23,40
2012-12-30,44
2013-01-06,44
2013-01-13,47
2013-01-20,49
2013-01-27,53
2013-02-03,52
2013-02-10,54
2013-02-17,55
2013-02-24,56
2013-03-03,59
2013-03-10,62
2013-03-17,63
2013-03-24,64
2013-03-31,66
2013-04-07,71
2013-04-14,73
2013-04-21,72
2013-04-28,79
2013-05-05,73
2013-05-12,76
2013-05-19,77
2013-05-26,82
2013-06-02,88
2013-06-09,88
2013-06-16,90
2013-06-23,96
2013-06-30,98
2013-07-07,88
2013-07-14,89
2013-07-21,87
2013-07-28,81
2013-08-04,78
2013-08-11,72
2013-08-18,67
2013-08-25,64
2013-09-01,63
2013-09-08,60
2013-09-15,53
2013-09-22,49
2013-09-29,50
2013-10-06,50
2013-10-13,49
2013-10-20,49
2013-10-27,45
2013-11-03,42
2013-11-10,43
2013-11-17,43
2013-11-24,42
2013-12-01,46
2013-12-08,45
2013-12-15,44
2013-12-22,45
2013-12-29,49
2014-01-05,50
2014-01-12,52
2014-01-19,54
2014-01-26,56
2014-02-02,55
2014-02-09,54
2014-02-16,58
2014-02-23,62
2014-03-02,65
2014-03-09,69
2014-03-16,67
2014-03-23,71
2014-03-30,70
2014-04-06,74
2014-04-13,78
2014-04-20,76
2014-04-27,77
2014-05-04,77
2014-05-11,81
2014-05-18,85
2014-05-25,87
2014-06-01,90
2014-06-08,94
2014-06-15,93
2014-06-22,95
2014-06-29,96
2014-07-06,88
2014-07-13,84
2014-07-20,86
2014-07-27,86
2014-08-03,80
2014-08-10,71
2014-08-17,67
2014-08-24,66
2014-08-31,58
2014-09-07,56
2014-09-14,55
2014-09-21,52
2014-09-28,54
2014-10-05,53
2014-10-12,53
2014-10-19,53
2014-10-26,53
2014-11-02,42
2014-11-09,44
2014-11-16,46
2014-11-23,44
2014-11-30,47
2014-12-07,48
2014-12-14,47
2014-12-21,43
2014-12-28,51
2015-01-04,48
2015-01-11,49
2015-01-18,50
2015-01-25,52
2015-02-01,52
2015-02-08,54
2015-02-15,57
2015-02-22,56
2015-03-01,60
2015-03-08,65
2015-03-15,65
2015-03-22,68
2015-03-29,68
2015-04-05,70
2015-04-12,72
2015-04-19,71
2015-04-26,72
2015-05-03,77
2015-05-10,79
2015-05-17,75
2015-05-24,80
2015-05-31,83
2015-06-07,92
2015-06-14,87
2015-06-21,91
2015-06-28,100
2015-07-05,89
2015-07-12,83
2015-07-19,86
2015-07-26,80
2015-08-02,77
2015-08-09,74
2015-08-16,70
2015-08-23,65
2015-08-30,64
2015-09-06,62
2015-09-13,56
2015-09-20,56
2015-09-27,54
2015-10-04,53
2015-10-11,52
2015-10-18,54
2015-10-25,53
2015-11-01,46
2015-11-08,49
2015-11-15,47
2015-11-22,46
2015-11-29,47
2015-12-06,52
2015-12-13,51
2015-12-20,48
2015-12-27,53
