Category: All categories

Week,tiara: (Worldwide)
2012-01-01,67
2012-01-08,73
2012-01-15,72
2012-01-22,70
2012-01-29,66
2012-02-05,67
2012-02-12,65
2012-02-19,65
2012-02-26,61
2012-03-04,65
2012-03-11,63
2012-03-18,65
2012-03-25,73
2012-04-01,75
2012-04-08,68
2012-04-15,62
2012-04-22,63
2012-04-29,64
2012-05-06,63
2012-05-13,62
2012-05-20,60
2012-05-27,65
2012-06-03,68
2012-06-10,62
2012-06-17,66
2012-06-24,80
2012-07-01,64
2012-07-08,69
2012-07-15,65
2012-07-22,62
2012-07-29,70
2012-08-05,68
2012-08-12,66
2012-08-19,64
2012-08-26,63
2012-09-02,68
2012-09-09,62
2012-09-16,63
2012-09-23,64
2012-09-30,60
2012-10-07,61
2012-10-14,62
2012-10-21,70
2012-10-28,64
2012-11-04,59
2012-11-11,60
2012-11-18,62
2012-11-25,61
2012-12-02,59
2012-12-09,59
2012-12-16,58
2012-12-23,67
2012-12-30,70
2013-01-06,64
2013-01-13,68
2013-01-20,71
2013-01-27,69
2013-02-03,82
2013-02-10,84
2013-02-17,79
2013-02-24,84
2013-03-03,96
2013-03-10,92
2013-03-17,100
2013-03-24,94
2013-03-31,87
2013-04-07,83
2013-04-14,81
2013-04-21,81
2013-04-28,84
2013-05-05,79
2013-05-12,76
2013-05-19,75
2013-05-26,83
2013-06-02,84
2013-06-09,83
2013-06-16,79
2013-06-23,81
2013-06-30,73
2013-07-07,75
2013-07-14,71
2013-07-21,71
2013-07-28,72
2013-08-04,75
2013-08-11,73
2013-08-18,70
2013-08-25,70
2013-09-01,73
2013-09-08,77
2013-09-15,73
2013-09-22,69
2013-09-29,69
2013-10-06,71
2013-10-13,75
2013-10-20,69
2013-10-27,77
2013-11-03,70
2013-11-10,67
2013-11-17,68
2013-11-24,67
2013-12-01,78
2013-12-08,70
2013-12-15,65
2013-12-22,64
2013-12-29,68
2014-01-05,69
2014-01-12,67
2014-01-19,71
2014-01-26,67
2014-02-02,71
2014-02-09,68
2014-02-16,70
2014-02-23,72
2014-03-02,65
2014-03-09,63
2014-03-16,71
2014-03-23,68
2014-03-30,64
2014-04-06,71
2014-04-13,68
2014-04-20,68
2014-04-27,67
2014-05-04,70
2014-05-11,68
2014-05-18,72
2014-05-25,68
2014-06-01,72
2014-06-08,72
2014-06-15,71
2014-06-22,69
2014-06-29,66
2014-07-06,69
2014-07-13,70
2014-07-20,73
2014-07-27,69
2014-08-03,72
2014-08-10,71
2014-08-17,76
2014-08-24,73
2014-08-31,75
2014-09-07,72
2014-09-14,78
2014-09-21,73
2014-09-28,75
2014-10-05,75
2014-10-12,78
2014-10-19,76
2014-10-26,81
2014-11-02,72
2014-11-09,72
2014-11-16,72
2014-11-23,75
2014-11-30,73
2014-12-07,75
2014-12-14,72
2014-12-21,71
2014-12-28,73
2015-01-04,70
2015-01-11,72
2015-01-18,75
2015-01-25,73
2015-02-01,74
2015-02-08,79
2015-02-15,70
2015-02-22,69
2015-03-01,65
2015-03-08,69
2015-03-15,71
2015-03-22,70
2015-03-29,68
2015-04-05,67
2015-04-12,72
2015-04-19,69
2015-04-26,68
2015-05-03,68
2015-05-10,67
2015-05-17,72
2015-05-24,70
2015-05-31,70
2015-06-07,73
2015-06-14,71
2015-06-21,68
2015-06-28,72
2015-07-05,74
2015-07-12,69
2015-07-19,68
2015-07-26,72
2015-08-02,71
2015-08-09,72
2015-08-16,76
2015-08-23,73
2015-08-30,70
2015-09-06,70
2015-09-13,71
2015-09-20,68
2015-09-27,69
2015-10-04,73
2015-10-11,74
2015-10-18,85
2015-10-25,78
2015-11-01,69
2015-11-08,69
2015-11-15,67
2015-11-22,67
2015-11-29,70
2015-12-06,78
2015-12-13,73
2015-12-20,73
2015-12-27,74
